"Six-Year Graduation Rates, 2012-13"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Non-Graduates",,,
"District","Free/Reduced Price Meal Eligibility","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Eligible For Free Lunch",18,"*","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Not Eligible For Lunch","*","*","*","*","*"
"Ansonia School District","Eligible For Free Lunch",106,"*","*",24,22.6
"Ansonia School District","Eligible For Reduced Lunch",37,"*","*","*","*"
"Ansonia School District","Not Eligible For Lunch",68,"*","*","*","*"
"Avon School District","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","Not Eligible For Lunch",250,"*","*","*","*"
"Berlin School District","Eligible For Free Lunch",25,"*","*","*","*"
"Berlin School District","Eligible For Reduced Lunch",9,"*","*","*","*"
"Berlin School District","Not Eligible For Lunch",229,"*","*","*","*"
"Bethel School District","Eligible For Free Lunch",25,"*","*","*","*"
"Bethel School District","Eligible For Reduced Lunch",15,"*","*","*","*"
"Bethel School District","Not Eligible For Lunch",193,"*","*","*","*"
"Bloomfield School District","Eligible For Free Lunch",63,"*","*","*","*"
"Bloomfield School District","Eligible For Reduced Lunch",25,"*","*","*","*"
"Bloomfield School District","Not Eligible For Lunch",71,"*","*","*","*"
"Bolton School District","Eligible For Free Lunch","*","*","*","*","*"
"Bolton School District","Eligible For Reduced Lunch","*","*","*","*","*"
"Bolton School District","Not Eligible For Lunch",73,"*","*","*","*"
"Branford School District","Eligible For Free Lunch",38,"*","*","*","*"
"Branford School District","Eligible For Reduced Lunch",21,"*","*","*","*"
"Branford School District","Not Eligible For Lunch",212,"*","*",9,4.2
"Bridgeport School District","Eligible For Free Lunch",1126,9,0.8,295,26.2
"Bridgeport School District","Eligible For Reduced Lunch",71,"*","*","*","*"
"Bridgeport School District","Not Eligible For Lunch",14,"*","*","*","*"
