"Six-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",18,0,"*","*","*"
"Ansonia School District","=""0020011""",200,0,0.0,33,16.5
"Avon School District","=""0040011""",283,0,0.0,6,2.1
"Berlin School District","=""0070011""",257,"*","*","*","*"
"Bethel School District","=""0090011""",236,"*","*","*","*"
"Bloomfield School District","=""0110011""",193,"*","*","*","*"
"Bolton School District","=""0120011""",70,0,0.0,"*","*"
"Branford School District","=""0140011""",259,"*","*","*","*"
"Bridgeport School District","=""0150011""",1266,10,0.8,351,27.7
"Bristol School District","=""0170011""",629,"*","*","*","*"
"Brookfield School District","=""0180011""",253,"*","*","*","*"
"Canton School District","=""0230011""",118,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""",331,9,2.7,46,13.9
"Cheshire School District","=""0250011""",407,"*","*","*","*"
"Clinton School District","=""0270011""",121,0,0.0,7,5.8
"Colchester School District","=""0280011""",243,"*","*","*","*"
"Common Ground High School District","=""2680013""",30,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""",2530,0,0.0,85,3.4
"Coventry School District","=""0320011""",150,"*","*","*","*"
"Cromwell School District","=""0330011""",151,"*","*","*","*"
"Danbury School District","=""0340011""",754,"*","*","*","*"
"Darien School District","=""0350011""",311,"*","*","*","*"
"Derby School District","=""0370011""",112,"*","*","*","*"
"East Granby School District","=""0400011""",60,"*","*","*","*"
"East Haddam School District","=""0410011""",103,0,0.0,7,6.8
"East Hampton School District","=""0420011""",164,0,0.0,7,4.3
"East Hartford School District","=""0430011""",579,7,1.2,82,14.2
"East Haven School District","=""0440011""",226,"*","*","*","*"
"East Lyme School District","=""0450011""",302,"*","*","*","*"
"East Windsor School District","=""0470011""",88,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",85,0,0.0,15,17.6
"Ellington School District","=""0480011""",200,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",19,0,"*","*","*"
"Enfield School District","=""0490011""",513,7,1.4,55,10.7
"Explorations District","=""2720013""",28,0,0.0,11,39.3
"Fairfield School District","=""0510011""",692,"*","*","*","*"
"Farmington School District","=""0520011""",305,"*","*","*","*"
"Glastonbury School District","=""0540011""",513,"*","*","*","*"
"Granby School District","=""0560011""",188,0,0.0,"*","*"
"Greenwich School District","=""0570011""",641,"*","*","*","*"
"Griswold School District","=""0580011""",186,"*","*","*","*"
"Groton School District","=""0590011""",347,"*","*","*","*"
"Guilford School District","=""0600011""",287,"*","*","*","*"
"Hamden School District","=""0620011""",515,"*","*","*","*"
"Hartford School District","=""0640011""",1390,15,1.1,330,23.7
"Killingly School District","=""0690011""",185,"*","*","*","*"
"Lebanon School District","=""0710011""",129,"*","*","*","*"
"Ledyard School District","=""0720011""",210,"*","*","*","*"
"Lisbon School District","=""0730011""","*","*","*","*","*"
"Litchfield School District","=""0740011""",103,0,0.0,"*","*"
"Madison School District","=""0760011""",336,"*","*","*","*"
"Manchester School District","=""0770011""",510,"*","*","*","*"
"Meriden School District","=""0800011""",622,7,1.1,146,23.5
"Middletown School District","=""0830011""",342,"*","*","*","*"
"Milford School District","=""0840011""",511,"*","*","*","*"
"Monroe School District","=""0850011""",338,0,0.0,"*","*"
"Montville School District","=""0860011""",221,"*","*","*","*"
"Naugatuck School District","=""0880011""",369,"*","*","*","*"
"New Britain School District","=""0890011""",668,11,1.6,197,29.5
"New Canaan School District","=""0900011""",330,"*","*","*","*"
"New Fairfield School District","=""0910011""",232,0,0.0,"*","*"
"New Haven School District","=""0930011""",1323,12,0.9,300,22.7
"New London School District","=""0950011""",239,"*","*","*","*"
"New Milford School District","=""0960011""",391,"*","*","*","*"
"Newington School District","=""0940011""",335,"*","*","*","*"
"Newtown School District","=""0970011""",404,"*","*","*","*"
"North Branford School District","=""0990011""",162,"*","*","*","*"
"North Haven School District","=""1010011""",290,"*","*","*","*"
"North Stonington School District","=""1020011""",54,"*","*","*","*"
"Norwalk School District","=""1030011""",871,"*","*","*","*"
"Norwich Free Academy District","=""9010022""",637,"*","*","*","*"
"Norwich School District","=""1040011""",68,0,0.0,40,58.8
"Old Saybrook School District","=""1060011""",144,0,0.0,"*","*"
"Oxford School District","=""1080011""",146,0,0.0,12,8.2
"Plainfield School District","=""1090011""",201,"*","*","*","*"
"Plainville School District","=""1100011""",204,"*","*","*","*"
"Plymouth School District","=""1110011""",139,"*","*","*","*"
"Portland School District","=""1130011""",90,0,0.0,6,6.7
"Putnam School District","=""1160011""",69,0,0.0,6,8.7
"Regional School District 01","=""2010012""",140,0,0.0,7,5.0
"Regional School District 04","=""2040012""",159,"*","*","*","*"
"Regional School District 05","=""2050012""",434,0,0.0,11,2.5
"Regional School District 06","=""2060012""",87,0,0.0,"*","*"
"Regional School District 07","=""2070012""",203,"*","*","*","*"
"Regional School District 08","=""2080012""",296,"*","*","*","*"
"Regional School District 09","=""2090012""",239,0,0.0,"*","*"
"Regional School District 10","=""2100012""",229,"*","*","*","*"
"Regional School District 11","=""2110012""",43,0,0.0,"*","*"
"Regional School District 12","=""2120012""",74,0,0.0,10,13.5
"Regional School District 13","=""2130012""",142,0,0.0,"*","*"
"Regional School District 14","=""2140012""",196,"*","*","*","*"
"Regional School District 15","=""2150012""",327,0,0.0,11,3.4
"Regional School District 16","=""2160012""",194,0,0.0,8,4.1
"Regional School District 17","=""2170012""",189,0,0.0,10,5.3
"Regional School District 18","=""2180012""",104,0,0.0,"*","*"
"Regional School District 19","=""2190012""",300,"*","*","*","*"
"Ridgefield School District","=""1180011""",443,0,0.0,"*","*"
