"Six-Year Graduation Rates, 2010-11"
"All Districts, High Needs Status"

"",,,,"Graduates",
"District","District Code","High Needs Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","High Needs",13,"*","*"
"Amistad Academy District","=""2790013""","Non-High Needs",13,"*","*"
"Ansonia School District","=""0020011""","High Needs",103,71,68.9
"Ansonia School District","=""0020011""","Non-High Needs",84,75,89.3
"Avon School District","=""0040011""","High Needs",32,"*","*"
"Avon School District","=""0040011""","Non-High Needs",223,"*","*"
"Berlin School District","=""0070011""","High Needs",45,39,86.7
"Berlin School District","=""0070011""","Non-High Needs",217,210,96.8
"Bethel School District","=""0090011""","High Needs",45,"*","*"
"Bethel School District","=""0090011""","Non-High Needs",205,"*","*"
"Bloomfield School District","=""0110011""","High Needs",82,66,80.5
"Bloomfield School District","=""0110011""","Non-High Needs",101,88,87.1
"Bolton School District","=""0120011""","High Needs",10,"*","*"
"Bolton School District","=""0120011""","Non-High Needs",63,"*","*"
"Branford School District","=""0140011""","High Needs",70,"*","*"
"Branford School District","=""0140011""","Non-High Needs",214,"*","*"
"Bridgeport School District","=""0150011""","High Needs",1326,885,66.7
"Bridgeport School District","=""0150011""","Non-High Needs",79,51,64.6
"Bristol School District","=""0170011""","High Needs",239,176,73.6
"Bristol School District","=""0170011""","Non-High Needs",465,412,88.6
"Brookfield School District","=""0180011""","High Needs",19,17,"*"
"Brookfield School District","=""0180011""","Non-High Needs",245,237,96.7
"Canton School District","=""0230011""","High Needs",19,"*","*"
"Canton School District","=""0230011""","Non-High Needs",101,"*","*"
"Capitol Region Education Council","=""2410014""","High Needs",131,110,84.0
"Capitol Region Education Council","=""2410014""","Non-High Needs",173,155,89.6
"Cheshire School District","=""0250011""","High Needs",55,"*","*"
"Cheshire School District","=""0250011""","Non-High Needs",320,"*","*"
"Clinton School District","=""0270011""","High Needs",35,"*","*"
"Clinton School District","=""0270011""","Non-High Needs",110,"*","*"
"Colchester School District","=""0280011""","High Needs",43,39,90.7
"Colchester School District","=""0280011""","Non-High Needs",207,201,97.1
"Common Ground High School District","=""2680013""","High Needs",27,23,85.2
"Common Ground High School District","=""2680013""","Non-High Needs",11,11,"*"
"Connecticut Technical High School System","=""9000016""","High Needs",480,435,90.6
"Connecticut Technical High School System","=""9000016""","Non-High Needs",1850,1763,95.3
"Coventry School District","=""0320011""","High Needs",28,21,75.0
"Coventry School District","=""0320011""","Non-High Needs",125,119,95.2
"Cromwell School District","=""0330011""","High Needs",35,"*","*"
