"Six-Year Graduation Rates, 2011-12"
"All Districts, English Learner Status"

"",,,,"Graduates",
"District","District Code","English Learner Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-ELL",18,"*","*"
"Ansonia School District","=""0020011""","Non-ELL",191,"*","*"
"Ansonia School District","=""0020011""","ELL",9,"*","*"
"Avon School District","=""0040011""","Non-ELL","*","*","*"
"Avon School District","=""0040011""","ELL","*","*","*"
"Berlin School District","=""0070011""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","ELL","*","*","*"
"Bethel School District","=""0090011""","Non-ELL","*","*","*"
"Bethel School District","=""0090011""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL",193,175,90.7
"Bolton School District","=""0120011""","Non-ELL",70,"*","*"
"Branford School District","=""0140011""","Non-ELL","*","*","*"
"Branford School District","=""0140011""","ELL","*","*","*"
"Bridgeport School District","=""0150011""","Non-ELL",1061,771,72.7
"Bridgeport School District","=""0150011""","ELL",205,133,64.9
"Bristol School District","=""0170011""","Non-ELL",608,"*","*"
"Bristol School District","=""0170011""","ELL",21,"*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*"
"Brookfield School District","=""0180011""","ELL","*","*","*"
"Canton School District","=""0230011""","Non-ELL",118,"*","*"
"Capitol Region Education Council","=""2410014""","Non-ELL",323,"*","*"
"Capitol Region Education Council","=""2410014""","ELL",8,"*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*"
"Cheshire School District","=""0250011""","ELL","*","*","*"
"Clinton School District","=""0270011""","Non-ELL","*","*","*"
"Clinton School District","=""0270011""","ELL","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*"
"Colchester School District","=""0280011""","ELL","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL","*","*","*"
"Common Ground High School District","=""2680013""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-ELL",2425,2351,96.9
"Connecticut Technical High School System","=""9000016""","ELL",105,94,89.5
"Coventry School District","=""0320011""","Non-ELL",150,138,92.0
"Cromwell School District","=""0330011""","Non-ELL","*","*","*"
"Cromwell School District","=""0330011""","ELL","*","*","*"
"Danbury School District","=""0340011""","Non-ELL",640,562,87.8
"Danbury School District","=""0340011""","ELL",114,85,74.6
"Darien School District","=""0350011""","Non-ELL","*","*","*"
"Darien School District","=""0350011""","ELL","*","*","*"
"Derby School District","=""0370011""","Non-ELL",103,83,80.6
"Derby School District","=""0370011""","ELL",9,7,"*"
"East Granby School District","=""0400011""","Non-ELL",60,58,96.7
"East Haddam School District","=""0410011""","Non-ELL","*","*","*"
"East Haddam School District","=""0410011""","ELL","*","*","*"
"East Hampton School District","=""0420011""","Non-ELL","*","*","*"
"East Hampton School District","=""0420011""","ELL","*","*","*"
"East Hartford School District","=""0430011""","Non-ELL",543,464,85.5
"East Hartford School District","=""0430011""","ELL",36,26,72.2
"East Haven School District","=""0440011""","Non-ELL",216,"*","*"
"East Haven School District","=""0440011""","ELL",10,"*","*"
"East Lyme School District","=""0450011""","Non-ELL",302,285,94.4
"East Windsor School District","=""0470011""","Non-ELL",88,79,89.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*","*","*"
"Ellington School District","=""0480011""","Non-ELL","*","*","*"
"Ellington School District","=""0480011""","ELL","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-ELL",19,"*","*"
"Enfield School District","=""0490011""","Non-ELL","*","*","*"
"Enfield School District","=""0490011""","ELL","*","*","*"
"Explorations District","=""2720013""","Non-ELL",28,17,60.7
"Fairfield School District","=""0510011""","Non-ELL",679,"*","*"
"Fairfield School District","=""0510011""","ELL",13,"*","*"
"Farmington School District","=""0520011""","Non-ELL","*","*","*"
"Farmington School District","=""0520011""","ELL","*","*","*"
"Glastonbury School District","=""0540011""","Non-ELL","*","*","*"
"Glastonbury School District","=""0540011""","ELL","*","*","*"
"Granby School District","=""0560011""","Non-ELL",188,"*","*"
