"Six-Year Graduation Rates, 2010-11"
"All Districts, High Needs Status"

"",,,,"Non-Graduates",,,
"District","District Code","High Needs Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","High Needs",13,0,"*","*","*"
"Amistad Academy District","=""2790013""","Non-High Needs",13,0,"*","*","*"
"Ansonia School District","=""0020011""","High Needs",103,"*","*","*","*"
"Ansonia School District","=""0020011""","Non-High Needs",84,0,0.0,"*","*"
"Avon School District","=""0040011""","High Needs",32,0,0.0,"*","*"
"Avon School District","=""0040011""","Non-High Needs",223,0,0.0,"*","*"
"Berlin School District","=""0070011""","High Needs",45,0,0.0,6,13.3
"Berlin School District","=""0070011""","Non-High Needs",217,0,0.0,7,3.2
"Bethel School District","=""0090011""","High Needs",45,"*","*","*","*"
"Bethel School District","=""0090011""","Non-High Needs",205,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","High Needs",82,"*","*","*","*"
"Bloomfield School District","=""0110011""","Non-High Needs",101,0,0.0,"*","*"
"Bolton School District","=""0120011""","High Needs",10,0,"*","*","*"
"Bolton School District","=""0120011""","Non-High Needs",63,0,0.0,"*","*"
"Branford School District","=""0140011""","High Needs",70,"*","*","*","*"
"Branford School District","=""0140011""","Non-High Needs",214,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","High Needs",1326,"*","*","*","*"
"Bridgeport School District","=""0150011""","Non-High Needs",79,"*","*","*","*"
"Bristol School District","=""0170011""","High Needs",239,"*","*","*","*"
"Bristol School District","=""0170011""","Non-High Needs",465,"*","*","*","*"
"Brookfield School District","=""0180011""","High Needs",19,"*","*","*","*"
"Brookfield School District","=""0180011""","Non-High Needs",245,0,0.0,"*","*"
"Canton School District","=""0230011""","High Needs",19,"*","*",0,"*"
"Canton School District","=""0230011""","Non-High Needs",101,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","High Needs",131,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-High Needs",173,0,0.0,"*","*"
"Cheshire School District","=""0250011""","High Needs",55,"*","*","*","*"
"Cheshire School District","=""0250011""","Non-High Needs",320,0,0.0,"*","*"
"Clinton School District","=""0270011""","High Needs",35,0,0.0,"*","*"
"Clinton School District","=""0270011""","Non-High Needs",110,0,0.0,"*","*"
"Colchester School District","=""0280011""","High Needs",43,"*","*","*","*"
"Colchester School District","=""0280011""","Non-High Needs",207,"*","*","*","*"
"Common Ground High School District","=""2680013""","High Needs",27,"*","*","*","*"
"Common Ground High School District","=""2680013""","Non-High Needs",11,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","High Needs",480,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Non-High Needs",1850,"*","*","*","*"
"Coventry School District","=""0320011""","High Needs",28,"*","*","*","*"
"Coventry School District","=""0320011""","Non-High Needs",125,"*","*","*","*"
"Cromwell School District","=""0330011""","High Needs",35,"*","*","*","*"
"Cromwell School District","=""0330011""","Non-High Needs",135,0,0.0,"*","*"
"Danbury School District","=""0340011""","High Needs",321,"*","*","*","*"
"Danbury School District","=""0340011""","Non-High Needs",435,"*","*","*","*"
"Darien School District","=""0350011""","High Needs",41,"*","*","*","*"
"Darien School District","=""0350011""","Non-High Needs",286,0,0.0,"*","*"
"Derby School District","=""0370011""","High Needs",54,0,0.0,"*","*"
"Derby School District","=""0370011""","Non-High Needs",68,"*","*","*","*"
"East Granby School District","=""0400011""","High Needs",7,0,"*","*","*"
"East Granby School District","=""0400011""","Non-High Needs",69,0,0.0,"*","*"
"East Haddam School District","=""0410011""","High Needs",12,0,"*","*","*"
"East Haddam School District","=""0410011""","Non-High Needs",85,0,0.0,"*","*"
"East Hampton School District","=""0420011""","High Needs",20,"*","*","*","*"
"East Hampton School District","=""0420011""","Non-High Needs",119,0,0.0,"*","*"
"East Hartford School District","=""0430011""","High Needs",355,"*","*","*","*"
"East Hartford School District","=""0430011""","Non-High Needs",239,0,0.0,"*","*"
"East Haven School District","=""0440011""","High Needs",97,"*","*","*","*"
"East Haven School District","=""0440011""","Non-High Needs",204,0,0.0,"*","*"
"East Lyme School District","=""0450011""","High Needs",45,0,0.0,0,0.0
"East Lyme School District","=""0450011""","Non-High Needs",280,0,0.0,7,2.5
"East Windsor School District","=""0470011""","High Needs",34,0,0.0,"*","*"
"East Windsor School District","=""0470011""","Non-High Needs",55,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","High Needs",21,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-High Needs",43,0,0.0,"*","*"
"Ellington School District","=""0480011""","High Needs",25,0,0.0,"*","*"
"Ellington School District","=""0480011""","Non-High Needs",156,0,0.0,"*","*"
"Enfield School District","=""0490011""","High Needs",128,"*","*","*","*"
"Enfield School District","=""0490011""","Non-High Needs",389,0,0.0,"*","*"
"Explorations District","=""2720013""","High Needs",14,0,"*","*","*"
"Explorations District","=""2720013""","Non-High Needs",16,0,"*","*","*"
"Fairfield School District","=""0510011""","High Needs",100,"*","*","*","*"
"Fairfield School District","=""0510011""","Non-High Needs",553,0,0.0,"*","*"
"Farmington School District","=""0520011""","High Needs",51,"*","*","*","*"
"Farmington School District","=""0520011""","Non-High Needs",284,0,0.0,"*","*"
"Glastonbury School District","=""0540011""","High Needs",91,"*","*","*","*"
"Glastonbury School District","=""0540011""","Non-High Needs",459,0,0.0,"*","*"
"Granby School District","=""0560011""","High Needs",19,0,"*","*","*"
"Granby School District","=""0560011""","Non-High Needs",174,0,0.0,"*","*"
"Greenwich School District","=""0570011""","High Needs",135,"*","*","*","*"
"Greenwich School District","=""0570011""","Non-High Needs",497,0,0.0,"*","*"
"Griswold School District","=""0580011""","High Needs",50,0,0.0,19,38.0
"Griswold School District","=""0580011""","Non-High Needs",150,0,0.0,12,8.0
"Groton School District","=""0590011""","High Needs",119,"*","*","*","*"
"Groton School District","=""0590011""","Non-High Needs",214,0,0.0,"*","*"
"Guilford School District","=""0600011""","High Needs",39,0,0.0,"*","*"
"Guilford School District","=""0600011""","Non-High Needs",232,0,0.0,"*","*"
"Hamden School District","=""0620011""","High Needs",189,"*","*","*","*"
"Hamden School District","=""0620011""","Non-High Needs",390,0,0.0,"*","*"
"Hartford School District","=""0640011""","High Needs",1442,8,0.6,444,30.8
"Hartford School District","=""0640011""","Non-High Needs",148,0,0.0,18,12.2
"Killingly School District","=""0690011""","High Needs",71,"*","*","*","*"
"Killingly School District","=""0690011""","Non-High Needs",124,"*","*","*","*"
"Lebanon School District","=""0710011""","High Needs",32,"*","*","*","*"
"Lebanon School District","=""0710011""","Non-High Needs",128,0,0.0,"*","*"
"Ledyard School District","=""0720011""","High Needs",54,"*","*","*","*"
"Ledyard School District","=""0720011""","Non-High Needs",177,0,0.0,"*","*"
"Lisbon School District","=""0730011""","High Needs","*","*","*","*","*"
"Litchfield School District","=""0740011""","High Needs",13,0,"*","*","*"
"Litchfield School District","=""0740011""","Non-High Needs",82,0,0.0,"*","*"
"Madison School District","=""0760011""","High Needs",37,0,0.0,"*","*"
"Madison School District","=""0760011""","Non-High Needs",280,0,0.0,"*","*"
"Manchester School District","=""0770011""","High Needs",245,"*","*","*","*"
"Manchester School District","=""0770011""","Non-High Needs",285,"*","*","*","*"
"Meriden School District","=""0800011""","High Needs",372,8,2.2,113,30.4
"Meriden School District","=""0800011""","Non-High Needs",245,0,0.0,25,10.2
"Middletown School District","=""0830011""","High Needs",135,"*","*","*","*"
"Middletown School District","=""0830011""","Non-High Needs",210,"*","*","*","*"
"Milford School District","=""0840011""","High Needs",129,9,7.0,14,10.9
"Milford School District","=""0840011""","Non-High Needs",364,0,0.0,16,4.4
"Monroe School District","=""0850011""","High Needs",36,"*","*","*","*"
"Monroe School District","=""0850011""","Non-High Needs",330,0,0.0,"*","*"
"Montville School District","=""0860011""","High Needs",57,"*","*","*","*"
"Montville School District","=""0860011""","Non-High Needs",148,0,0.0,"*","*"
