"Six-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,"Graduates",
"District","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District",23,20,87.0
"Ansonia School District",211,176,83.4
"Avon School District",263,258,98.1
"Berlin School District",263,253,96.2
"Bethel School District",233,225,96.6
"Bloomfield School District",159,151,95.0
"Bolton School District",83,79,95.2
"Branford School District",271,255,94.1
"Bridgeport School District",1211,891,73.6
"Bristol School District",630,540,85.7
"Brookfield School District",240,234,97.5
"Canton School District",124,123,99.2
"Capitol Region Education Council",263,219,83.3
"Cheshire School District",384,372,96.9
"Clinton School District",143,133,93.0
"Colchester School District",253,244,96.4
"Common Ground High School District",38,36,94.7
"Connecticut Technical High School System",2473,2400,97.0
"Coventry School District",138,126,91.3
"Cromwell School District",140,134,95.7
"Danbury School District",774,662,85.5
"Darien School District",316,308,97.5
"Department of Mental Health and Addiction Services","*","*","*"
"Derby School District",84,71,84.5
"East Granby School District",70,69,98.6
"East Haddam School District",98,96,98.0
"East Hampton School District",132,129,97.7
"East Hartford School District",544,461,84.7
"East Haven School District",246,187,76.0
"East Lyme School District",310,300,96.8
"East Windsor School District",92,82,89.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",73,62,84.9
"Ellington School District",198,187,94.4
"Elm City College Preparatory School District",13,10,76.9
"Enfield School District",443,403,91.0
"Explorations District",30,21,70.0
"Fairfield School District",705,670,95.0
"Farmington School District",325,316,97.2
"Glastonbury School District",551,539,97.8
"Granby School District",195,192,98.5
"Greenwich School District",689,670,97.2
"Griswold School District",169,152,89.9
"Groton School District",329,278,84.5
"Guilford School District",279,265,95.0
"Hamden School District",448,405,90.4
"Hartford School District",1440,1116,77.5
"Killingly School District",223,178,79.8
"Learn",42,39,92.9
"Lebanon School District",118,111,94.1
"Ledyard School District",229,211,92.1
"Lisbon School District",6,"*","*"
"Litchfield School District",89,87,97.8
"Madison School District",315,315,100.0
"Manchester School District",470,390,83.0
"Meriden School District",625,471,75.4
"Middletown School District",374,322,86.1
"Milford School District",524,473,90.3
"Monroe School District",310,306,98.7
"Montville School District",187,169,90.4
"Naugatuck School District",332,274,82.5
"New Britain School District",645,441,68.4
"New Canaan School District",339,334,98.5
"New Fairfield School District",258,250,96.9
"New Haven School District",1304,1012,77.6
"New London School District",257,179,69.6
"New Milford School District",390,351,90.0
"Newington School District",375,345,92.0
"Newtown School District",470,455,96.8
"North Branford School District",170,165,97.1
"North Haven School District",311,285,91.6
"North Stonington School District",48,46,95.8
"Norwalk School District",779,683,87.7
"Norwich Free Academy District",586,503,85.8
"Old Saybrook School District",139,132,95.0
"Oxford School District",155,151,97.4
"Plainfield School District",198,179,90.4
"Plainville School District",207,187,90.3
"Plymouth School District",127,112,88.2
"Portland School District",93,81,87.1
"Putnam School District",97,87,89.7
"Regional School District 01",109,101,92.7
"Regional School District 04",162,156,96.3
"Regional School District 05",394,382,97.0
"Regional School District 06",96,93,96.9
"Regional School District 07",194,187,96.4
"Regional School District 08",285,267,93.7
"Regional School District 09",238,231,97.1
"Regional School District 10",198,188,94.9
"Regional School District 11",44,38,86.4
"Regional School District 12",88,81,92.0
"Regional School District 13",160,149,93.1
"Regional School District 14",200,192,96.0
"Regional School District 15",319,311,97.5
"Regional School District 16",186,172,92.5
"Regional School District 17",164,160,97.6
"Regional School District 18",112,109,97.3
"Regional School District 19",314,294,93.6
"Ridgefield School District",414,408,98.6
"Rocky Hill School District",176,166,94.3
"Seymour School District",180,160,88.9
"Shelton School District",395,370,93.7
"Simsbury School District",404,394,97.5
"Somers School District",147,144,98.0
"South Windsor School District",385,372,96.6
"Southington School District",488,465,95.3
"Stafford School District",129,116,89.9
"Stamford Academy District",37,21,56.8
"Stamford School District",1211,1112,91.8
"Stonington School District",203,195,96.1
"Stratford School District",555,520,93.7
"Suffield School District",218,208,95.4
"The Bridge Academy District",36,34,94.4
"The Gilbert School District",87,72,82.8
"Thomaston School District",78,75,96.2
"Thompson School District",85,79,92.9
"Tolland School District",243,230,94.7
"Torrington School District",274,247,90.1
"Trumbull School District",547,541,98.9
"Unified School District #1",500,10,2.0
"Unified School District #2",40,"*","*"
"Vernon School District",238,204,85.7
"Wallingford School District",534,497,93.1
"Waterbury School District",1290,901,69.8
"Waterford School District",242,228,94.2
"Watertown School District",271,248,91.5
"West Hartford School District",827,792,95.8
"West Haven School District",435,315,72.4
"Westbrook School District",78,75,96.2
"Weston School District",208,206,99.0
"Westport School District",465,464,99.8
"Wethersfield School District",267,249,93.3
"Wilton School District",324,316,97.5
"Windham School District",192,163,84.9
"Windsor Locks School District",139,130,93.5
"Windsor School District",346,315,91.0
"Wolcott School District",219,209,95.4
"Woodstock Academy District",281,271,96.4

