"Six-Year Graduation Rates, 2012-13"
"All Districts, Gender"

"",,,"Graduates",
"District","Gender","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Female",12,11,91.7
"Amistad Academy District","Male",11,9,81.8
"Ansonia School District","Female",107,95,88.8
"Ansonia School District","Male",104,81,77.9
"Avon School District","Female",122,119,97.5
"Avon School District","Male",141,139,98.6
"Berlin School District","Female",140,134,95.7
"Berlin School District","Male",123,119,96.7
"Bethel School District","Female",117,111,94.9
"Bethel School District","Male",116,114,98.3
"Bloomfield School District","Female",80,76,95.0
"Bloomfield School District","Male",79,75,94.9
"Bolton School District","Female",45,44,97.8
"Bolton School District","Male",38,35,92.1
"Branford School District","Female",153,144,94.1
"Branford School District","Male",118,111,94.1
"Bridgeport School District","Female",614,471,76.7
"Bridgeport School District","Male",597,420,70.4
"Bristol School District","Female",295,260,88.1
"Bristol School District","Male",335,280,83.6
"Brookfield School District","Female",122,120,98.4
"Brookfield School District","Male",118,114,96.6
"Canton School District","Female",63,62,98.4
"Canton School District","Male",61,61,100.0
"Capitol Region Education Council","Female",142,121,85.2
"Capitol Region Education Council","Male",121,98,81.0
"Cheshire School District","Female",189,185,97.9
"Cheshire School District","Male",195,187,95.9
"Clinton School District","Female",69,66,95.7
"Clinton School District","Male",74,67,90.5
"Colchester School District","Female",128,125,97.7
"Colchester School District","Male",125,119,95.2
"Common Ground High School District","Female",16,14,87.5
"Common Ground High School District","Male",22,22,100.0
"Connecticut Technical High School System","Female",891,858,96.3
"Connecticut Technical High School System","Male",1582,1542,97.5
"Coventry School District","Female",72,67,93.1
"Coventry School District","Male",66,59,89.4
"Cromwell School District","Female",76,72,94.7
"Cromwell School District","Male",64,62,96.9
"Danbury School District","Female",384,337,87.8
"Danbury School District","Male",390,325,83.3
"Darien School District","Female",159,155,97.5
"Darien School District","Male",157,153,97.5
"Department of Mental Health and Addiction Services","Female","*","*","*"
"Department of Mental Health and Addiction Services","Male","*","*","*"
"Derby School District","Female",42,32,76.2
"Derby School District","Male",42,39,92.9
"East Granby School District","Female",31,31,100.0
"East Granby School District","Male",39,38,97.4
"East Haddam School District","Female",50,48,96.0
"East Haddam School District","Male",48,48,100.0
"East Hampton School District","Female",67,66,98.5
"East Hampton School District","Male",65,63,96.9
"East Hartford School District","Female",258,225,87.2
"East Hartford School District","Male",286,236,82.5
"East Haven School District","Female",114,96,84.2
"East Haven School District","Male",132,91,68.9
"East Lyme School District","Female",159,156,98.1
"East Lyme School District","Male",151,144,95.4
"East Windsor School District","Female",48,44,91.7
"East Windsor School District","Male",44,38,86.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",41,36,87.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",32,26,81.3
"Ellington School District","Female",106,100,94.3
"Ellington School District","Male",92,87,94.6
"Elm City College Preparatory School District","Female",7,"*","*"
"Elm City College Preparatory School District","Male",6,"*","*"
"Enfield School District","Female",220,201,91.4
"Enfield School District","Male",223,202,90.6
"Explorations District","Female",17,10,58.8
"Explorations District","Male",13,11,84.6
"Fairfield School District","Female",344,331,96.2
"Fairfield School District","Male",361,339,93.9
"Farmington School District","Female",162,159,98.1
"Farmington School District","Male",163,157,96.3
"Glastonbury School District","Female",276,269,97.5
"Glastonbury School District","Male",275,270,98.2
"Granby School District","Female",98,97,99.0
"Granby School District","Male",97,95,97.9
