"Six-Year Graduation Rates, 2012-13"
"All Districts, High Needs Status"

"",,,"Non-Graduates",,,
"District","High Needs Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","High Needs","*","*","*","*","*"
"Amistad Academy District","Non-High Needs","*","*","*","*","*"
"Ansonia School District","High Needs",157,"*","*","*","*"
"Ansonia School District","Non-High Needs",54,"*","*","*","*"
"Avon School District","High Needs",47,"*","*","*","*"
"Avon School District","Non-High Needs",216,"*","*","*","*"
"Berlin School District","High Needs",52,"*","*","*","*"
"Berlin School District","Non-High Needs",211,"*","*","*","*"
"Bethel School District","High Needs",60,"*","*","*","*"
"Bethel School District","Non-High Needs",173,"*","*","*","*"
"Bloomfield School District","High Needs",93,"*","*","*","*"
"Bloomfield School District","Non-High Needs",66,"*","*","*","*"
"Bolton School District","High Needs",22,"*","*","*","*"
"Bolton School District","Non-High Needs",61,"*","*","*","*"
"Branford School District","High Needs",83,"*","*","*","*"
"Branford School District","Non-High Needs",188,"*","*","*","*"
"Bridgeport School District","High Needs",1202,"*","*","*","*"
"Bridgeport School District","Non-High Needs",9,"*","*","*","*"
"Bristol School District","High Needs",302,"*","*",64,21.2
"Bristol School District","Non-High Needs",328,"*","*",13,4.0
"Brookfield School District","High Needs",41,"*","*","*","*"
"Brookfield School District","Non-High Needs",199,"*","*","*","*"
"Canton School District","High Needs",32,"*","*","*","*"
"Canton School District","Non-High Needs",92,"*","*","*","*"
"Capitol Region Education Council","High Needs",160,"*","*",29,18.1
"Capitol Region Education Council","Non-High Needs",103,"*","*",9,8.7
"Cheshire School District","High Needs",88,"*","*","*","*"
"Cheshire School District","Non-High Needs",296,"*","*","*","*"
"Clinton School District","High Needs",52,"*","*","*","*"
"Clinton School District","Non-High Needs",91,"*","*","*","*"
"Colchester School District","High Needs",55,"*","*","*","*"
"Colchester School District","Non-High Needs",198,"*","*","*","*"
"Common Ground High School District","High Needs",30,"*","*","*","*"
"Common Ground High School District","Non-High Needs",8,"*","*","*","*"
"Connecticut Technical High School System","High Needs",1441,"*","*",56,3.9
"Connecticut Technical High School System","Non-High Needs",1032,"*","*",17,1.6
"Coventry School District","High Needs",43,"*","*","*","*"
"Coventry School District","Non-High Needs",95,"*","*","*","*"
"Cromwell School District","High Needs",41,"*","*","*","*"
"Cromwell School District","Non-High Needs",99,"*","*","*","*"
"Danbury School District","High Needs",441,"*","*",89,20.2
"Danbury School District","Non-High Needs",333,"*","*",17,5.1
"Darien School District","High Needs",45,"*","*","*","*"
"Darien School District","Non-High Needs",271,"*","*","*","*"
"Department of Mental Health and Addiction Services","High Needs","*","*","*","*","*"
"Derby School District","High Needs",53,"*","*","*","*"
"Derby School District","Non-High Needs",31,"*","*","*","*"
"East Granby School District","High Needs",11,"*","*","*","*"
"East Granby School District","Non-High Needs",59,"*","*","*","*"
"East Haddam School District","High Needs",23,"*","*","*","*"
"East Haddam School District","Non-High Needs",75,"*","*","*","*"
"East Hampton School District","High Needs",27,"*","*","*","*"
"East Hampton School District","Non-High Needs",105,"*","*","*","*"
"East Hartford School District","High Needs",415,"*","*",70,16.9
"East Hartford School District","Non-High Needs",129,"*","*",8,6.2
"East Haven School District","High Needs",139,"*","*",43,30.9
"East Haven School District","Non-High Needs",107,"*","*",10,9.3
"East Lyme School District","High Needs",70,"*","*","*","*"
"East Lyme School District","Non-High Needs",240,"*","*","*","*"
"East Windsor School District","High Needs",49,"*","*","*","*"
"East Windsor School District","Non-High Needs",43,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",40,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-High Needs",33,"*","*","*","*"
"Ellington School District","High Needs",39,"*","*","*","*"
"Ellington School District","Non-High Needs",159,"*","*","*","*"
"Elm City College Preparatory School District","High Needs","*","*","*","*","*"
"Elm City College Preparatory School District","Non-High Needs","*","*","*","*","*"
"Enfield School District","High Needs",170,"*","*",29,17.1
"Enfield School District","Non-High Needs",273,"*","*",9,3.3
"Explorations District","High Needs",17,"*","*","*","*"
"Explorations District","Non-High Needs",13,"*","*","*","*"
"Fairfield School District","High Needs",179,"*","*",16,8.9
"Fairfield School District","Non-High Needs",526,"*","*",7,1.3
"Farmington School District","High Needs",63,"*","*","*","*"
"Farmington School District","Non-High Needs",262,"*","*","*","*"
"Glastonbury School District","High Needs",92,"*","*","*","*"
"Glastonbury School District","Non-High Needs",459,"*","*","*","*"
"Granby School District","High Needs",27,"*","*","*","*"
"Granby School District","Non-High Needs",168,"*","*","*","*"
"Greenwich School District","High Needs",188,"*","*","*","*"
"Greenwich School District","Non-High Needs",501,"*","*","*","*"
"Griswold School District","High Needs",74,"*","*","*","*"
"Griswold School District","Non-High Needs",95,"*","*","*","*"
"Groton School District","High Needs",150,"*","*",31,20.7
"Groton School District","Non-High Needs",179,"*","*",14,7.8
"Guilford School District","High Needs",57,"*","*",6,10.5
