"Six-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""",18,"*","*"
"Ansonia School District","=""0020011""",200,167,83.5
"Avon School District","=""0040011""",283,277,97.9
"Berlin School District","=""0070011""",257,252,98.1
"Bethel School District","=""0090011""",236,229,97.0
"Bloomfield School District","=""0110011""",193,175,90.7
"Bolton School District","=""0120011""",70,"*","*"
"Branford School District","=""0140011""",259,246,95.0
"Bridgeport School District","=""0150011""",1266,904,71.4
"Bristol School District","=""0170011""",629,562,89.3
"Brookfield School District","=""0180011""",253,250,98.8
"Canton School District","=""0230011""",118,"*","*"
"Capitol Region Education Council","=""2410014""",331,276,83.4
"Cheshire School District","=""0250011""",407,400,98.3
"Clinton School District","=""0270011""",121,114,94.2
"Colchester School District","=""0280011""",243,238,97.9
"Common Ground High School District","=""2680013""",30,"*","*"
"Connecticut Technical High School System","=""9000016""",2530,2445,96.6
"Coventry School District","=""0320011""",150,138,92.0
"Cromwell School District","=""0330011""",151,143,94.7
"Danbury School District","=""0340011""",754,647,85.8
"Darien School District","=""0350011""",311,303,97.4
"Derby School District","=""0370011""",112,90,80.4
"East Granby School District","=""0400011""",60,58,96.7
"East Haddam School District","=""0410011""",103,96,93.2
"East Hampton School District","=""0420011""",164,157,95.7
"East Hartford School District","=""0430011""",579,490,84.6
"East Haven School District","=""0440011""",226,174,77.0
"East Lyme School District","=""0450011""",302,285,94.4
"East Windsor School District","=""0470011""",88,79,89.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",85,70,82.4
"Ellington School District","=""0480011""",200,186,93.0
"Elm City College Preparatory School District","=""2890013""",19,"*","*"
"Enfield School District","=""0490011""",513,451,87.9
"Explorations District","=""2720013""",28,17,60.7
"Fairfield School District","=""0510011""",692,668,96.5
"Farmington School District","=""0520011""",305,294,96.4
"Glastonbury School District","=""0540011""",513,500,97.5
"Granby School District","=""0560011""",188,"*","*"
"Greenwich School District","=""0570011""",641,614,95.8
"Griswold School District","=""0580011""",186,163,87.6
"Groton School District","=""0590011""",347,288,83.0
"Guilford School District","=""0600011""",287,282,98.3
"Hamden School District","=""0620011""",515,466,90.5
