"Six-Year Graduation Rates, 2012-13"
"All Districts, Gender"

"",,,,"Non-Graduates",,,
"District","District Code","Gender","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Female",12,0,"*","*","*"
"Amistad Academy District","=""2790013""","Male",11,"*","*","*","*"
"Ansonia School District","=""0020011""","Female",107,"*","*","*","*"
"Ansonia School District","=""0020011""","Male",104,"*","*","*","*"
"Avon School District","=""0040011""","Female",122,"*","*","*","*"
"Avon School District","=""0040011""","Male",141,"*","*",0,0.0
"Berlin School District","=""0070011""","Female",140,"*","*","*","*"
"Berlin School District","=""0070011""","Male",123,0,0.0,"*","*"
"Bethel School District","=""0090011""","Female",117,"*","*","*","*"
"Bethel School District","=""0090011""","Male",116,"*","*","*","*"
"Bloomfield School District","=""0110011""","Female",80,"*","*","*","*"
"Bloomfield School District","=""0110011""","Male",79,0,0.0,"*","*"
"Bolton School District","=""0120011""","Female",45,0,0.0,"*","*"
"Bolton School District","=""0120011""","Male",38,"*","*","*","*"
"Branford School District","=""0140011""","Female",153,"*","*","*","*"
"Branford School District","=""0140011""","Male",118,"*","*","*","*"
"Bridgeport School District","=""0150011""","Female",614,"*","*","*","*"
"Bridgeport School District","=""0150011""","Male",597,"*","*","*","*"
"Bristol School District","=""0170011""","Female",295,"*","*","*","*"
"Bristol School District","=""0170011""","Male",335,"*","*","*","*"
"Brookfield School District","=""0180011""","Female",122,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Male",118,0,0.0,"*","*"
"Canton School District","=""0230011""","Female",63,"*","*",0,0.0
"Canton School District","=""0230011""","Male",61,0,0.0,0,0.0
"Capitol Region Education Council","=""2410014""","Female",142,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Male",121,"*","*","*","*"
"Cheshire School District","=""0250011""","Female",189,"*","*","*","*"
"Cheshire School District","=""0250011""","Male",195,"*","*","*","*"
"Clinton School District","=""0270011""","Female",69,"*","*","*","*"
"Clinton School District","=""0270011""","Male",74,0,0.0,"*","*"
"Colchester School District","=""0280011""","Female",128,"*","*","*","*"
"Colchester School District","=""0280011""","Male",125,"*","*","*","*"
"Common Ground High School District","=""2680013""","Female",16,0,"*","*","*"
"Common Ground High School District","=""2680013""","Male",22,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","Female",891,0,0.0,33,3.7
"Connecticut Technical High School System","=""9000016""","Male",1582,0,0.0,40,2.5
"Coventry School District","=""0320011""","Female",72,0,0.0,"*","*"
"Coventry School District","=""0320011""","Male",66,"*","*","*","*"
