"Six-Year Graduation Rates, 2011-12"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",
"District","Free/Reduced Price Meal Eligibility","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Eligible For Free Lunch",13,12,92.3
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","Not Eligible For Lunch","*","*","*"
"Ansonia School District","Eligible For Free Lunch",85,62,72.9
"Ansonia School District","Eligible For Reduced Lunch",43,39,90.7
"Ansonia School District","Not Eligible For Lunch",72,66,91.7
"Avon School District","Eligible For Free Lunch","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*"
"Avon School District","Not Eligible For Lunch",272,268,98.5
"Berlin School District","Eligible For Free Lunch",19,19,100.0
"Berlin School District","Eligible For Reduced Lunch",9,8,88.9
"Berlin School District","Not Eligible For Lunch",229,225,98.3
"Bethel School District","Eligible For Free Lunch",20,20,100.0
"Bethel School District","Eligible For Reduced Lunch",16,15,93.8
"Bethel School District","Not Eligible For Lunch",200,194,97.0
"Bloomfield School District","Eligible For Free Lunch",83,72,86.7
"Bloomfield School District","Eligible For Reduced Lunch",31,27,87.1
"Bloomfield School District","Not Eligible For Lunch",79,76,96.2
"Bolton School District","Eligible For Free Lunch","*","*","*"
"Bolton School District","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","Not Eligible For Lunch",62,62,100.0
"Branford School District","Eligible For Free Lunch",39,36,92.3
"Branford School District","Eligible For Reduced Lunch",22,21,95.5
"Branford School District","Not Eligible For Lunch",198,189,95.5
"Bridgeport School District","Eligible For Free Lunch",1189,845,71.1
"Bridgeport School District","Eligible For Reduced Lunch",67,53,79.1
"Bridgeport School District","Not Eligible For Lunch",10,6,60.0
"Bristol School District","Eligible For Free Lunch",173,135,78.0
"Bristol School District","Eligible For Reduced Lunch",69,60,87.0
"Bristol School District","Not Eligible For Lunch",387,367,94.8
"Brookfield School District","Eligible For Free Lunch","*","*","*"
"Brookfield School District","Eligible For Reduced Lunch","*","*","*"
"Brookfield School District","Not Eligible For Lunch",237,235,99.2
"Canton School District","Eligible For Free Lunch",7,7,100.0
"Canton School District","Not Eligible For Lunch",111,110,99.1
"Capitol Region Education Council","Eligible For Free Lunch",127,104,81.9
"Capitol Region Education Council","Eligible For Reduced Lunch",55,50,90.9
"Capitol Region Education Council","Not Eligible For Lunch",149,122,81.9
"Cheshire School District","Eligible For Free Lunch",20,18,90.0
"Cheshire School District","Eligible For Reduced Lunch",24,24,100.0
"Cheshire School District","Not Eligible For Lunch",363,358,98.6
"Clinton School District","Eligible For Free Lunch","*","*","*"
"Clinton School District","Eligible For Reduced Lunch","*","*","*"
"Clinton School District","Not Eligible For Lunch",106,99,93.4
"Colchester School District","Eligible For Free Lunch",23,21,91.3
"Colchester School District","Eligible For Reduced Lunch",15,15,100.0
"Colchester School District","Not Eligible For Lunch",205,202,98.5
"Common Ground High School District","Eligible For Free Lunch",16,15,93.8
"Common Ground High School District","Eligible For Reduced Lunch",8,8,100.0
"Common Ground High School District","Not Eligible For Lunch",6,6,100.0
"Connecticut Technical High School System","Eligible For Free Lunch",956,915,95.7
"Connecticut Technical High School System","Eligible For Reduced Lunch",419,402,95.9
"Connecticut Technical High School System","Not Eligible For Lunch",1155,1128,97.7
"Coventry School District","Eligible For Free Lunch",17,12,70.6
"Coventry School District","Eligible For Reduced Lunch",14,12,85.7
"Coventry School District","Not Eligible For Lunch",119,114,95.8
