"Six-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,"Non-Graduates",,,
"District","English Learner Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","ELL","*","*","*","*","*"
"Amistad Academy District","Non-ELL","*","*","*","*","*"
"Ansonia School District","ELL",13,"*","*","*","*"
"Ansonia School District","Non-ELL",198,"*","*","*","*"
"Avon School District","ELL","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*"
"Bolton School District","Non-ELL",83,"*","*","*","*"
"Branford School District","ELL","*","*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*"
"Bridgeport School District","ELL",173,"*","*",59,34.1
"Bridgeport School District","Non-ELL",1038,"*","*",250,24.1
"Bristol School District","ELL",24,"*","*",6,25.0
"Bristol School District","Non-ELL",606,"*","*",71,11.7
"Brookfield School District","ELL","*","*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*"
"Canton School District","Non-ELL",124,"*","*","*","*"
"Capitol Region Education Council","ELL",11,"*","*","*","*"
"Capitol Region Education Council","Non-ELL",252,"*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*"
"Common Ground High School District","ELL","*","*","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","ELL",96,"*","*",10,10.4
"Connecticut Technical High School System","Non-ELL",2377,"*","*",63,2.7
"Coventry School District","ELL","*","*","*","*","*"
"Coventry School District","Non-ELL","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*"
"Cromwell School District","Non-ELL","*","*","*","*","*"
"Danbury School District","ELL",133,"*","*",37,27.8
"Danbury School District","Non-ELL",641,"*","*",69,10.8
"Darien School District","Non-ELL",316,"*","*","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*"
"East Granby School District","Non-ELL",70,"*","*","*","*"
"East Haddam School District","Non-ELL",98,"*","*","*","*"
"East Hampton School District","ELL","*","*","*","*","*"
"East Hampton School District","Non-ELL","*","*","*","*","*"
"East Hartford School District","ELL",33,"*","*","*","*"
"East Hartford School District","Non-ELL",511,"*","*","*","*"
"East Haven School District","ELL","*","*","*","*","*"
"East Haven School District","Non-ELL","*","*","*","*","*"
"East Lyme School District","ELL","*","*","*","*","*"
"East Lyme School District","Non-ELL","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL",13,"*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*"
"Explorations District","ELL","*","*","*","*","*"
"Explorations District","Non-ELL","*","*","*","*","*"
"Fairfield School District","ELL",14,"*","*","*","*"
"Fairfield School District","Non-ELL",691,"*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*"
"Granby School District","Non-ELL",195,"*","*","*","*"
"Greenwich School District","ELL",23,"*","*","*","*"
"Greenwich School District","Non-ELL",666,"*","*","*","*"
"Griswold School District","Non-ELL",169,"*","*","*","*"
"Groton School District","ELL",10,"*","*","*","*"
"Groton School District","Non-ELL",319,"*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*"
"Hamden School District","ELL",10,"*","*","*","*"
"Hamden School District","Non-ELL",438,"*","*","*","*"
"Hartford School District","ELL",222,"*","*",73,32.9
"Hartford School District","Non-ELL",1218,"*","*",232,19.0
"Killingly School District","ELL","*","*","*","*","*"
"Killingly School District","Non-ELL","*","*","*","*","*"
"Learn","ELL","*","*","*","*","*"
"Learn","Non-ELL","*","*","*","*","*"
"Lebanon School District","ELL","*","*","*","*","*"
"Lebanon School District","Non-ELL","*","*","*","*","*"
"Ledyard School District","Non-ELL",229,"*","*","*","*"
"Lisbon School District","Non-ELL",6,"*","*","*","*"
"Litchfield School District","ELL","*","*","*","*","*"
"Litchfield School District","Non-ELL","*","*","*","*","*"
"Madison School District","Non-ELL",315,"*","*","*","*"
"Manchester School District","ELL",28,"*","*","*","*"
"Manchester School District","Non-ELL",442,"*","*","*","*"
"Meriden School District","ELL",62,"*","*",23,37.1
"Meriden School District","Non-ELL",563,"*","*",118,21.0
"Middletown School District","ELL",12,"*","*","*","*"
"Middletown School District","Non-ELL",362,"*","*","*","*"
"Milford School District","ELL","*","*","*","*","*"
"Milford School District","Non-ELL","*","*","*","*","*"
"Monroe School District","Non-ELL",310,"*","*","*","*"
"Montville School District","ELL",8,"*","*","*","*"
"Montville School District","Non-ELL",179,"*","*","*","*"
"Naugatuck School District","ELL",14,"*","*","*","*"
"Naugatuck School District","Non-ELL",318,"*","*","*","*"
"New Britain School District","ELL",118,"*","*",43,36.4
"New Britain School District","Non-ELL",527,"*","*",151,28.7
"New Canaan School District","ELL","*","*","*","*","*"
"New Canaan School District","Non-ELL","*","*","*","*","*"
"New Fairfield School District","ELL","*","*","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*","*","*"
"New Haven School District","ELL",134,"*","*",46,34.3
"New Haven School District","Non-ELL",1170,"*","*",235,20.1
"New London School District","ELL",59,"*","*",16,27.1
"New London School District","Non-ELL",198,"*","*",57,28.8
"New Milford School District","ELL",6,"*","*","*","*"
"New Milford School District","Non-ELL",384,"*","*","*","*"
"Newington School District","ELL",15,"*","*","*","*"
"Newington School District","Non-ELL",360,"*","*","*","*"
"Newtown School District","Non-ELL",470,"*","*","*","*"
"North Branford School District","ELL","*","*","*","*","*"
"North Branford School District","Non-ELL","*","*","*","*","*"
"North Haven School District","ELL","*","*","*","*","*"
"North Haven School District","Non-ELL","*","*","*","*","*"
"North Stonington School District","Non-ELL",48,"*","*","*","*"
"Norwalk School District","ELL",80,"*","*",23,28.8
"Norwalk School District","Non-ELL",699,"*","*",73,10.4
"Norwich Free Academy District","ELL",33,"*","*","*","*"
"Norwich Free Academy District","Non-ELL",553,"*","*","*","*"
"Old Saybrook School District","ELL","*","*","*","*","*"
"Old Saybrook School District","Non-ELL","*","*","*","*","*"
"Oxford School District","ELL","*","*","*","*","*"
"Oxford School District","Non-ELL","*","*","*","*","*"
"Plainfield School District","ELL","*","*","*","*","*"
"Plainfield School District","Non-ELL","*","*","*","*","*"
"Plainville School District","ELL","*","*","*","*","*"
"Plainville School District","Non-ELL","*","*","*","*","*"
"Plymouth School District","ELL","*","*","*","*","*"
"Plymouth School District","Non-ELL","*","*","*","*","*"
"Portland School District","ELL","*","*","*","*","*"
"Portland School District","Non-ELL","*","*","*","*","*"
"Putnam School District","Non-ELL",97,"*","*","*","*"
"Regional School District 01","ELL","*","*","*","*","*"
"Regional School District 01","Non-ELL","*","*","*","*","*"
"Regional School District 04","Non-ELL",162,"*","*","*","*"
"Regional School District 05","ELL","*","*","*","*","*"
"Regional School District 05","Non-ELL","*","*","*","*","*"
"Regional School District 06","ELL","*","*","*","*","*"
"Regional School District 06","Non-ELL","*","*","*","*","*"
"Regional School District 07","Non-ELL",194,"*","*","*","*"
"Regional School District 08","Non-ELL",285,"*","*","*","*"
"Regional School District 09","ELL","*","*","*","*","*"
"Regional School District 09","Non-ELL","*","*","*","*","*"
"Regional School District 10","ELL","*","*","*","*","*"
"Regional School District 10","Non-ELL","*","*","*","*","*"
"Regional School District 11","Non-ELL",44,"*","*","*","*"
"Regional School District 12","ELL","*","*","*","*","*"
"Regional School District 12","Non-ELL","*","*","*","*","*"
"Regional School District 13","ELL","*","*","*","*","*"
"Regional School District 13","Non-ELL","*","*","*","*","*"
"Regional School District 14","ELL","*","*","*","*","*"
"Regional School District 14","Non-ELL","*","*","*","*","*"
"Regional School District 15","ELL","*","*","*","*","*"
"Regional School District 15","Non-ELL","*","*","*","*","*"
"Regional School District 16","ELL","*","*","*","*","*"
"Regional School District 16","Non-ELL","*","*","*","*","*"
"Regional School District 17","ELL","*","*","*","*","*"
"Regional School District 17","Non-ELL","*","*","*","*","*"
"Regional School District 18","ELL","*","*","*","*","*"
"Regional School District 18","Non-ELL","*","*","*","*","*"
"Regional School District 19","ELL","*","*","*","*","*"
"Regional School District 19","Non-ELL","*","*","*","*","*"
"Ridgefield School District","ELL","*","*","*","*","*"
"Ridgefield School District","Non-ELL","*","*","*","*","*"
"Rocky Hill School District","ELL","*","*","*","*","*"
"Rocky Hill School District","Non-ELL","*","*","*","*","*"
"Seymour School District","ELL","*","*","*","*","*"
"Seymour School District","Non-ELL","*","*","*","*","*"
"Shelton School District","ELL",8,"*","*","*","*"
"Shelton School District","Non-ELL",387,"*","*","*","*"
"Simsbury School District","Non-ELL",404,"*","*","*","*"
"Somers School District","ELL","*","*","*","*","*"
"Somers School District","Non-ELL","*","*","*","*","*"
"South Windsor School District","ELL",6,"*","*","*","*"
"South Windsor School District","Non-ELL",379,"*","*","*","*"
"Southington School District","ELL",7,"*","*","*","*"
"Southington School District","Non-ELL",481,"*","*","*","*"
"Stafford School District","ELL","*","*","*","*","*"
"Stafford School District","Non-ELL","*","*","*","*","*"
"Stamford Academy District","ELL","*","*","*","*","*"
"Stamford Academy District","Non-ELL","*","*","*","*","*"
"Stamford School District","ELL",137,"*","*",27,19.7
"Stamford School District","Non-ELL",1074,"*","*",64,6.0
"Stonington School District","ELL","*","*","*","*","*"
"Stonington School District","Non-ELL","*","*","*","*","*"
"Stratford School District","ELL",13,"*","*","*","*"
"Stratford School District","Non-ELL",542,"*","*","*","*"
"Suffield School District","Non-ELL",218,"*","*","*","*"
"The Bridge Academy District","Non-ELL",36,"*","*","*","*"
"The Gilbert School District","ELL","*","*","*","*","*"
"The Gilbert School District","Non-ELL","*","*","*","*","*"
"Thomaston School District","ELL","*","*","*","*","*"
"Thomaston School District","Non-ELL","*","*","*","*","*"
