"Six-Year Graduation Rates, 2012-13"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",
"District","District Code","Free/Reduced Price Meal Eligibility","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",18,15,"*"
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*","*","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",106,81,76.4
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",37,31,83.8
"Ansonia School District","=""0020011""","Not Eligible For Lunch",68,64,94.1
"Avon School District","=""0040011""","Eligible For Free Lunch","*","*","*"
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*","*","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",250,"*","*"
"Berlin School District","=""0070011""","Eligible For Free Lunch",25,21,84.0
"Berlin School District","=""0070011""","Eligible For Reduced Lunch",9,"*","*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",229,"*","*"
"Bethel School District","=""0090011""","Eligible For Free Lunch",25,21,84.0
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",15,"*","*"
"Bethel School District","=""0090011""","Not Eligible For Lunch",193,"*","*"
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",63,58,92.1
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",25,"*","*"
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",71,"*","*"
"Bolton School District","=""0120011""","Eligible For Free Lunch","*","*","*"
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",73,69,94.5
"Branford School District","=""0140011""","Eligible For Free Lunch",38,"*","*"
"Branford School District","=""0140011""","Eligible For Reduced Lunch",21,"*","*"
"Branford School District","=""0140011""","Not Eligible For Lunch",212,200,94.3
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",1126,822,73.0
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch",71,59,83.1
"Bridgeport School District","=""0150011""","Not Eligible For Lunch",14,10,"*"
"Bristol School District","=""0170011""","Eligible For Free Lunch",161,112,69.6
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",80,64,80.0
"Bristol School District","=""0170011""","Not Eligible For Lunch",389,364,93.6
"Brookfield School District","=""0180011""","Eligible For Free Lunch",18,"*","*"
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch",9,"*","*"
"Brookfield School District","=""0180011""","Not Eligible For Lunch",213,"*","*"
"Canton School District","=""0230011""","Eligible For Free Lunch",8,"*","*"
"Canton School District","=""0230011""","Eligible For Reduced Lunch",8,8,"*"
"Canton School District","=""0230011""","Not Eligible For Lunch",108,"*","*"
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",100,"*","*"
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",32,"*","*"
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",131,108,82.4
"Cheshire School District","=""0250011""","Eligible For Free Lunch",22,"*","*"
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch",13,"*","*"
"Cheshire School District","=""0250011""","Not Eligible For Lunch",349,340,97.4
"Clinton School District","=""0270011""","Eligible For Free Lunch",21,"*","*"
"Clinton School District","=""0270011""","Eligible For Reduced Lunch",8,"*","*"
"Clinton School District","=""0270011""","Not Eligible For Lunch",114,107,93.9
"Colchester School District","=""0280011""","Eligible For Free Lunch",19,"*","*"
