"Six-Year Graduation Rates, 2010-11"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education",26,18,69.2
"Ansonia School District","=""0020011""","Non-Special Education",165,133,80.6
"Ansonia School District","=""0020011""","Special Education",22,13,59.1
"Avon School District","=""0040011""","Non-Special Education",230,"*","*"
"Avon School District","=""0040011""","Special Education",25,"*","*"
"Berlin School District","=""0070011""","Non-Special Education",232,"*","*"
"Berlin School District","=""0070011""","Special Education",30,"*","*"
"Bethel School District","=""0090011""","Non-Special Education",223,217,97.3
"Bethel School District","=""0090011""","Special Education",27,23,85.2
"Bloomfield School District","=""0110011""","Non-Special Education",155,134,86.5
"Bloomfield School District","=""0110011""","Special Education",28,20,71.4
"Bolton School District","=""0120011""","Non-Special Education","*","*","*"
"Bolton School District","=""0120011""","Special Education","*","*","*"
"Branford School District","=""0140011""","Non-Special Education",248,241,97.2
"Branford School District","=""0140011""","Special Education",36,29,80.6
"Bridgeport School District","=""0150011""","Non-Special Education",1232,856,69.5
"Bridgeport School District","=""0150011""","Special Education",173,80,46.2
"Bristol School District","=""0170011""","Non-Special Education",628,529,84.2
"Bristol School District","=""0170011""","Special Education",76,59,77.6
"Brookfield School District","=""0180011""","Non-Special Education",253,"*","*"
"Brookfield School District","=""0180011""","Special Education",11,"*","*"
"Canton School District","=""0230011""","Non-Special Education",103,"*","*"
"Canton School District","=""0230011""","Special Education",17,"*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",272,242,89.0
"Capitol Region Education Council","=""2410014""","Special Education",32,23,71.9
"Cheshire School District","=""0250011""","Non-Special Education",334,"*","*"
"Cheshire School District","=""0250011""","Special Education",41,"*","*"
"Clinton School District","=""0270011""","Non-Special Education",126,120,95.2
"Clinton School District","=""0270011""","Special Education",19,18,"*"
"Colchester School District","=""0280011""","Non-Special Education",223,216,96.9
"Colchester School District","=""0280011""","Special Education",27,24,88.9
"Common Ground High School District","=""2680013""","Non-Special Education",30,"*","*"
"Common Ground High School District","=""2680013""","Special Education",8,"*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2146,2023,94.3
"Connecticut Technical High School System","=""9000016""","Special Education",184,175,95.1
"Coventry School District","=""0320011""","Non-Special Education",133,127,95.5
"Coventry School District","=""0320011""","Special Education",20,13,65.0
"Cromwell School District","=""0330011""","Non-Special Education",147,"*","*"
"Cromwell School District","=""0330011""","Special Education",23,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",680,572,84.1
"Danbury School District","=""0340011""","Special Education",76,59,77.6
"Darien School District","=""0350011""","Non-Special Education",291,"*","*"
"Darien School District","=""0350011""","Special Education",36,"*","*"
"Derby School District","=""0370011""","Non-Special Education",114,"*","*"
"Derby School District","=""0370011""","Special Education",8,"*","*"
"East Granby School District","=""0400011""","Non-Special Education",69,"*","*"
"East Granby School District","=""0400011""","Special Education",7,"*","*"
"East Haddam School District","=""0410011""","Non-Special Education","*","*","*"
"East Haddam School District","=""0410011""","Special Education","*","*","*"
"East Hampton School District","=""0420011""","Non-Special Education",125,118,94.4
"East Hampton School District","=""0420011""","Special Education",14,9,"*"
"East Hartford School District","=""0430011""","Non-Special Education",514,450,87.5
"East Hartford School District","=""0430011""","Special Education",80,60,75.0
"East Haven School District","=""0440011""","Non-Special Education",272,241,88.6
"East Haven School District","=""0440011""","Special Education",29,19,65.5
