"Six-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,,"Graduates",
"District","District Code","English Learner Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","ELL","*","*","*"
"Amistad Academy District","=""2790013""","Non-ELL","*","*","*"
"Ansonia School District","=""0020011""","ELL",13,9,"*"
"Ansonia School District","=""0020011""","Non-ELL",198,167,84.3
"Avon School District","=""0040011""","ELL","*","*","*"
"Avon School District","=""0040011""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","ELL","*","*","*"
"Berlin School District","=""0070011""","Non-ELL","*","*","*"
"Bethel School District","=""0090011""","ELL","*","*","*"
"Bethel School District","=""0090011""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL","*","*","*"
"Bolton School District","=""0120011""","Non-ELL",83,79,95.2
"Branford School District","=""0140011""","ELL","*","*","*"
"Branford School District","=""0140011""","Non-ELL","*","*","*"
"Bridgeport School District","=""0150011""","ELL",173,111,64.2
"Bridgeport School District","=""0150011""","Non-ELL",1038,780,75.1
"Bristol School District","=""0170011""","ELL",24,17,70.8
"Bristol School District","=""0170011""","Non-ELL",606,523,86.3
"Brookfield School District","=""0180011""","ELL","*","*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*"
"Canton School District","=""0230011""","Non-ELL",124,"*","*"
"Capitol Region Education Council","=""2410014""","ELL",11,"*","*"
"Capitol Region Education Council","=""2410014""","Non-ELL",252,"*","*"
"Cheshire School District","=""0250011""","ELL","*","*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*"
"Clinton School District","=""0270011""","ELL","*","*","*"
"Clinton School District","=""0270011""","Non-ELL","*","*","*"
"Colchester School District","=""0280011""","ELL","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*"
"Common Ground High School District","=""2680013""","ELL","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","ELL",96,86,89.6
"Connecticut Technical High School System","=""9000016""","Non-ELL",2377,2314,97.3
"Coventry School District","=""0320011""","ELL","*","*","*"
"Coventry School District","=""0320011""","Non-ELL","*","*","*"
"Cromwell School District","=""0330011""","ELL","*","*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*","*"
"Danbury School District","=""0340011""","ELL",133,95,71.4
"Danbury School District","=""0340011""","Non-ELL",641,567,88.5
"Darien School District","=""0350011""","Non-ELL",316,308,97.5
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*","*","*"
"Derby School District","=""0370011""","ELL","*","*","*"
"Derby School District","=""0370011""","Non-ELL","*","*","*"
"East Granby School District","=""0400011""","Non-ELL",70,"*","*"
"East Haddam School District","=""0410011""","Non-ELL",98,"*","*"
