"Six-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""",26,18,69.2
"Ansonia School District","=""0020011""",187,146,78.1
"Avon School District","=""0040011""",255,"*","*"
"Berlin School District","=""0070011""",262,249,95.0
"Bethel School District","=""0090011""",250,240,96.0
"Bloomfield School District","=""0110011""",183,154,84.2
"Bolton School District","=""0120011""",73,"*","*"
"Branford School District","=""0140011""",284,270,95.1
"Bridgeport School District","=""0150011""",1405,936,66.6
"Bristol School District","=""0170011""",704,588,83.5
"Brookfield School District","=""0180011""",264,254,96.2
"Canton School District","=""0230011""",120,115,95.8
"Capitol Region Education Council","=""2410014""",304,265,87.2
"Cheshire School District","=""0250011""",375,366,97.6
"Clinton School District","=""0270011""",145,138,95.2
"Colchester School District","=""0280011""",250,240,96.0
"Common Ground High School District","=""2680013""",38,34,89.5
"Connecticut Technical High School System","=""9000016""",2330,2198,94.3
"Coventry School District","=""0320011""",153,140,91.5
"Cromwell School District","=""0330011""",170,161,94.7
"Danbury School District","=""0340011""",756,631,83.5
"Darien School District","=""0350011""",327,317,96.9
"Derby School District","=""0370011""",122,100,82.0
"East Granby School District","=""0400011""",76,"*","*"
"East Haddam School District","=""0410011""",97,90,92.8
"East Hampton School District","=""0420011""",139,127,91.4
"East Hartford School District","=""0430011""",594,510,85.9
"East Haven School District","=""0440011""",301,260,86.4
"East Lyme School District","=""0450011""",325,318,97.8
"East Windsor School District","=""0470011""",89,81,91.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",64,50,78.1
"Ellington School District","=""0480011""",181,174,96.1
"Enfield School District","=""0490011""",517,453,87.6
"Explorations District","=""2720013""",30,21,70.0
"Fairfield School District","=""0510011""",653,633,96.9
"Farmington School District","=""0520011""",335,322,96.1
"Glastonbury School District","=""0540011""",550,537,97.6
"Granby School District","=""0560011""",193,"*","*"
"Greenwich School District","=""0570011""",632,617,97.6
"Griswold School District","=""0580011""",200,169,84.5
"Groton School District","=""0590011""",333,274,82.3
"Guilford School District","=""0600011""",271,260,95.9
"Hamden School District","=""0620011""",579,513,88.6
"Hartford School District","=""0640011""",1590,1118,70.3
"Killingly School District","=""0690011""",195,146,74.9
"Lebanon School District","=""0710011""",160,149,93.1
"Ledyard School District","=""0720011""",231,215,93.1
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""",95,"*","*"
"Madison School District","=""0760011""",317,309,97.5
"Manchester School District","=""0770011""",530,413,77.9
"Meriden School District","=""0800011""",617,471,76.3
"Middletown School District","=""0830011""",345,282,81.7
"Milford School District","=""0840011""",493,454,92.1
"Monroe School District","=""0850011""",366,361,98.6
"Montville School District","=""0860011""",205,180,87.8
"Naugatuck School District","=""0880011""",368,315,85.6
"New Britain School District","=""0890011""",743,461,62.0
"New Canaan School District","=""0900011""",311,307,98.7
"New Fairfield School District","=""0910011""",240,227,94.6
"New Haven School District","=""0930011""",1425,1001,70.2
"New London School District","=""0950011""",263,184,70.0
"New Milford School District","=""0960011""",399,358,89.7
"Newington School District","=""0940011""",412,368,89.3
"Newtown School District","=""0970011""",445,428,96.2
"North Branford School District","=""0990011""",196,185,94.4
"North Haven School District","=""1010011""",307,271,88.3
"North Stonington School District","=""1020011""",67,61,91.0
"Norwalk School District","=""1030011""",890,783,88.0
"Norwich Free Academy District","=""9010022""",619,520,84.0
"Norwich School District","=""1040011""",41,"*","*"
"Old Saybrook School District","=""1060011""",121,115,95.0
"Oxford School District","=""1080011""",155,149,96.1
"Plainfield School District","=""1090011""",230,205,89.1
"Plainville School District","=""1100011""",233,211,90.6
"Plymouth School District","=""1110011""",139,"*","*"
"Portland School District","=""1130011""",97,83,85.6
"Putnam School District","=""1160011""",74,64,86.5
"Regional School District 01","=""2010012""",138,120,87.0
"Regional School District 04","=""2040012""",171,153,89.5
"Regional School District 05","=""2050012""",410,386,94.1
"Regional School District 06","=""2060012""",104,93,89.4
"Regional School District 07","=""2070012""",209,203,97.1
"Regional School District 08","=""2080012""",267,239,89.5
"Regional School District 09","=""2090012""",220,216,98.2
"Regional School District 10","=""2100012""",175,171,97.7
"Regional School District 11","=""2110012""",39,29,74.4
"Regional School District 12","=""2120012""",93,81,87.1
"Regional School District 13","=""2130012""",140,132,94.3
"Regional School District 14","=""2140012""",218,211,96.8
"Regional School District 15","=""2150012""",388,368,94.8
"Regional School District 16","=""2160012""",198,180,90.9
"Regional School District 17","=""2170012""",180,170,94.4
"Regional School District 18","=""2180012""",135,131,97.0
"Regional School District 19","=""2190012""",284,251,88.4
"Ridgefield School District","=""1180011""",433,423,97.7
"Rocky Hill School District","=""1190011""",176,163,92.6
"Seymour School District","=""1240011""",189,164,86.8
"Shelton School District","=""1260011""",396,368,92.9
"Simsbury School District","=""1280011""",359,347,96.7
"Somers School District","=""1290011""",144,140,97.2
"South Windsor School District","=""1320011""",425,395,92.9
"Southington School District","=""1310011""",541,515,95.2
"Stafford School District","=""1340011""",135,117,86.7
"Stamford Academy District","=""2820013""",51,33,64.7
"Stamford School District","=""1350011""",1185,1059,89.4
"Stonington School District","=""1370011""",212,201,94.8
"Stratford School District","=""1380011""",573,526,91.8
"Suffield School District","=""1390011""",214,"*","*"
"The Bridge Academy District","=""2690013""",28,"*","*"
"The Gilbert School District","=""9020022""",69,60,87.0
"Thomaston School District","=""1400011""",104,97,93.3
"Thompson School District","=""1410011""",95,85,89.5
"Tolland School District","=""1420011""",224,213,95.1
"Torrington School District","=""1430011""",284,235,82.7
"Trumbull School District","=""1440011""",503,498,99.0
"Unified School District #1","=""3360015""",740,14,1.9
"Unified School District #2","=""3470015""",31,17,54.8
"Vernon School District","=""1460011""",291,245,84.2
"Wallingford School District","=""1480011""",560,505,90.2
"Waterbury School District","=""1510011""",1300,904,69.5
"Waterford School District","=""1520011""",271,252,93.0
"Watertown School District","=""1530011""",246,224,91.1
"West Hartford School District","=""1550011""",829,776,93.6
"West Haven School District","=""1560011""",456,328,71.9
"Westbrook School District","=""1540011""",75,"*","*"
"Weston School District","=""1570011""",195,"*","*"
"Westport School District","=""1580011""",474,466,98.3
"Wethersfield School District","=""1590011""",305,286,93.8
"Wilton School District","=""1610011""",305,303,99.3
"Windham School District","=""1630011""",258,182,70.5
"Windsor Locks School District","=""1650011""",134,120,89.6
"Windsor School District","=""1640011""",349,306,87.7
"Wolcott School District","=""1660011""",225,214,95.1
"Woodstock Academy District","=""9030022""",299,284,95.0

