"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",6.9,7.8,12.0,15.0,1.0
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.8,13.1,14.3,16.1,11.6
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0,8.0,8.0,8.0,8.3
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0,11.0,13.0,12.0,13.0
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5,2.5,2.5,3.0,1.6
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.7,12.2,12.2,12.0,12.0
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="Berlin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.4,10.6,12.4,14.0,14.8
="Bethany School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
="Bethel School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.7,11.0,10.8,10.6,9.8
="Bloomfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.7,11.7,11.0,9.0,9.0
="Bolton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,3.0,3.0
="Bozrah School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.2
="Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.1,13.2,13.6,13.6,14.1
="Bridgeport Achievement First District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0,9.0,9.0,10.0,10.0
="Bridgeport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",64.0,70.0,73.0,75.4,70.0
="Bristol School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",29.6,28.2,26.2,27.8,27.8
="Brookfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.2,13.0,13.6,11.8,14.0
="Brooklyn School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.1,4.1,3.1,2.0
="Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="Canterbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,3.0
="Canton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.3,5.6,6.6,8.0,8.2
="Capitol Region Education Council",="Administrators  Coordinators and Department Chairs - School Level",="Certified",31.8,36.0,44.5,53.5,57.2
="Chaplin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.3
="Charter School for Young Children on Asylum Hill District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,.,.,.,.
"Cheshire School District","Administrators  Coordinators and Department Chairs - School Level","Certified",18.1,18.7,17.7,18.7,20.1
="Chester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="Clinton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.9,7.6,7.6,7.8,7.9
="Colchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0,9.0,9.0,9.0,9.0
="Colebrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.2
="Columbia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,4.0,3.0,4.5,3.0
="Common Ground High School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,2.0,3.0,2.0
="Connecticut Technical High School System",="Administrators  Coordinators and Department Chairs - School Level",="Certified",104.1,104.6,100.1,105.8,145.1
="Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.0,11.0,11.0,11.0,7.0
="Cornwall School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="Coventry School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.4,6.4,6.3,6.7,7.5
="Cromwell School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,7.0,7.0,9.0,7.4
="Danbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",31.2,31.6,31.6,34.4,48.4
="Darien School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",21.1,32.4,33.1,34.6,21.4
