"FTE Staffing Report for 2014-15"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Counselors  Social Workers  and School Psychologists","Certified",3.0
="Amistad Academy District",="Counselors  Social Workers  and School Psychologists",="Certified",3.8
="Ansonia School District",="Counselors  Social Workers  and School Psychologists",="Certified",13.0
="Area Cooperative Educational Services",="Counselors  Social Workers  and School Psychologists",="Certified",28.0
="Ashford School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Avon School District",="Counselors  Social Workers  and School Psychologists",="Certified",17.9
="Berlin School District",="Counselors  Social Workers  and School Psychologists",="Certified",17.0
="Bethany School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.4
="Bethel School District",="Counselors  Social Workers  and School Psychologists",="Certified",16.9
="Bloomfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",21.0
="Bolton School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.7
="Bozrah School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.9
="Branford School District",="Counselors  Social Workers  and School Psychologists",="Certified",15.4
="Bridgeport Achievement First District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="Bridgeport School District",="Counselors  Social Workers  and School Psychologists",="Certified",117.6
="Bristol School District",="Counselors  Social Workers  and School Psychologists",="Certified",35.2
="Brookfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",16.0
="Brooklyn School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Canaan School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.5
="Canterbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Canton School District",="Counselors  Social Workers  and School Psychologists",="Certified",9.1
="Capitol Region Education Council",="Counselors  Social Workers  and School Psychologists",="Certified",64.4
="Chaplin School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="Cheshire School District",="Counselors  Social Workers  and School Psychologists",="Certified",22.6
="Chester School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.3
="Clinton School District",="Counselors  Social Workers  and School Psychologists",="Certified",12.0
="Colchester School District",="Counselors  Social Workers  and School Psychologists",="Certified",15.2
="Columbia School District",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
="Common Ground High School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.8
="Connecticut Technical High School System",="Counselors  Social Workers  and School Psychologists",="Certified",93.8
="Cooperative Educational Services",="Counselors  Social Workers  and School Psychologists",="Certified",18.7
="Cornwall School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.5
="Coventry School District",="Counselors  Social Workers  and School Psychologists",="Certified",12.0
="Cromwell School District",="Counselors  Social Workers  and School Psychologists",="Certified",10.0
="Danbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",56.3
="Darien School District",="Counselors  Social Workers  and School Psychologists",="Certified",28.0
="Deep River School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.5
="Derby School District",="Counselors  Social Workers  and School Psychologists",="Certified",9.0
="East Granby School District",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
="East Haddam School District",="Counselors  Social Workers  and School Psychologists",="Certified",7.0
="East Hampton School District",="Counselors  Social Workers  and School Psychologists",="Certified",10.8
="East Hartford School District",="Counselors  Social Workers  and School Psychologists",="Certified",43.0
="East Haven School District",="Counselors  Social Workers  and School Psychologists",="Certified",22.9
="East Lyme School District",="Counselors  Social Workers  and School Psychologists",="Certified",15.5
="East Windsor School District",="Counselors  Social Workers  and School Psychologists",="Certified",10.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Counselors  Social Workers  and School Psychologists",="Certified",14.3
="Easton School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.5
="EdAdvance",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="Ellington School District",="Counselors  Social Workers  and School Psychologists",="Certified",14.0
="Elm City College Preparatory School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Enfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",29.6
="Essex School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Fairfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",61.7
="Farmington School District",="Counselors  Social Workers  and School Psychologists",="Certified",21.3
="Franklin School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.6
="Glastonbury School District",="Counselors  Social Workers  and School Psychologists",="Certified",29.0
="Granby School District",="Counselors  Social Workers  and School Psychologists",="Certified",13.0
="Greenwich School District",="Counselors  Social Workers  and School Psychologists",="Certified",65.2
="Griswold School District",="Counselors  Social Workers  and School Psychologists",="Certified",12.0
="Groton School District",="Counselors  Social Workers  and School Psychologists",="Certified",27.4
="Guilford School District",="Counselors  Social Workers  and School Psychologists",="Certified",22.4
="Hamden School District",="Counselors  Social Workers  and School Psychologists",="Certified",46.9
="Hampton School District",="Counselors  Social Workers  and School Psychologists",="Certified",0.9
="Hartford School District",="Counselors  Social Workers  and School Psychologists",="Certified",118.9
="Hebron School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Integrated Day Charter School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="Interdistrict School for Arts and Comm District",="Counselors  Social Workers  and School Psychologists",="Certified",2.2
="Kent School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="Killingly School District",="Counselors  Social Workers  and School Psychologists",="Certified",16.8
="Learn",="Counselors  Social Workers  and School Psychologists",="Certified",13.4
="Lebanon School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.0
="Ledyard School District",="Counselors  Social Workers  and School Psychologists",="Certified",13.8
="Lisbon School District",="Counselors  Social Workers  and School Psychologists",="Certified",1.8
="Litchfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.9
="Madison School District",="Counselors  Social Workers  and School Psychologists",="Certified",19.0
="Manchester School District",="Counselors  Social Workers  and School Psychologists",="Certified",49.1
="Mansfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",6.0
="Marlborough School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Meriden School District",="Counselors  Social Workers  and School Psychologists",="Certified",41.6
="Middletown School District",="Counselors  Social Workers  and School Psychologists",="Certified",33.0
="Milford School District",="Counselors  Social Workers  and School Psychologists",="Certified",38.5
="Monroe School District",="Counselors  Social Workers  and School Psychologists",="Certified",17.6
="Montville School District",="Counselors  Social Workers  and School Psychologists",="Certified",13.4
="Naugatuck School District",="Counselors  Social Workers  and School Psychologists",="Certified",31.5
="New Beginnings Inc Family Academy District",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="New Britain School District",="Counselors  Social Workers  and School Psychologists",="Certified",56.0
="New Canaan School District",="Counselors  Social Workers  and School Psychologists",="Certified",28.1
="New Fairfield School District",="Counselors  Social Workers  and School Psychologists",="Certified",16.8
="New Hartford School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
