"FTE Staffing Report for 2013-14"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",15.0
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.1
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Berlin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.0
="Bethany School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Bethel School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.6
="Bloomfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
="Bolton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="Bozrah School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.6
="Brass City Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.3
="Bridgeport Achievement First District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0
="Bridgeport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",75.4
="Bristol School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",27.8
="Brookfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.8
="Brooklyn School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.1
="Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Canterbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Canton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
="Capitol Region Education Council",="Administrators  Coordinators and Department Chairs - School Level",="Certified",53.5
="Chaplin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Cheshire School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.7
="Chester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Clinton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.8
="Colchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
="Colebrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Columbia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.5
="Common Ground High School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="Connecticut Technical High School System",="Administrators  Coordinators and Department Chairs - School Level",="Certified",106.8
="Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0
="Cornwall School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Coventry School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.7
="Cromwell School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
="Danbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",34.4
="Darien School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",34.6
="Deep River School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Derby School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.2
="East Granby School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.2
="East Haddam School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.5
="East Hampton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0
="East Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",34.4
="East Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.0
="East Lyme School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.5
="East Windsor School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.1
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0
="Eastford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.8
="Easton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.4
="EdAdvance",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Ellington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.4
="Elm City College Preparatory School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
="Enfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",28.4
="Essex School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Explorations District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.9
="Fairfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",39.8
="Farmington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.6
="Franklin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Glastonbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.7
="Granby School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0
="Greenwich School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",43.5
="Griswold School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.2
="Groton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.2
="Guilford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.6
="Hamden School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",21.2
="Hampton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",112.0
="Hartland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Hebron School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5
="Highville Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="Integrated Day Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="Interdistrict School for Arts and Comm District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="Jumoke Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Kent School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Killingly School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.8
="Learn",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.0
="Lebanon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.4
="Ledyard School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.7
="Lisbon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Litchfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.2
="Madison School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.4
="Manchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",26.2
="Mansfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0
="Marlborough School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Meriden School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.0
="Middletown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.5
="Milford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.0
="Monroe School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.0
="Montville School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.6
="Naugatuck School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.6
="New Beginnings Inc Family Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="New Britain School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",34.8
="New Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.1
="New Fairfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.6
="New Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="New Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",93.0
="New London School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.4
="New Milford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",20.5
="Newington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.8
