"FTE Staffing Report for 2014-15"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",969.0
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2613.2
,="Counselors  Social Workers  and School Psychologists",="Certified",3348.9
,="General Education - Teachers and Instructors",="Certified",36130.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5143.8
,="Instructional Specialists Who Support Teachers",="Certified",2207.0
,="Library/Media - Specialists (Certified)",="Certified",741.5
,="Library/Media - Support Staff",="Non-Certified",568.5
,="School Nurses",="Non-Certified",1212.7
,="Special Education - Teachers and Instructors",="Certified",5826.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9256.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24590.3

