"FTE Staffing Report for Trend"

"",,,"Year",,,,
"District","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Andover School District","Administrators  Coordinators and Department Chairs - District Central Office","Certified",0.3,0.6,0.6,0.6,0.6
="Ansonia School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,6.0,5.0,5.0,6.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",10.0,10.0,8.0,8.0,9.0
="Avon School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.5,3.4,5.0,5.0,5.1
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.4,0.4,0.4,0.4
="Berlin School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,6.0,7.0,7.0,7.0
="Bethany School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0,1.0,1.0,1.0,1.0
="Bethel School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.3,4.5,4.5,4.5,4.5
="Bloomfield School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.5,6.6,7.0,6.0,6.0
="Bolton School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,2.0,3.0,4.0
="Bozrah School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5,0.5,0.7,0.7,0.4
="Branford School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,4.0,6.0,6.0
="Bridgeport School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",28.0,22.0,15.0,15.6,23.0
="Bristol School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",16.4,15.4,14.4,17.4,15.5
="Brookfield School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.6,4.0,4.0,4.0,4.0
="Brooklyn School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,1.0,1.0,1.0,3.0
="Canaan School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5,0.5,0.5,0.5,0.5
="Canterbury School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,1.0,2.0,2.2
="Canton School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,6.0,5.0,4.0,4.0
="Capitol Region Education Council",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",12.3,12.0,16.5,16.5,25.8
="Chaplin School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.2,0.2,0.2,0.2,.
"Cheshire School District","Administrators  Coordinators and Department Chairs - District Central Office","Certified",5.0,6.0,6.0,6.0,4.0
="Chester School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.8,0.8,0.8,0.8,1.0
="Clinton School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.5,3.0,3.0,4.5,5.0
="Colchester School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,3.0
="Colebrook School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.4,0.4,0.4,0.2
="Columbia School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,2.0,2.0,1.0
="Connecticut Technical High School System",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",18.0,17.0,17.0,17.0,14.0
="Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,3.0,3.0,7.0
="Cornwall School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5,0.5,0.5,0.5,0.5
="Coventry School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,4.0,5.0,5.0
="Cromwell School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,5.0
="Danbury School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",14.0,11.0,13.0,13.0,6.0
="Darien School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.7,8.0,7.7,7.7,5.7
="Deep River School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.8,0.8,0.8,0.8,1.0
="Derby School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,2.4,4.0,4.0
="East Granby School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,3.0,3.0,3.0,3.0
="East Haddam School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,2.0,2.0,2.0
="East Hampton School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,2.0
="East Hartford School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.0,8.0,7.5,9.0,19.3
="East Haven School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,3.0,3.0,5.0
="East Lyme School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,6.0,5.0,6.0,6.0
="East Windsor School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,4.0,3.0,3.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.2,5.6,6.6,5.0
="Eastford School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.6,0.6,0.5,0.4,0.5
="Easton School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0,1.0,1.0,1.0,1.0
="EdAdvance",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,3.0,2.0,2.0,1.6
="Ellington School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.4,5.0,5.0,7.0,7.0
="Enfield School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.3,5.0,5.0,8.0,8.0
="Essex School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.8,0.8,0.8,0.8,1.2
="Fairfield School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",13.5,14.0,14.0,14.0,14.0
="Farmington School District",="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,6.0,6.0,6.0,6.0
