"FTE Staffing Report for 2015-16"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","General Education - Teachers and Instructors","Certified",80.4
="Amistad Academy District",="General Education - Teachers and Instructors",="Certified",90.3
="Andover School District",="General Education - Teachers and Instructors",="Certified",22.8
="Ansonia School District",="General Education - Teachers and Instructors",="Certified",146.2
="Area Cooperative Educational Services",="General Education - Teachers and Instructors",="Certified",113.1
="Ashford School District",="General Education - Teachers and Instructors",="Certified",40.0
="Avon School District",="General Education - Teachers and Instructors",="Certified",211.4
="Barkhamsted School District",="General Education - Teachers and Instructors",="Certified",19.9
="Berlin School District",="General Education - Teachers and Instructors",="Certified",200.6
="Bethany School District",="General Education - Teachers and Instructors",="Certified",30.0
="Bethel School District",="General Education - Teachers and Instructors",="Certified",194.2
="Bloomfield School District",="General Education - Teachers and Instructors",="Certified",164.5
="Bolton School District",="General Education - Teachers and Instructors",="Certified",64.6
="Booker T. Washington Academy District",="General Education - Teachers and Instructors",="Certified",13.2
="Bozrah School District",="General Education - Teachers and Instructors",="Certified",17.5
="Branford School District",="General Education - Teachers and Instructors",="Certified",225.5
="Brass City Charter School District",="General Education - Teachers and Instructors",="Certified",16.3
="Bridgeport Achievement First District",="General Education - Teachers and Instructors",="Certified",41.0
="Bridgeport School District",="General Education - Teachers and Instructors",="Certified",1175.1
="Bristol School District",="General Education - Teachers and Instructors",="Certified",474.9
="Brookfield School District",="General Education - Teachers and Instructors",="Certified",171.3
="Brooklyn School District",="General Education - Teachers and Instructors",="Certified",59.7
="Canaan School District",="General Education - Teachers and Instructors",="Certified",10.6
="Canterbury School District",="General Education - Teachers and Instructors",="Certified",35.5
="Canton School District",="General Education - Teachers and Instructors",="Certified",99.4
="Capital Preparatory Harbor School Inc. District",="General Education - Teachers and Instructors",="Certified",10.0
="Capitol Region Education Council",="General Education - Teachers and Instructors",="Certified",595.4
="Chaplin School District",="General Education - Teachers and Instructors",="Certified",16.3
="Cheshire School District",="General Education - Teachers and Instructors",="Certified",275.1
="Chester School District",="General Education - Teachers and Instructors",="Certified",3.1
="Clinton School District",="General Education - Teachers and Instructors",="Certified",135.9
="Colchester School District",="General Education - Teachers and Instructors",="Certified",171.1
="Colebrook School District",="General Education - Teachers and Instructors",="Certified",7.4
="Columbia School District",="General Education - Teachers and Instructors",="Certified",33.7
="Common Ground High School District",="General Education - Teachers and Instructors",="Certified",16.0
="Connecticut Technical High School System",="General Education - Teachers and Instructors",="Certified",948.4
="Cooperative Educational Services",="General Education - Teachers and Instructors",="Certified",43.0
="Cornwall School District",="General Education - Teachers and Instructors",="Certified",15.0
="Coventry School District",="General Education - Teachers and Instructors",="Certified",127.0
="Cromwell School District",="General Education - Teachers and Instructors",="Certified",130.4
="Danbury School District",="General Education - Teachers and Instructors",="Certified",641.1
="Darien School District",="General Education - Teachers and Instructors",="Certified",349.9
="Deep River School District",="General Education - Teachers and Instructors",="Certified",3.0
="Derby School District",="General Education - Teachers and Instructors",="Certified",89.9
="East Granby School District",="General Education - Teachers and Instructors",="Certified",66.9
="East Haddam School District",="General Education - Teachers and Instructors",="Certified",85.0
="East Hampton School District",="General Education - Teachers and Instructors",="Certified",119.0
="East Hartford School District",="General Education - Teachers and Instructors",="Certified",456.8
="East Haven School District",="General Education - Teachers and Instructors",="Certified",203.0
="East Lyme School District",="General Education - Teachers and Instructors",="Certified",205.7
="East Windsor School District",="General Education - Teachers and Instructors",="Certified",86.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="General Education - Teachers and Instructors",="Certified",30.6
="Eastford School District",="General Education - Teachers and Instructors",="Certified",13.0
="Easton School District",="General Education - Teachers and Instructors",="Certified",63.0
="EdAdvance",="General Education - Teachers and Instructors",="Certified",3.5
="Ellington School District",="General Education - Teachers and Instructors",="Certified",165.9
="Elm City College Preparatory School District",="General Education - Teachers and Instructors",="Certified",36.0
="Elm City Montessori School District",="General Education - Teachers and Instructors",="Certified",7.0
="Enfield School District",="General Education - Teachers and Instructors",="Certified",350.7
="Essex School District",="General Education - Teachers and Instructors",="Certified",4.5
="Explorations District",="General Education - Teachers and Instructors",="Certified",8.9
="Fairfield School District",="General Education - Teachers and Instructors",="Certified",694.7
="Farmington School District",="General Education - Teachers and Instructors",="Certified",277.5
="Franklin School District",="General Education - Teachers and Instructors",="Certified",11.9
="Glastonbury School District",="General Education - Teachers and Instructors",="Certified",402.9
="Granby School District",="General Education - Teachers and Instructors",="Certified",125.9
="Great Oaks Charter School District",="General Education - Teachers and Instructors",="Certified",8.0
="Greenwich School District",="General Education - Teachers and Instructors",="Certified",639.1
="Griswold School District",="General Education - Teachers and Instructors",="Certified",122.7
="Groton School District",="General Education - Teachers and Instructors",="Certified",328.7
="Guilford School District",="General Education - Teachers and Instructors",="Certified",230.7
="Hamden School District",="General Education - Teachers and Instructors",="Certified",387.6
="Hampton School District",="General Education - Teachers and Instructors",="Certified",10.6
="Hartford School District",="General Education - Teachers and Instructors",="Certified",1310.2
="Hartland School District",="General Education - Teachers and Instructors",="Certified",19.1
="Hebron School District",="General Education - Teachers and Instructors",="Certified",50.2
="Highville Charter School District",="General Education - Teachers and Instructors",="Certified",26.0
="Integrated Day Charter School District",="General Education - Teachers and Instructors",="Certified",18.1
="Interdistrict School for Arts and Comm District",="General Education - Teachers and Instructors",="Certified",18.8
="Jumoke Academy District",="General Education - Teachers and Instructors",="Certified",41.9
="Kent School District",="General Education - Teachers and Instructors",="Certified",25.5
="Killingly School District",="General Education - Teachers and Instructors",="Certified",164.1
="Learn",="General Education - Teachers and Instructors",="Certified",153.8
="Lebanon School District",="General Education - Teachers and Instructors",="Certified",77.6
="Ledyard School District",="General Education - Teachers and Instructors",="Certified",157.8
="Lisbon School District",="General Education - Teachers and Instructors",="Certified",27.2
="Litchfield School District",="General Education - Teachers and Instructors",="Certified",83.7
="Madison School District",="General Education - Teachers and Instructors",="Certified",212.6
="Manchester School District",="General Education - Teachers and Instructors",="Certified",465.3
="Mansfield School District",="General Education - Teachers and Instructors",="Certified",93.3
="Marlborough School District",="General Education - Teachers and Instructors",="Certified",36.0
="Meriden School District",="General Education - Teachers and Instructors",="Certified",480.4
="Middletown School District",="General Education - Teachers and Instructors",="Certified",301.0
="Milford School District",="General Education - Teachers and Instructors",="Certified",440.9
="Monroe School District",="General Education - Teachers and Instructors",="Certified",206.9
="Montville School District",="General Education - Teachers and Instructors",="Certified",169.4
="Naugatuck School District",="General Education - Teachers and Instructors",="Certified",240.1
="New Beginnings Inc Family Academy District",="General Education - Teachers and Instructors",="Certified",31.5
="New Britain School District",="General Education - Teachers and Instructors",="Certified",573.4
="New Canaan School District",="General Education - Teachers and Instructors",="Certified",299.7
="New Fairfield School District",="General Education - Teachers and Instructors",="Certified",167.9
="New Hartford School District",="General Education - Teachers and Instructors",="Certified",31.2
="New Haven School District",="General Education - Teachers and Instructors",="Certified",1406.1
="New London School District",="General Education - Teachers and Instructors",="Certified",197.2
="New Milford School District",="General Education - Teachers and Instructors",="Certified",276.7
="Newington School District",="General Education - Teachers and Instructors",="Certified",268.9
="Newtown School District",="General Education - Teachers and Instructors",="Certified",315.3
="Norfolk School District",="General Education - Teachers and Instructors",="Certified",9.4
="North Branford School District",="General Education - Teachers and Instructors",="Certified",124.1
="North Canaan School District",="General Education - Teachers and Instructors",="Certified",27.7
="North Haven School District",="General Education - Teachers and Instructors",="Certified",225.0
="North Stonington School District",="General Education - Teachers and Instructors",="Certified",65.5
="Norwalk School District",="General Education - Teachers and Instructors",="Certified",702.4
