"FTE Staffing Report for 2004-05"

"District","Assignment Category","Educator Type","FTE Count"
"Andover School District","Instructional Specialists Who Support Teachers","Certified",1.0
="Ansonia School District",="Instructional Specialists Who Support Teachers",="Certified",10.0
="Area Cooperative Educational Services",="Instructional Specialists Who Support Teachers",="Certified",9.8
="Ashford School District",="Instructional Specialists Who Support Teachers",="Certified",2.4
="Avon School District",="Instructional Specialists Who Support Teachers",="Certified",9.1
="Barkhamsted School District",="Instructional Specialists Who Support Teachers",="Certified",0.8
="Berlin School District",="Instructional Specialists Who Support Teachers",="Certified",9.5
="Bethany School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Bethel School District",="Instructional Specialists Who Support Teachers",="Certified",4.9
="Bloomfield School District",="Instructional Specialists Who Support Teachers",="Certified",12.7
="Bolton School District",="Instructional Specialists Who Support Teachers",="Certified",3.5
="Bozrah School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Branford School District",="Instructional Specialists Who Support Teachers",="Certified",7.5
="Bridgeport School District",="Instructional Specialists Who Support Teachers",="Certified",44.2
="Bristol School District",="Instructional Specialists Who Support Teachers",="Certified",21.7
="Brookfield School District",="Instructional Specialists Who Support Teachers",="Certified",8.3
="Brooklyn School District",="Instructional Specialists Who Support Teachers",="Certified",1.8
="Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",0.3
="Canterbury School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Canton School District",="Instructional Specialists Who Support Teachers",="Certified",4.0
="Capitol Region Education Council",="Instructional Specialists Who Support Teachers",="Certified",13.7
="Chaplin School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Cheshire School District",="Instructional Specialists Who Support Teachers",="Certified",9.1
="Chester School District",="Instructional Specialists Who Support Teachers",="Certified",0.8
="Clinton School District",="Instructional Specialists Who Support Teachers",="Certified",7.0
="Colchester School District",="Instructional Specialists Who Support Teachers",="Certified",13.8
="Colebrook School District",="Instructional Specialists Who Support Teachers",="Certified",1.3
="Columbia School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Connecticut Technical High School System",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Cooperative Educational Services",="Instructional Specialists Who Support Teachers",="Certified",9.7
="Coventry School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="Cromwell School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="Danbury School District",="Instructional Specialists Who Support Teachers",="Certified",27.0
="Darien School District",="Instructional Specialists Who Support Teachers",="Certified",15.9
="Deep River School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Derby School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="East Granby School District",="Instructional Specialists Who Support Teachers",="Certified",0.9
="East Haddam School District",="Instructional Specialists Who Support Teachers",="Certified",7.0
