"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Free/Reduced Price Meal Eligibility (2-l"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",138,138,100.0,138,45,32.6,"*","*",37,26.8,"*","*",0,0.0,"*","*",217
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",47,47,100.0,47,9,19.1,"*","*",14,29.8,18,38.3,"*","*","*","*",238
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",38,38,100.0,38,10,26.3,"*","*",10,26.3,10,26.3,"*","*","*","*",228
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",29,29,100.0,29,7,24.1,"*","*",7,24.1,9,31.0,"*","*","*","*",240
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",132,132,100.0,132,45,34.1,"*","*",28,21.2,30,22.7,"*","*","*","*",220
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",90,90,100.0,90,10,11.1,"*","*",18,20.0,47,52.2,"*","*","*","*",251
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",261,258,98.9,258,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Y",32,32,100.0,32,"*","*","*","*",8,25.0,14,43.8,"*","*","*","*",237
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",183,183,100.0,183,"*","*","*","*",19,10.4,97,53.0,"*","*","*","*",276
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Y",55,55,100.0,55,6,10.9,0,0.0,14,25.5,29,52.7,6,10.9,35,63.6,254
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","N",159,159,100.0,159,"*","*","*","*",27,17.0,87,54.7,34,21.4,121,76.1,270
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Y",48,48,100.0,48,"*","*","*","*",10,20.8,13,27.1,"*","*","*","*",229
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N",48,48,100.0,48,"*","*","*","*",13,27.1,20,41.7,"*","*","*","*",249
