"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Free/Reduced Price Meal Eligibility (3-"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",39,39,100.0,39,10,25.6,14,35.9,13,33.3,"*","*","*","*","*","*",211
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",87,86,98.9,86,30,34.9,18,20.9,29,33.7,"*","*","*","*","*","*",210
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",44,43,97.7,43,"*","*","*","*","*","*",7,16.3,7,16.3,14,32.6,245
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","R",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",271,269,99.3,268,"*","*","*","*",53,19.8,69,25.7,133,49.6,202,75.4,292
"Avon School District","=""0040011""","Avon High School","=""0046111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","F",28,27,96.4,27,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",180,178,98.9,178,"*","*","*","*",54,30.3,43,24.2,65,36.5,108,60.7,275
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","F",22,21,95.5,21,"*","*","*","*","*","*","*","*","*","*","*","*",254
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",158,157,99.4,157,"*","*","*","*",40,25.5,37,23.6,67,42.7,104,66.2,283
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","F",44,43,97.7,43,12,27.9,"*","*","*","*","*","*","*","*","*","*",224
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",59,59,100.0,59,"*","*",13,22.0,18,30.5,18,30.5,"*","*","*","*",243
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","R",9,9,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",63,63,100.0,63,0,0.0,"*","*",23,36.5,23,36.5,"*","*","*","*",279
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","F",38,38,100.0,38,"*","*","*","*","*","*","*","*","*","*","*","*",253
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",157,152,96.8,152,"*","*","*","*",50,32.9,37,24.3,51,33.6,88,57.9,273
"Branford School District","=""0140011""","Branford High School","=""0146111""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","F",30,30,100.0,30,11,36.7,7,23.3,9,30.0,"*","*","*","*","*","*",205
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","F",129,128,99.2,121,24,19.8,26,21.5,54,44.6,10,8.3,7,5.8,17,14.0,224
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","F",133,127,95.5,126,10,7.9,17,13.5,38,30.2,26,20.6,35,27.8,61,48.4,263
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","F",130,130,100.0,130,14,10.8,29,22.3,48,36.9,23,17.7,16,12.3,39,30.0,240
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","F",97,95,97.9,90,45,50.0,27,30.0,16,17.8,"*","*","*","*","*","*",194
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","F",15,12,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
