"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",146,146,100.0,146,48,32.9,"*","*",40,27.4,"*","*",0,0.0,"*","*",216
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",39,39,100.0,39,6,15.4,"*","*",11,28.2,18,46.2,"*","*","*","*",245
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",42,42,100.0,42,"*","*","*","*",10,23.8,11,26.2,"*","*","*","*",229
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",25,25,100.0,25,"*","*","*","*",7,28.0,8,32.0,"*","*","*","*",240
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",137,137,100.0,137,"*","*",25,18.2,28,20.4,30,21.9,"*","*","*","*",219
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",85,85,100.0,85,"*","*",7,8.2,18,21.2,47,55.3,"*","*","*","*",255
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",26,24,92.3,24,17,70.8,"*","*","*","*","*","*",0,0.0,"*","*",191
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",42,42,100.0,42,"*","*","*","*",7,16.7,14,33.3,"*","*","*","*",237
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",233,230,98.7,230,"*","*","*","*",17,7.4,119,51.7,"*","*","*","*",286
