"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",58,58,100.0,58,13,22.4,17,29.3,24,41.4,"*","*","*","*","*","*",215
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",148,146,98.6,146,39,26.7,28,19.2,55,37.7,14,9.6,10,6.8,24,16.4,222
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",24,21,87.5,17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",195,193,99.0,193,7,3.6,11,5.7,52,26.9,47,24.4,76,39.4,123,63.7,279
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",112,111,99.1,110,18,16.4,26,23.6,34,30.9,23,20.9,9,8.2,32,29.1,233
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",29,29,100.0,29,"*","*","*","*",13,44.8,7,24.1,"*","*","*","*",258
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",78,78,100.0,78,"*","*","*","*",27,34.6,29,37.2,17,21.8,46,59.0,271
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",204,199,97.5,199,7,3.5,15,7.5,69,34.7,48,24.1,60,30.2,108,54.3,269
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",42,42,100.0,41,16,39.0,11,26.8,10,24.4,"*","*","*","*","*","*",201
