"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Free/Reduced Price Meal Eligibility (3-l"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",51,51,100.0,51,13,25.5,"*","*",18,35.3,12,23.5,"*","*","*","*",227
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",115,115,100.0,115,40,34.8,22,19.1,33,28.7,20,17.4,0,0.0,20,17.4,215
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",47,47,100.0,47,"*","*","*","*","*","*",18,38.3,"*","*","*","*",238
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","R",23,23,100.0,23,"*","*","*","*","*","*",8,34.8,0,0.0,8,34.8,227
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",33,33,100.0,33,10,30.3,"*","*",7,21.2,9,27.3,"*","*","*","*",227
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","F",111,111,100.0,111,39,35.1,24,21.6,25,22.5,"*","*","*","*",23,20.7,217
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",90,90,100.0,90,10,11.1,"*","*","*","*",47,52.2,"*","*","*","*",251
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","R",21,21,100.0,21,6,28.6,"*","*","*","*",11,52.4,0,0.0,11,52.4,235
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",261,258,98.9,258,12,4.7,9,3.5,24,9.3,126,48.8,87,33.7,213,82.6,279
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",183,183,100.0,183,"*","*","*","*",19,10.4,97,53.0,54,29.5,151,82.5,276
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","F",32,32,100.0,32,"*","*",0,0.0,7,21.9,16,50.0,"*","*","*","*",251
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","N",159,159,100.0,159,"*","*","*","*",27,17.0,87,54.7,34,21.4,121,76.1,270
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","R",23,23,100.0,23,"*","*",0,0.0,7,30.4,13,56.5,"*","*","*","*",259
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","F",39,39,100.0,39,13,33.3,"*","*","*","*","*","*","*","*","*","*",232
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N",48,48,100.0,48,"*","*",6,12.5,13,27.1,20,41.7,"*","*","*","*",249
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",21,21,100.0,21,"*","*","*","*",7,33.3,10,47.6,"*","*","*","*",251
