"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Female",67.3,77.9
"Ansonia School District","=""0020011""","Ansonia High School","Male",45.2,78.8
"Avon School District","=""0040011""","Avon High School","Female",85.7,96.1
"Avon School District","=""0040011""","Avon High School","Male",87.8,92.6
"Berlin School District","=""0070011""","Berlin High School","Female",87.5,99.2
"Berlin School District","=""0070011""","Berlin High School","Male",76.9,91.4
"Bethel School District","=""0090011""","Bethel High School","Female",82.1,91.3
"Bethel School District","=""0090011""","Bethel High School","Male",59.5,91.3
"Bloomfield School District","=""0110011""","Bloomfield High School","Female",77.0,93.6
"Bloomfield School District","=""0110011""","Bloomfield High School","Male",60.3,73.2
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Female",*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Male",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Female",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Male",*,*
"Bolton School District","=""0120011""","Bolton High School","Female",93.2,97.6
"Bolton School District","=""0120011""","Bolton High School","Male",83.3,90.0
"Branford School District","=""0140011""","Branford High School","Female",80.8,92.4
"Branford School District","=""0140011""","Branford High School","Male",70.0,85.7
"Bridgeport School District","=""0150011""","Bassick High School","Female",56.8,68.3
"Bridgeport School District","=""0150011""","Bassick High School","Male",44.6,66.7
"Bridgeport School District","=""0150011""","Central High School","Female",71.0,83.6
"Bridgeport School District","=""0150011""","Central High School","Male",57.5,79.7
"Bridgeport School District","=""0150011""","Harding High School","Female",53.3,71.9
"Bridgeport School District","=""0150011""","Harding High School","Male",33.3,68.8
"Bridgeport School District","=""0150011""","Park City Academy","Male",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Female",69.4,86.0
"Bristol School District","=""0170011""","Bristol Central High School","Male",62.3,87.2
"Bristol School District","=""0170011""","Bristol Eastern High School","Female",76.5,91.2
"Bristol School District","=""0170011""","Bristol Eastern High School","Male",57.2,79.5
"Bristol School District","=""0170011""","Community/Vocational Program","Female",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","Male",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Female",91.0,92.8
"Brookfield School District","=""0180011""","Brookfield High School","Male",87.0,96.0
"Canton School District","=""0230011""","Canton High School","Female",86.4,92.2
"Canton School District","=""0230011""","Canton High School","Male",71.2,92.9
"Cheshire School District","=""0250011""","Cheshire High School","Female",93.8,96.4
"Cheshire School District","=""0250011""","Cheshire High School","Male",78.0,94.2
"Cheshire School District","=""0250011""","Humiston School","Female",*,*
"Cheshire School District","=""0250011""","Humiston School","Male",*,*
"Clinton School District","=""0270011""","The Morgan School","Female",73.8,95.8
"Clinton School District","=""0270011""","The Morgan School","Male",78.5,86.3
"Colchester School District","=""0280011""","Bacon Academy","Female",82.4,90.3
"Colchester School District","=""0280011""","Bacon Academy","Male",69.0,83.8
"Coventry School District","=""0320011""","Coventry High School","Female",82.6,89.5
"Coventry School District","=""0320011""","Coventry High School","Male",59.0,88.9
"Cromwell School District","=""0330011""","Cromwell High School","Female",91.4,96.9
"Cromwell School District","=""0330011""","Cromwell High School","Male",68.3,83.7
"Danbury School District","=""0340011""","Alternative Center For Excellence","Female",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Male",*,*
"Danbury School District","=""0340011""","Danbury High School","Female",76.4,91.7
"Danbury School District","=""0340011""","Danbury High School","Male",65.9,85.6
"Darien School District","=""0350011""","Darien High School","Female",91.0,97.2
"Darien School District","=""0350011""","Darien High School","Male",89.4,98.5
"Derby School District","=""0370011""","Derby High School","Female",77.8,76.2
"Derby School District","=""0370011""","Derby High School","Male",62.2,91.3
"East Granby School District","=""0400011""","East Granby High School","Female",71.9,100.0
"East Granby School District","=""0400011""","East Granby High School","Male",63.9,78.3
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Female",89.4,97.6
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Male",72.9,77.1
"East Hampton School District","=""0420011""","East Hampton High School","Female",83.1,92.6
"East Hampton School District","=""0420011""","East Hampton High School","Male",78.7,87.5
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Male",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Female",95.8,100.0
"East Hartford School District","=""0430011""","Connecticut IB Academy","Male",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Female",69.3,82.3
"East Hartford School District","=""0430011""","East Hartford High School","Male",59.1,73.1
"East Hartford School District","=""0430011""","Stevens Alternate High school","Female",35.3,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Male",22.4,*
"East Hartford School District","=""0430011""","Woodland School","Female",*,*
"East Hartford School District","=""0430011""","Woodland School","Male",*,*
"East Haven School District","=""0440011""","East Haven High School","Female",78.4,85.5
"East Haven School District","=""0440011""","East Haven High School","Male",60.0,84.2
"East Haven School District","=""0440011""","Pathways","Female",*,*
"East Haven School District","=""0440011""","Pathways","Male",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Female",86.5,97.0
"East Lyme School District","=""0450011""","East Lyme High School","Male",83.0,91.5
"East Windsor School District","=""0470011""","East Windsor High School","Female",65.9,96.6
"East Windsor School District","=""0470011""","East Windsor High School","Male",52.6,95.0
"Ellington School District","=""0480011""","Ellington High School","Female",85.7,92.9
"Ellington School District","=""0480011""","Ellington High School","Male",81.2,92.8
"Enfield School District","=""0490011""","Enfield High School","Female",67.2,83.7
"Enfield School District","=""0490011""","Enfield High School","Male",61.4,77.8
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Female",*,*
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Male",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Female",73.7,91.1
"Enfield School District","=""0490011""","Enrico Fermi High School","Male",66.1,79.2
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Female",82.6,95.4
