"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Female",64.4,87.5
"Ansonia School District","=""0020011""","Ansonia High School","Male",59.8,82.7
"Avon School District","=""0040011""","Avon High School","Female",88.5,95.9
"Avon School District","=""0040011""","Avon High School","Male",84.4,94.1
"Berlin School District","=""0070011""","Berlin High School","Female",88.1,98.4
"Berlin School District","=""0070011""","Berlin High School","Male",73.4,85.0
"Bethel School District","=""0090011""","Bethel High School","Female",82.4,92.2
"Bethel School District","=""0090011""","Bethel High School","Male",72.6,93.5
"Bloomfield School District","=""0110011""","Bloomfield High School","Female",69.3,80.8
"Bloomfield School District","=""0110011""","Bloomfield High School","Male",63.3,68.0
"Bloomfield School District","=""0110011""","The Big Picture High School","Female",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Male",*,*
"Bolton School District","=""0120011""","Bolton High School","Female",85.7,96.7
"Bolton School District","=""0120011""","Bolton High School","Male",90.3,89.3
"Branford School District","=""0140011""","Branford High School","Female",84.9,90.7
"Branford School District","=""0140011""","Branford High School","Male",71.2,84.5
"Bridgeport School District","=""0150011""","Bassick High School","Female",42.2,71.4
"Bridgeport School District","=""0150011""","Bassick High School","Male",48.0,83.3
"Bridgeport School District","=""0150011""","Central High School","Female",65.8,85.0
"Bridgeport School District","=""0150011""","Central High School","Male",61.2,82.7
"Bridgeport School District","=""0150011""","Harding High School","Female",54.2,78.2
"Bridgeport School District","=""0150011""","Harding High School","Male",37.0,75.0
"Bristol School District","=""0170011""","Bristol Central High School","Female",70.2,91.5
"Bristol School District","=""0170011""","Bristol Central High School","Male",55.5,88.4
"Bristol School District","=""0170011""","Bristol Eastern High School","Female",71.0,92.2
"Bristol School District","=""0170011""","Bristol Eastern High School","Male",60.9,92.6
"Bristol School District","=""0170011""","Community/Vocational Program","Female",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","Male",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Female",84.6,93.9
"Brookfield School District","=""0180011""","Brookfield High School","Male",82.8,89.6
"Canton School District","=""0230011""","Canton High School","Female",85.5,96.2
"Canton School District","=""0230011""","Canton High School","Male",79.6,93.0
"Cheshire School District","=""0250011""","Cheshire High School","Female",87.0,95.8
"Cheshire School District","=""0250011""","Cheshire High School","Male",90.3,94.6
"Cheshire School District","=""0250011""","Humiston School","Female",*,*
"Cheshire School District","=""0250011""","Humiston School","Male",*,*
"Clinton School District","=""0270011""","The Morgan School","Female",75.4,100.0
"Clinton School District","=""0270011""","The Morgan School","Male",60.7,91.9
"Colchester School District","=""0280011""","Bacon Academy","Female",82.7,91.8
"Colchester School District","=""0280011""","Bacon Academy","Male",72.4,76.3
"Coventry School District","=""0320011""","Coventry High School","Female",71.6,89.6
"Coventry School District","=""0320011""","Coventry High School","Male",63.4,75.6
"Cromwell School District","=""0330011""","Cromwell High School","Female",82.9,84.5
"Cromwell School District","=""0330011""","Cromwell High School","Male",73.1,93.9
"Danbury School District","=""0340011""","Alternative Center For Excellence","Female",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Male",*,*
"Danbury School District","=""0340011""","Danbury High School","Female",76.5,89.1
"Danbury School District","=""0340011""","Danbury High School","Male",63.2,84.2
"Darien School District","=""0350011""","Darien High School","Female",87.4,97.1
"Darien School District","=""0350011""","Darien High School","Male",85.6,97.6
"Derby School District","=""0370011""","Derby High School","Female",70.7,93.1
"Derby School District","=""0370011""","Derby High School","Male",55.1,81.5
"East Granby School District","=""0400011""","East Granby High School","Female",76.7,87.0
"East Granby School District","=""0400011""","East Granby High School","Male",76.7,95.7
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Female",88.7,89.4
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Male",61.5,95.8
"East Hampton School District","=""0420011""","East Hampton High School","Female",74.3,89.1
"East Hampton School District","=""0420011""","East Hampton High School","Male",64.6,80.4
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Female",*,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Male",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Female",100.0,100.0
"East Hartford School District","=""0430011""","Connecticut IB Academy","Male",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Female",73.4,81.2
"East Hartford School District","=""0430011""","East Hartford High School","Male",63.5,81.4
"East Hartford School District","=""0430011""","Stevens Alternate High school","Female",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Male",*,*
"East Hartford School District","=""0430011""","Woodland School","Female",*,*
"East Hartford School District","=""0430011""","Woodland School","Male",*,*
"East Haven School District","=""0440011""","East Haven High School","Female",76.3,90.5
"East Haven School District","=""0440011""","East Haven High School","Male",66.7,85.4
"East Haven School District","=""0440011""","Pathways","Male",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Female",84.9,93.0
"East Lyme School District","=""0450011""","East Lyme High School","Male",78.4,81.9
"East Windsor School District","=""0470011""","East Windsor High School","Female",67.4,86.2
"East Windsor School District","=""0470011""","East Windsor High School","Male",54.1,85.0
"Ellington School District","=""0480011""","Ellington High School","Female",83.3,94.7
