"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","American Indian or Alaska Native",*,*
"Ansonia School District","=""0020011""","Ansonia High School","Asian",*,*
"Ansonia School District","=""0020011""","Ansonia High School","Black or African American",71.1,74.1
"Ansonia School District","=""0020011""","Ansonia High School","Hispanic or Latino",52.2,*
"Ansonia School District","=""0020011""","Ansonia High School","White",67.4,92.2
"Avon School District","=""0040011""","Avon High School","Asian",*,*
"Avon School District","=""0040011""","Avon High School","Black or African American",*,*
"Avon School District","=""0040011""","Avon High School","Hispanic or Latino",*,*
"Avon School District","=""0040011""","Avon High School","White",81.5,97.0
"Berlin School District","=""0070011""","Berlin High School","Asian",*,*
"Berlin School District","=""0070011""","Berlin High School","Black or African American",*,*
"Berlin School District","=""0070011""","Berlin High School","Hispanic or Latino",*,*
"Berlin School District","=""0070011""","Berlin High School","White",75.9,94.0
"Bethel School District","=""0090011""","Bethel High School","American Indian or Alaska Native",*,*
"Bethel School District","=""0090011""","Bethel High School","Asian",*,*
"Bethel School District","=""0090011""","Bethel High School","Black or African American",*,*
"Bethel School District","=""0090011""","Bethel High School","Hispanic or Latino",56.5,*
"Bethel School District","=""0090011""","Bethel High School","White",79.1,89.0
"Bloomfield School District","=""0110011""","Bloomfield High School","Asian",*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Black or African American",67.2,77.4
"Bloomfield School District","=""0110011""","Bloomfield High School","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","White",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Asian",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Black or African American",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","White",*,*
"Bolton School District","=""0120011""","Bolton High School","Asian",*,*
"Bolton School District","=""0120011""","Bolton High School","Black or African American",*,*
"Bolton School District","=""0120011""","Bolton High School","White",85.7,*
"Branford School District","=""0140011""","Branford High School","American Indian or Alaska Native",*,*
"Branford School District","=""0140011""","Branford High School","Asian",*,*
"Branford School District","=""0140011""","Branford High School","Black or African American",*,*
"Branford School District","=""0140011""","Branford High School","Hispanic or Latino",*,*
"Branford School District","=""0140011""","Branford High School","White",80.4,94.7
"Bridgeport School District","=""0150011""","Bassick High School","Asian",*,*
"Bridgeport School District","=""0150011""","Bassick High School","Black or African American",55.8,69.0
"Bridgeport School District","=""0150011""","Bassick High School","Hispanic or Latino",44.1,73.3
"Bridgeport School District","=""0150011""","Bassick High School","White",*,*
"Bridgeport School District","=""0150011""","Central High School","Asian",81.8,*
"Bridgeport School District","=""0150011""","Central High School","Black or African American",68.8,85.5
"Bridgeport School District","=""0150011""","Central High School","Hispanic or Latino",57.6,79.3
"Bridgeport School District","=""0150011""","Central High School","White",59.7,91.9
"Bridgeport School District","=""0150011""","Harding High School","Asian",*,*
"Bridgeport School District","=""0150011""","Harding High School","Black or African American",58.3,76.2
"Bridgeport School District","=""0150011""","Harding High School","Hispanic or Latino",41.1,82.4
"Bridgeport School District","=""0150011""","Harding High School","White",*,*
"Bridgeport School District","=""0150011""","Park City Academy","Black or African American",*,*
"Bridgeport School District","=""0150011""","The University School","Black or African American",*,*
"Bridgeport School District","=""0150011""","The University School","White",*,*
"Bristol School District","=""0170011""","Bristol Central High School","American Indian or Alaska Native",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Asian",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Black or African American",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Hispanic or Latino",56.3,*
"Bristol School District","=""0170011""","Bristol Central High School","White",67.5,85.8
"Bristol School District","=""0170011""","Bristol Eastern High School","Asian",*,*
