"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",62.1,85.2
"Avon School District","=""0040011""","Avon High School","=""0046111""",86.4,95.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",81.7,93.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",77.9,92.8
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",66.2,74.5
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",87.9,93.1
"Branford School District","=""0140011""","Branford High School","=""0146111""",78.3,88.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",44.9,77.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",63.7,84.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",46.8,77.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",62.7,90.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",66.2,92.4
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",83.7,91.9
"Canton School District","=""0230011""","Canton High School","=""0236111""",82.8,94.8
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",88.7,95.2
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",67.8,96.3
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",78.2,85.5
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",67.4,82.8
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",78.1,88.8
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",*,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",70.4,87.1
"Darien School District","=""0350011""","Darien High School","=""0356111""",86.6,97.3
"Derby School District","=""0370011""","Derby High School","=""0376111""",62.2,87.5
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",76.7,91.3
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",77.2,91.5
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",69.3,84.9
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",100.0,100.0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",68.8,81.3
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",19.4,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",72.2,88.5
"East Haven School District","=""0440011""","Pathways","=""0449011""",*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",81.8,88.0
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",61.3,85.7
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",79.0,93.2
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",69.3,90.2
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",69.8,88.5
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",85.2,91.3
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",83.2,94.8
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",84.8,93.5
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",88.1,95.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",82.5,90.4
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",76.8,95.0
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",57.7,87.6
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",73.3,86.6
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",78.4,92.3
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",70.0,87.4
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",47.4,68.7
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",84.8,85.7
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",86.6,85.9
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",26.7,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",34.4,75.8
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",49.5,71.7
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",61.4,74.1
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",64.0,*
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",45.9,70.6
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",30.2,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",61.3,87.8
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",73.7,84.9
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",83.1,84.4
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",65.2,80.2
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",73.5,86.0
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",73.1,83.0
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",*,*
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",81.4,92.8
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",88.7,96.5
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",69.4,83.0
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",56.1,83.1
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",53.7,84.6
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",69.0,87.2
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""",*,*
