"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Eligible for Free or Reduced-Price Meals",47.8,81.8
"Avon School District","=""0040011""","Avon High School","Eligible for Free or Reduced-Price Meals",*,*
"Berlin School District","=""0070011""","Berlin High School","Eligible for Free or Reduced-Price Meals",58.3,*
"Bethel School District","=""0090011""","Bethel High School","Eligible for Free or Reduced-Price Meals",54.1,95.0
"Bloomfield School District","=""0110011""","Bloomfield High School","Eligible for Free or Reduced-Price Meals",67.1,76.5
"Bloomfield School District","=""0110011""","The Big Picture High School","Eligible for Free or Reduced-Price Meals",*,*
"Bolton School District","=""0120011""","Bolton High School","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Branford High School","Eligible for Free or Reduced-Price Meals",68.8,87.9
"Bridgeport School District","=""0150011""","Bassick High School","Eligible for Free or Reduced-Price Meals",45.1,71.3
"Bridgeport School District","=""0150011""","Central High School","Eligible for Free or Reduced-Price Meals",66.0,81.8
"Bridgeport School District","=""0150011""","Harding High School","Eligible for Free or Reduced-Price Meals",51.9,74.8
"Bristol School District","=""0170011""","Bristol Central High School","Eligible for Free or Reduced-Price Meals",50.5,75.5
"Bristol School District","=""0170011""","Bristol Eastern High School","Eligible for Free or Reduced-Price Meals",60.0,70.4
"Bristol School District","=""0170011""","Community/Vocational Program","Eligible for Free or Reduced-Price Meals",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Eligible for Free or Reduced-Price Meals",55.0,*
"Canton School District","=""0230011""","Canton High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Eligible for Free or Reduced-Price Meals",73.5,92.0
"Cheshire School District","=""0250011""","Humiston School","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","The Morgan School","Eligible for Free or Reduced-Price Meals",48.3,*
"Colchester School District","=""0280011""","Bacon Academy","Eligible for Free or Reduced-Price Meals",66.7,68.2
"Coventry School District","=""0320011""","Coventry High School","Eligible for Free or Reduced-Price Meals",33.3,*
"Cromwell School District","=""0330011""","Cromwell High School","Eligible for Free or Reduced-Price Meals",64.5,90.0
"Danbury School District","=""0340011""","Alternative Center For Excellence","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Danbury High School","Eligible for Free or Reduced-Price Meals",55.7,85.4
"Darien School District","=""0350011""","Darien High School","Eligible for Free or Reduced-Price Meals",*,*
"Derby School District","=""0370011""","Derby High School","Eligible for Free or Reduced-Price Meals",44.4,91.7
"East Granby School District","=""0400011""","East Granby High School","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Eligible for Free or Reduced-Price Meals",57.0,76.9
"East Hartford School District","=""0430011""","Stevens Alternate High school","Eligible for Free or Reduced-Price Meals",23.0,*
"East Hartford School District","=""0430011""","Woodland School","Eligible for Free or Reduced-Price Meals",*,*
"East Haven School District","=""0440011""","East Haven High School","Eligible for Free or Reduced-Price Meals",57.4,81.8
"East Haven School District","=""0440011""","Pathways","Eligible for Free or Reduced-Price Meals",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Eligible for Free or Reduced-Price Meals",51.5,*
"East Windsor School District","=""0470011""","East Windsor High School","Eligible for Free or Reduced-Price Meals",36.7,*
"Ellington School District","=""0480011""","Ellington High School","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Enfield High School","Eligible for Free or Reduced-Price Meals",56.3,85.2
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Eligible for Free or Reduced-Price Meals",54.8,82.4
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Eligible for Free or Reduced-Price Meals",59.0,100.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","Eligible for Free or Reduced-Price Meals",54.8,82.6
"Farmington School District","=""0520011""","Farmington High School","Eligible for Free or Reduced-Price Meals",72.7,83.3
"Glastonbury School District","=""0540011""","Glastonbury High School","Eligible for Free or Reduced-Price Meals",73.5,91.7
"Granby School District","=""0560011""","Granby Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Eligible for Free or Reduced-Price Meals",66.3,78.5
