"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Eligible for Free or Reduced-Price Meals",52.2,79.7
"Avon School District","=""0040011""","Avon High School","Eligible for Free or Reduced-Price Meals",*,*
"Berlin School District","=""0070011""","Berlin High School","Eligible for Free or Reduced-Price Meals",53.8,90.5
"Bethel School District","=""0090011""","Bethel High School","Eligible for Free or Reduced-Price Meals",67.5,81.5
"Bloomfield School District","=""0110011""","Bloomfield High School","Eligible for Free or Reduced-Price Meals",64.0,68.8
"Bloomfield School District","=""0110011""","The Big Picture High School","Eligible for Free or Reduced-Price Meals",*,*
"Bolton School District","=""0120011""","Bolton High School","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Branford High School","Eligible for Free or Reduced-Price Meals",67.7,78.6
"Bridgeport School District","=""0150011""","Bassick High School","Eligible for Free or Reduced-Price Meals",44.9,77.5
"Bridgeport School District","=""0150011""","Central High School","Eligible for Free or Reduced-Price Meals",63.7,84.0
"Bridgeport School District","=""0150011""","Harding High School","Eligible for Free or Reduced-Price Meals",46.8,77.1
"Bristol School District","=""0170011""","Bristol Central High School","Eligible for Free or Reduced-Price Meals",40.2,85.7
"Bristol School District","=""0170011""","Bristol Eastern High School","Eligible for Free or Reduced-Price Meals",47.9,84.4
"Bristol School District","=""0170011""","Community/Vocational Program","Eligible for Free or Reduced-Price Meals",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Canton School District","=""0230011""","Canton High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Eligible for Free or Reduced-Price Meals",76.1,85.7
"Cheshire School District","=""0250011""","Humiston School","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","The Morgan School","Eligible for Free or Reduced-Price Meals",47.6,*
"Colchester School District","=""0280011""","Bacon Academy","Eligible for Free or Reduced-Price Meals",66.7,85.7
"Coventry School District","=""0320011""","Coventry High School","Eligible for Free or Reduced-Price Meals",30.8,*
"Cromwell School District","=""0330011""","Cromwell High School","Eligible for Free or Reduced-Price Meals",60.6,90.0
"Danbury School District","=""0340011""","Alternative Center For Excellence","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Danbury High School","Eligible for Free or Reduced-Price Meals",55.8,83.8
"Darien School District","=""0350011""","Darien High School","Eligible for Free or Reduced-Price Meals",*,*
"Derby School District","=""0370011""","Derby High School","Eligible for Free or Reduced-Price Meals",54.9,78.6
"East Granby School District","=""0400011""","East Granby High School","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Eligible for Free or Reduced-Price Meals",47.6,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Eligible for Free or Reduced-Price Meals",66.2,77.3
"East Hartford School District","=""0430011""","Stevens Alternate High school","Eligible for Free or Reduced-Price Meals",19.7,*
"East Hartford School District","=""0430011""","Woodland School","Eligible for Free or Reduced-Price Meals",*,*
"East Haven School District","=""0440011""","East Haven High School","Eligible for Free or Reduced-Price Meals",63.6,92.9
"East Haven School District","=""0440011""","Pathways","Eligible for Free or Reduced-Price Meals",*,*
