"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Female",72.5,94.0
"Ansonia School District","=""0020011""","Ansonia High School","Male",50.0,77.8
"Avon School District","=""0040011""","Avon High School","Female",83.0,95.5
"Avon School District","=""0040011""","Avon High School","Male",86.0,94.9
"Berlin School District","=""0070011""","Berlin High School","Female",84.9,97.0
"Berlin School District","=""0070011""","Berlin High School","Male",82.2,87.7
"Bethel School District","=""0090011""","Bethel High School","Female",82.9,93.5
"Bethel School District","=""0090011""","Bethel High School","Male",78.9,87.2
"Bloomfield School District","=""0110011""","Bloomfield High School","Female",79.2,86.0
"Bloomfield School District","=""0110011""","Bloomfield High School","Male",73.1,83.7
"Bloomfield School District","=""0110011""","The Big Picture High School","Female",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Male",*,*
"Bolton School District","=""0120011""","Bolton High School","Female",97.7,92.9
"Bolton School District","=""0120011""","Bolton High School","Male",72.0,*
"Branford School District","=""0140011""","Branford High School","Female",80.9,88.7
"Branford School District","=""0140011""","Branford High School","Male",75.2,93.2
"Bridgeport School District","=""0150011""","Bassick High School","Female",44.9,64.6
"Bridgeport School District","=""0150011""","Bassick High School","Male",45.3,77.4
"Bridgeport School District","=""0150011""","Central High School","Female",71.3,85.6
"Bridgeport School District","=""0150011""","Central High School","Male",59.9,76.7
"Bridgeport School District","=""0150011""","Harding High School","Female",59.0,79.2
"Bridgeport School District","=""0150011""","Harding High School","Male",42.4,66.7
"Bristol School District","=""0170011""","Bristol Central High School","Female",71.0,93.9
"Bristol School District","=""0170011""","Bristol Central High School","Male",60.9,78.2
"Bristol School District","=""0170011""","Bristol Eastern High School","Female",75.0,82.9
"Bristol School District","=""0170011""","Bristol Eastern High School","Male",68.2,83.5
"Bristol School District","=""0170011""","Community/Vocational Program","Female",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","Male",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Female",86.0,91.3
"Brookfield School District","=""0180011""","Brookfield High School","Male",73.3,87.9
"Canton School District","=""0230011""","Canton High School","Female",84.6,90.9
"Canton School District","=""0230011""","Canton High School","Male",63.5,92.5
"Cheshire School District","=""0250011""","Cheshire High School","Female",90.8,95.9
"Cheshire School District","=""0250011""","Cheshire High School","Male",87.4,93.4
"Cheshire School District","=""0250011""","Humiston School","Female",*,*
"Cheshire School District","=""0250011""","Humiston School","Male",*,*
"Clinton School District","=""0270011""","The Morgan School","Female",74.7,89.3
"Clinton School District","=""0270011""","The Morgan School","Male",65.2,86.0
"Colchester School District","=""0280011""","Bacon Academy","Female",81.3,93.0
"Colchester School District","=""0280011""","Bacon Academy","Male",79.0,83.0
"Coventry School District","=""0320011""","Coventry High School","Female",77.8,88.9
"Coventry School District","=""0320011""","Coventry High School","Male",50.8,90.9
"Cromwell School District","=""0330011""","Cromwell High School","Female",86.5,90.9
"Cromwell School District","=""0330011""","Cromwell High School","Male",70.0,89.8
"Danbury School District","=""0340011""","Alternative Center For Excellence","Female",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Male",*,*
"Danbury School District","=""0340011""","Danbury High School","Female",70.6,91.9
"Danbury School District","=""0340011""","Danbury High School","Male",68.5,86.0
"Darien School District","=""0350011""","Darien High School","Female",87.4,97.1
"Darien School District","=""0350011""","Darien High School","Male",75.8,95.0
"Derby School District","=""0370011""","Derby High School","Female",70.2,87.9
