"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Eligible for Free or Reduced-Price Meals",36.4,*
"Avon School District","=""0040011""","Avon High School","Eligible for Free or Reduced-Price Meals",*,*
"Berlin School District","=""0070011""","Berlin High School","Eligible for Free or Reduced-Price Meals",*,*
"Bethel School District","=""0090011""","Bethel High School","Eligible for Free or Reduced-Price Meals",*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Eligible for Free or Reduced-Price Meals",59.3,85.7
"Bolton School District","=""0120011""","Bolton High School","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Branford High School","Eligible for Free or Reduced-Price Meals",43.5,*
"Bridgeport School District","=""0150011""","Bassick High School","Eligible for Free or Reduced-Price Meals",38.6,69.2
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","Eligible for Free or Reduced-Price Meals",*,*
"Bridgeport School District","=""0150011""","Central High School","Eligible for Free or Reduced-Price Meals",58.6,79.6
"Bridgeport School District","=""0150011""","Harding High School","Eligible for Free or Reduced-Price Meals",37.4,76.5
"Bridgeport School District","=""0150011""","The University School","Eligible for Free or Reduced-Price Meals",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Eligible for Free or Reduced-Price Meals",47.9,73.5
"Bristol School District","=""0170011""","Bristol Eastern High School","Eligible for Free or Reduced-Price Meals",35.1,*
"Brookfield School District","=""0180011""","Brookfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","The Morgan School","Eligible for Free or Reduced-Price Meals",*,*
"Colchester School District","=""0280011""","Bacon Academy","Eligible for Free or Reduced-Price Meals",*,*
"Coventry School District","=""0320011""","Coventry High School","Eligible for Free or Reduced-Price Meals",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Danbury High School","Eligible for Free or Reduced-Price Meals",49.7,80.0
"Derby School District","=""0370011""","Derby High School","Eligible for Free or Reduced-Price Meals",40.0,*
"East Granby School District","=""0400011""","East Granby High School","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Eligible for Free or Reduced-Price Meals",48.2,76.0
"East Hartford School District","=""0430011""","Stevens Alternate High school","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Woodland School","Eligible for Free or Reduced-Price Meals",*,*
"East Haven School District","=""0440011""","East Haven High School","Eligible for Free or Reduced-Price Meals",57.1,70.0
"East Haven School District","=""0440011""","Pathways","Eligible for Free or Reduced-Price Meals",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Eligible for Free or Reduced-Price Meals",*,*
"East Windsor School District","=""0470011""","East Windsor High School","Eligible for Free or Reduced-Price Meals",*,*
"Ellington School District","=""0480011""","Ellington High School","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Enfield High School","Eligible for Free or Reduced-Price Meals",66.7,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Eligible for Free or Reduced-Price Meals",40.0,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Eligible for Free or Reduced-Price Meals",*,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","Eligible for Free or Reduced-Price Meals",*,*
"Farmington School District","=""0520011""","Farmington High School","Eligible for Free or Reduced-Price Meals",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","Eligible for Free or Reduced-Price Meals",*,*
"Granby School District","=""0560011""","Granby Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Eligible for Free or Reduced-Price Meals",50.0,80.0
"Griswold School District","=""0580011""","Griswold High School","Eligible for Free or Reduced-Price Meals",36.0,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Eligible for Free or Reduced-Price Meals",53.2,68.0
"Guilford School District","=""0600011""","Guilford High School","Eligible for Free or Reduced-Price Meals",*,*
"Hamden School District","=""0620011""","Hamden High School","Eligible for Free or Reduced-Price Meals",57.4,75.9
"Hartford School District","=""0640011""","Bulkeley High School Lower School","Eligible for Free or Reduced-Price Meals",40.0,72.2
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","Classical Magnet School","Eligible for Free or Reduced-Price Meals",72.7,75.0
"Hartford School District","=""0640011""","Hartford Public High School","Eligible for Free or Reduced-Price Meals",41.9,69.4
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","Eligible for Free or Reduced-Price Meals",-200.0,-200.0
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Eligible for Free or Reduced-Price Meals",82.5,87.2
"Hartford School District","=""0640011""","Weaver High School","Eligible for Free or Reduced-Price Meals",47.9,77.8
"Killingly School District","=""0690011""","Killingly High School","Eligible for Free or Reduced-Price Meals",37.5,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Eligible for Free or Reduced-Price Meals",*,*
"Litchfield School District","=""0740011""","Litchfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Eligible for Free or Reduced-Price Meals",*,*
"Manchester School District","=""0770011""","Manchester High School","Eligible for Free or Reduced-Price Meals",60.2,80.4
"Manchester School District","=""0770011""","Manchester Regional Academy","Eligible for Free or Reduced-Price Meals",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Eligible for Free or Reduced-Price Meals",40.0,77.3
"Meriden School District","=""0800011""","Orville H. Platt High School","Eligible for Free or Reduced-Price Meals",43.8,71.4
"Middletown School District","=""0830011""","Middletown High School","Eligible for Free or Reduced-Price Meals",63.2,69.4
"Milford School District","=""0840011""","Jonathan Law High School","Eligible for Free or Reduced-Price Meals",63.2,79.2
"Milford School District","=""0840011""","Joseph A. Foran High School","Eligible for Free or Reduced-Price Meals",50.0,*
"Milford School District","=""0840011""","The Academy","Eligible for Free or Reduced-Price Meals",*,*
"Monroe School District","=""0850011""","Masuk High School","Eligible for Free or Reduced-Price Meals",*,*
"Montville School District","=""0860011""","Montville High School","Eligible for Free or Reduced-Price Meals",*,*
"Montville School District","=""0860011""","Palmer Academy","Eligible for Free or Reduced-Price Meals",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Eligible for Free or Reduced-Price Meals",40.7,87.9
"New Britain School District","=""0890011""","New Britain High School","Eligible for Free or Reduced-Price Meals",46.9,72.2
"New Fairfield School District","=""0910011""","New Fairfield High School","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Cooperative High School","Eligible for Free or Reduced-Price Meals",42.2,*
"New Haven School District","=""0930011""","High School In The Community","Eligible for Free or Reduced-Price Meals",51.7,*
"New Haven School District","=""0930011""","Hill Regional Career High School","Eligible for Free or Reduced-Price Meals",71.4,90.9
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","James Hillhouse High School","Eligible for Free or Reduced-Price Meals",56.6,74.1
"New Haven School District","=""0930011""","Metropolitan Business Academy","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","New Haven Academy","Eligible for Free or Reduced-Price Meals",90.9,75.0
"New Haven School District","=""0930011""","Polly T. McCabe Center","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","Eligible for Free or Reduced-Price Meals",24.3,*
"New Haven School District","=""0930011""","Sound School","Eligible for Free or Reduced-Price Meals",45.5,*
"New Haven School District","=""0930011""","Wilbur Cross High School","Eligible for Free or Reduced-Price Meals",40.3,66.0
"Newington School District","=""0940011""","Newington High School","Eligible for Free or Reduced-Price Meals",61.3,*
"New London School District","=""0950011""","New London Clinical Day Program","Eligible for Free or Reduced-Price Meals",*,*
"New London School District","=""0950011""","New London High School","Eligible for Free or Reduced-Price Meals",44.8,69.8
"New Milford School District","=""0960011""","New Milford High School","Eligible for Free or Reduced-Price Meals",*,*
"Newtown School District","=""0970011""","Newtown High School","Eligible for Free or Reduced-Price Meals",*,*
"North Branford School District","=""0990011""","North Branford High School","Eligible for Free or Reduced-Price Meals",*,*
"North Haven School District","=""1010011""","North Haven High School","Eligible for Free or Reduced-Price Meals",*,*
"North Stonington School District","=""1020011""","Wheeler High School","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Eligible for Free or Reduced-Price Meals",60.6,95.0
"Norwalk School District","=""1030011""","Norwalk High School","Eligible for Free or Reduced-Price Meals",63.8,80.0
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Eligible for Free or Reduced-Price Meals",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","Eligible for Free or Reduced-Price Meals",*,*
"Norwich School District","=""1040011""","Thames River Academy","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Plainfield High School","Eligible for Free or Reduced-Price Meals",29.4,*
"Plainville School District","=""1100011""","Plainville High School","Eligible for Free or Reduced-Price Meals",40.7,*
"Plymouth School District","=""1110011""","Terryville High School","Eligible for Free or Reduced-Price Meals",*,*
"Portland School District","=""1130011""","Portland High School","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Putnam High School","Eligible for Free or Reduced-Price Meals",61.9,*
"Ridgefield School District","=""1180011""","Ridgefield High School","Eligible for Free or Reduced-Price Meals",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Eligible for Free or Reduced-Price Meals",*,*
"Seymour School District","=""1240011""","Seymour High School","Eligible for Free or Reduced-Price Meals",*,*
"Shelton School District","=""1260011""","Shelton High School","Eligible for Free or Reduced-Price Meals",*,*
"Simsbury School District","=""1280011""","Simsbury High School","Eligible for Free or Reduced-Price Meals",*,*
"Somers School District","=""1290011""","Somers High School","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Southington High School","Eligible for Free or Reduced-Price Meals",59.1,*
"South Windsor School District","=""1320011""","South Windsor High School","Eligible for Free or Reduced-Price Meals",*,*
"Stafford School District","=""1340011""","Stafford High School","Eligible for Free or Reduced-Price Meals",*,*
"Stamford School District","=""1350011""","Stamford High School","Eligible for Free or Reduced-Price Meals",50.0,73.8
"Stamford School District","=""1350011""","The Academy of Information Technology","Eligible for Free or Reduced-Price Meals",55.0,*
"Stamford School District","=""1350011""","Westhill High School","Eligible for Free or Reduced-Price Meals",51.9,84.3
"Stonington School District","=""1370011""","Stonington High School","Eligible for Free or Reduced-Price Meals",45.5,*
"Stratford School District","=""1380011""","Bunnell High School","Eligible for Free or Reduced-Price Meals",60.0,83.3
"Stratford School District","=""1380011""","Stratford High School","Eligible for Free or Reduced-Price Meals",69.2,80.6
"Suffield School District","=""1390011""","Suffield High School","Eligible for Free or Reduced-Price Meals",*,*
"Thomaston School District","=""1400011""","Thomaston High School","Eligible for Free or Reduced-Price Meals",*,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Tolland School District","=""1420011""","Tolland High School","Eligible for Free or Reduced-Price Meals",*,*
"Torrington School District","=""1430011""","Torrington High School","Eligible for Free or Reduced-Price Meals",46.2,*
"Trumbull School District","=""1440011""","Trumbull High School","Eligible for Free or Reduced-Price Meals",*,*
"Vernon School District","=""1460011""","Rockville High School","Eligible for Free or Reduced-Price Meals",53.3,*
"Wallingford School District","=""1480011""","Lyman Hall High School","Eligible for Free or Reduced-Price Meals",52.0,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","Crosby High School","Eligible for Free or Reduced-Price Meals",49.0,79.2
"Waterbury School District","=""1510011""","Enlightenment School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Eligible for Free or Reduced-Price Meals",41.2,70.4
"Waterbury School District","=""1510011""","State Street School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Eligible for Free or Reduced-Price Meals",51.2,86.4
"Waterbury School District","=""1510011""","Wilby High School","Eligible for Free or Reduced-Price Meals",44.0,85.5
"Waterford School District","=""1520011""","Waterford High School","Eligible for Free or Reduced-Price Meals",*,*
"Watertown School District","=""1530011""","Watertown High School","Eligible for Free or Reduced-Price Meals",*,*
"Westbrook School District","=""1540011""","Westbrook High School","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Conard High School","Eligible for Free or Reduced-Price Meals",59.3,77.1
"West Hartford School District","=""1550011""","Hall High School","Eligible for Free or Reduced-Price Meals",66.7,89.3
"West Haven School District","=""1560011""","West Haven High School","Eligible for Free or Reduced-Price Meals",52.6,81.7
"Westport School District","=""1580011""","Staples High School","Eligible for Free or Reduced-Price Meals",*,*
"Wethersfield School District","=""1590011""","Wethersfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Wilton School District","=""1610011""","Wilton High School","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Windham High School","Eligible for Free or Reduced-Price Meals",43.2,68.8
"Windsor School District","=""1640011""","Windsor High School","Eligible for Free or Reduced-Price Meals",66.3,85.5
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Eligible for Free or Reduced-Price Meals",*,*
"Wolcott School District","=""1660011""","Wolcott High School","Eligible for Free or Reduced-Price Meals",66.7,*
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 06","=""2060012""","Wamogo Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 08","=""2080012""","RHAM High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Parish Hill High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 16","=""2160012""","Woodland Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","Eligible for Free or Reduced-Price Meals",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Eligible for Free or Reduced-Price Meals",*,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Eligible for Free or Reduced-Price Meals",76.2,*
"Explorations District","=""2720013""","Explorations","Eligible for Free or Reduced-Price Meals",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","Eligible for Free or Reduced-Price Meals",32.0,*
"Unified School District #2","=""3470015""","Children's Place School","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","High Meadows","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Eligible for Free or Reduced-Price Meals",44.0,57.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Eligible for Free or Reduced-Price Meals",36.0,75.6
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Eligible for Free or Reduced-Price Meals",16.4,*
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Eligible for Free or Reduced-Price Meals",30.5,*
