"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",58.4,88.5
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",*,*
"Avon School District","=""0040011""","Avon High School","=""0046111""",86.6,93.7
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",80.3,92.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",77.1,87.8
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",56.7,83.8
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",86.7,96.2
"Branford School District","=""0140011""","Branford High School","=""0146111""",77.1,91.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",46.9,59.8
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",*,*
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",65.4,86.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",50.2,69.6
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",*,*
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",*,*
"Bridgeport School District","=""0150011""","The University School","=""0159111""",*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",67.9,84.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",70.9,87.7
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",85.9,94.0
"Canton School District","=""0230011""","Canton High School","=""0236111""",76.4,96.4
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",87.7,93.4
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",75.8,92.2
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",76.5,91.7
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",70.0,85.7
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",79.2,91.9
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",52.4,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",68.4,89.4
"Darien School District","=""0350011""","Darien High School","=""0356111""",85.6,95.2
"Derby School District","=""0370011""","Derby High School","=""0376111""",56.5,86.5
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",81.1,95.3
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",80.2,93.8
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",82.8,87.2
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",94.3,87.9
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",60.1,83.2
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",17.5,*
