"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Eligible for Free or Reduced-Price Meals",53.4,76.2
"Avon School District","=""0040011""","Avon High School","Eligible for Free or Reduced-Price Meals",90.0,*
"Berlin School District","=""0070011""","Berlin High School","Eligible for Free or Reduced-Price Meals",54.5,*
"Bethel School District","=""0090011""","Bethel High School","Eligible for Free or Reduced-Price Meals",63.0,86.2
"Bloomfield School District","=""0110011""","Bloomfield High School","Eligible for Free or Reduced-Price Meals",67.1,81.8
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Eligible for Free or Reduced-Price Meals",61.9,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Eligible for Free or Reduced-Price Meals",*,*
"Bolton School District","=""0120011""","Bolton High School","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Branford High School","Eligible for Free or Reduced-Price Meals",57.6,76.3
"Bridgeport School District","=""0150011""","Bassick High School","Eligible for Free or Reduced-Price Meals",50.9,67.6
"Bridgeport School District","=""0150011""","Central High School","Eligible for Free or Reduced-Price Meals",64.6,82.0
"Bridgeport School District","=""0150011""","Harding High School","Eligible for Free or Reduced-Price Meals",44.4,70.8
"Bridgeport School District","=""0150011""","Park City Academy","Eligible for Free or Reduced-Price Meals",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Eligible for Free or Reduced-Price Meals",45.4,74.1
"Bristol School District","=""0170011""","Bristol Eastern High School","Eligible for Free or Reduced-Price Meals",47.4,75.6
"Bristol School District","=""0170011""","Community/Vocational Program","Eligible for Free or Reduced-Price Meals",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Eligible for Free or Reduced-Price Meals",89.7,88.5
"Canton School District","=""0230011""","Canton High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Eligible for Free or Reduced-Price Meals",63.6,89.3
"Cheshire School District","=""0250011""","Humiston School","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","The Morgan School","Eligible for Free or Reduced-Price Meals",51.6,*
"Colchester School District","=""0280011""","Bacon Academy","Eligible for Free or Reduced-Price Meals",47.2,*
"Coventry School District","=""0320011""","Coventry High School","Eligible for Free or Reduced-Price Meals",51.7,*
"Cromwell School District","=""0330011""","Cromwell High School","Eligible for Free or Reduced-Price Meals",73.5,80.0
"Danbury School District","=""0340011""","Alternative Center For Excellence","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Danbury High School","Eligible for Free or Reduced-Price Meals",59.2,85.2
"Darien School District","=""0350011""","Darien High School","Eligible for Free or Reduced-Price Meals",*,*
"Derby School District","=""0370011""","Derby High School","Eligible for Free or Reduced-Price Meals",61.1,68.2
"East Granby School District","=""0400011""","East Granby High School","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Eligible for Free or Reduced-Price Meals",57.6,74.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","Eligible for Free or Reduced-Price Meals",29.3,25.0
"East Hartford School District","=""0430011""","Woodland School","Eligible for Free or Reduced-Price Meals",*,*
"East Haven School District","=""0440011""","East Haven High School","Eligible for Free or Reduced-Price Meals",63.6,79.4
"East Haven School District","=""0440011""","Pathways","Eligible for Free or Reduced-Price Meals",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Eligible for Free or Reduced-Price Meals",74.2,91.3
"East Windsor School District","=""0470011""","East Windsor High School","Eligible for Free or Reduced-Price Meals",45.9,*
"Ellington School District","=""0480011""","Ellington High School","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Enfield High School","Eligible for Free or Reduced-Price Meals",49.1,65.4
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Eligible for Free or Reduced-Price Meals",*,*
