"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Black or African American",57.7,*
"Ansonia School District","=""0020011""","Ansonia High School","Hispanic or Latino",58.3,61.9
"Ansonia School District","=""0020011""","Ansonia High School","Two or More Races",*,*
"Ansonia School District","=""0020011""","Ansonia High School","White",61.4,90.7
"Avon School District","=""0040011""","Avon High School","Asian",*,*
"Avon School District","=""0040011""","Avon High School","Black or African American",*,*
"Avon School District","=""0040011""","Avon High School","Hispanic or Latino",*,*
"Avon School District","=""0040011""","Avon High School","Native Hawaiian or Other Pacific Islander",*,*
"Avon School District","=""0040011""","Avon High School","Two or More Races",*,*
"Avon School District","=""0040011""","Avon High School","White",89.1,94.8
"Berlin School District","=""0070011""","Berlin High School","Asian",*,*
"Berlin School District","=""0070011""","Berlin High School","Black or African American",*,*
"Berlin School District","=""0070011""","Berlin High School","Hispanic or Latino",*,*
"Berlin School District","=""0070011""","Berlin High School","Two or More Races",*,*
"Berlin School District","=""0070011""","Berlin High School","White",87.8,94.2
"Bethel School District","=""0090011""","Bethel High School","Asian",77.3,*
"Bethel School District","=""0090011""","Bethel High School","Black or African American",*,*
"Bethel School District","=""0090011""","Bethel High School","Hispanic or Latino",60.7,*
"Bethel School District","=""0090011""","Bethel High School","Two or More Races",*,*
"Bethel School District","=""0090011""","Bethel High School","White",81.1,87.3
"Bloomfield School District","=""0110011""","Bloomfield High School","Asian",*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Black or African American",72.7,82.5
"Bloomfield School District","=""0110011""","Bloomfield High School","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Two or More Races",*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","White",*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Black or African American",85.0,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Two or More Races",*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","White",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Black or African American",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","White",*,*
"Bolton School District","=""0120011""","Bolton High School","Asian",*,*
"Bolton School District","=""0120011""","Bolton High School","Black or African American",*,*
"Bolton School District","=""0120011""","Bolton High School","Hispanic or Latino",*,*
"Bolton School District","=""0120011""","Bolton High School","Two or More Races",*,*
"Bolton School District","=""0120011""","Bolton High School","White",86.0,93.2
"Branford School District","=""0140011""","Branford High School","Asian",81.8,*
"Branford School District","=""0140011""","Branford High School","Black or African American",*,*
"Branford School District","=""0140011""","Branford High School","Hispanic or Latino",71.4,*
"Branford School District","=""0140011""","Branford High School","Two or More Races",*,*
"Branford School District","=""0140011""","Branford High School","White",71.3,91.2
"Bridgeport School District","=""0150011""","Bassick High School","Asian",*,*
"Bridgeport School District","=""0150011""","Bassick High School","Black or African American",45.5,68.6
"Bridgeport School District","=""0150011""","Bassick High School","Hispanic or Latino",34.0,74.3
"Bridgeport School District","=""0150011""","Bassick High School","Two or More Races",*,*
"Bridgeport School District","=""0150011""","Bassick High School","White",*,*
