"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA and Math, All Grades, English Learner Status (EL)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA","N",35610,35173,98.8,35136,7114,20.2,8032,22.9,8788,25.0,11202,31.9,19990,56.9,2443
"State of Connecticut",03,"ELA","Y",3148,2868,91.1,2849,1648,57.8,835,29.3,300,10.5,66,2.3,366,12.8,2354
"State of Connecticut",03,"Math","N",35601,35153,98.7,35132,8491,24.2,8744,24.9,11008,31.3,6889,19.6,17897,50.9,2433
"State of Connecticut",03,"Math","Y",3153,3123,99.0,3117,1979,63.5,780,25.0,301,9.7,57,1.8,358,11.5,2358
"State of Connecticut",04,"ELA","N",36345,35934,98.9,35904,8218,22.9,6877,19.2,9048,25.2,11761,32.8,20809,58.0,2485
"State of Connecticut",04,"ELA","Y",2980,2712,91.0,2693,1740,64.6,564,20.9,312,11.6,77,2.9,389,14.4,2389
"State of Connecticut",04,"Math","N",36341,35901,98.8,35887,7325,20.4,11812,32.9,10348,28.8,6402,17.8,16750,46.7,2476
"State of Connecticut",04,"Math","Y",2979,2944,98.8,2941,1689,57.4,934,31.8,251,8.5,67,2.3,318,10.8,2400
"State of Connecticut",05,"ELA","N",36927,36491,98.8,36464,7269,19.9,6766,18.6,12431,34.1,9998,27.4,22429,61.5,2522
"State of Connecticut",05,"ELA","Y",2627,2367,90.1,2351,1502,63.9,571,24.3,254,10.8,24,1.0,278,11.8,2417
"State of Connecticut",05,"Math","N",36921,36481,98.8,36455,11059,30.3,11209,30.7,7368,20.2,6819,18.7,14187,38.9,2499
"State of Connecticut",05,"Math","Y",2630,2592,98.6,2587,1978,76.5,473,18.3,102,3.9,34,1.3,136,5.3,2410
"State of Connecticut",06,"ELA","N",38279,37707,98.5,37662,6391,17.0,9387,24.9,13752,36.5,8132,21.6,21884,58.1,2544
"State of Connecticut",06,"ELA","Y",2262,2069,91.5,2047,1316,64.3,572,27.9,149,7.3,10,0.5,159,7.8,2428
"State of Connecticut",06,"Math","N",38276,37669,98.4,37640,10817,28.7,12101,32.1,8298,22.0,6424,17.1,14722,39.1,2520
"State of Connecticut",06,"Math","Y",2263,2235,98.8,2230,1776,79.6,361,16.2,65,2.9,28,1.3,93,4.2,2402
"State of Connecticut",07,"ELA","N",37853,37011,97.8,36953,"*","*",8076,21.9,14927,40.4,"*","*","*","*",2566
"State of Connecticut",07,"ELA","Y",2097,1848,88.1,1827,1331,72.9,372,20.4,"*","*","*","*",124,6.8,2439
"State of Connecticut",07,"Math","N",37850,37003,97.8,36947,10743,29.1,11259,30.5,8490,23.0,6455,17.5,14945,40.4,2537
"State of Connecticut",07,"Math","Y",2099,2058,98.0,2053,1666,81.1,295,14.4,65,3.2,27,1.3,92,4.5,2412
"State of Connecticut",08,"ELA","N",38993,37969,97.4,37885,"*","*",9922,26.2,14580,38.5,"*","*","*","*",2578
"State of Connecticut",08,"ELA","Y",1992,1743,87.5,1724,1223,70.9,419,24.3,"*","*","*","*",82,4.8,2450
"State of Connecticut",08,"Math","N",38990,37881,97.2,37828,13238,35.0,10110,26.7,7408,19.6,7072,18.7,14480,38.3,2547
"State of Connecticut",08,"Math","Y",1992,1939,97.3,1934,1654,85.5,203,10.5,45,2.3,32,1.7,77,4.0,2416
"State of Connecticut",11,"ELA","N",38248,31399,82.1,31113,6315,20.3,7606,24.4,10378,33.4,6814,21.9,17192,55.3,2589
"State of Connecticut",11,"ELA","Y",1608,1275,79.3,1255,852,67.9,328,26.1,63,5.0,12,1.0,75,6.0,2459
"State of Connecticut",11,"Math","N",38258,31016,81.1,30875,13804,44.7,7336,23.8,6024,19.5,3711,12.0,9735,31.5,2562
"State of Connecticut",11,"Math","Y",1607,1312,81.6,1302,1119,85.9,114,8.8,45,3.5,24,1.8,69,5.3,2447

