"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"F",48,47,97.9,47,12,25.5,11,23.4,11,23.4,13,27.7,24,51.1,2422
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"M",42,42,100.0,42,12,28.6,11,26.2,10,23.8,9,21.4,19,45.2,2423
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"F",43,43,100.0,43,6,14.0,9,20.9,12,27.9,16,37.2,28,65.1,2494
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"M",48,48,100.0,48,18,37.5,7,14.6,11,22.9,12,25.0,23,47.9,2465
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"F",80,80,100.0,80,28,35.0,19,23.8,24,30.0,9,11.3,33,41.3,2478
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"M",64,64,100.0,64,29,45.3,18,28.1,10,15.6,7,10.9,17,26.6,2452
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"F",63,63,100.0,63,15,23.8,12,19.0,27,42.9,9,14.3,36,57.1,2532
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"M",82,81,98.8,81,27,33.3,27,33.3,19,23.5,8,9.9,27,33.3,2496
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"F",32,32,100.0,32,"*","*",11,34.4,13,40.6,"*","*","*","*",2558
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"M",25,25,100.0,25,"*","*","*","*",8,32.0,0,0.0,8,32.0,2497
