"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, ELA and Math, All Grades, Special Education Status (SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA","N",34764,34528,99.3,34516,6277,18.2,7975,23.1,8602,24.9,11662,33.8,20264,58.7,2449
"State of Connecticut",03,"ELA","Y",4543,4427,97.4,4422,2607,59.0,1075,24.3,470,10.6,270,6.1,740,16.7,2357
"State of Connecticut",03,"Math","N",34755,34478,99.2,34468,6456,18.7,8273,24.0,11123,32.3,8616,25.0,19739,57.3,2448
"State of Connecticut",03,"Math","Y",4541,4406,97.0,4399,2691,61.2,929,21.1,559,12.7,220,5.0,779,17.7,2360
"State of Connecticut",04,"ELA","N",33683,33441,99.3,33431,6959,20.8,5975,17.9,8405,25.1,12092,36.2,20497,61.3,2494
"State of Connecticut",04,"ELA","Y",5167,5023,97.2,5017,3281,65.4,879,17.5,572,11.4,285,5.7,857,17.1,2389
"State of Connecticut",04,"Math","N",33676,33405,99.2,33392,5300,15.9,10338,31.0,10111,30.3,7643,22.9,17754,53.2,2490
"State of Connecticut",04,"Math","Y",5166,4997,96.7,4992,2938,58.9,1407,28.2,465,9.3,182,3.6,647,13.0,2400
"State of Connecticut",05,"ELA","N",34104,33867,99.3,33852,5736,16.9,6053,17.9,11228,33.2,10835,32.0,22063,65.2,2532
"State of Connecticut",05,"ELA","Y",5289,5160,97.6,5155,3231,62.7,1087,21.1,657,12.7,180,3.5,837,16.2,2419
"State of Connecticut",05,"Math","N",34098,33822,99.2,33813,8348,24.7,10018,29.6,7402,21.9,8045,23.8,15447,45.7,2514
"State of Connecticut",05,"Math","Y",5283,5129,97.1,5125,3721,72.6,945,18.4,301,5.9,158,3.1,459,9.0,2415
"State of Connecticut",06,"ELA","N",34182,33860,99.1,33849,5351,15.8,7768,22.9,12246,36.2,8484,25.1,20730,61.2,2551
"State of Connecticut",06,"ELA","Y",5400,5221,96.7,5217,3197,61.3,1260,24.2,614,11.8,146,2.8,760,14.6,2438
"State of Connecticut",06,"Math","N",34175,33791,98.9,33783,7732,22.9,10628,31.5,7908,23.4,7515,22.2,15423,45.7,2538
"State of Connecticut",06,"Math","Y",5398,5185,96.1,5179,3807,73.5,994,19.2,257,5.0,121,2.3,378,7.3,2411
"State of Connecticut",07,"ELA","N",35309,34831,98.6,34821,5756,16.5,7743,22.2,13425,38.6,7897,22.7,21322,61.2,2574
"State of Connecticut",07,"ELA","Y",5432,5261,96.9,5254,3273,62.3,1190,22.6,665,12.7,126,2.4,791,15.1,2460
"State of Connecticut",07,"Math","N",35301,34756,98.5,34744,7827,22.5,10660,30.7,8860,25.5,7397,21.3,16257,46.8,2555
"State of Connecticut",07,"Math","Y",5428,5215,96.1,5210,3799,72.9,958,18.4,318,6.1,135,2.6,453,8.7,2427
"State of Connecticut",08,"ELA","N",34729,34153,98.3,34140,5133,15.0,7939,23.3,13988,41.0,7080,20.7,21068,61.7,2589
"State of Connecticut",08,"ELA","Y",5418,5216,96.3,5210,3105,59.6,1353,26.0,660,12.7,92,1.8,752,14.4,2473
"State of Connecticut",08,"Math","N",34723,34032,98.0,34019,9621,28.3,8964,26.3,7385,21.7,8049,23.7,15434,45.4,2569
"State of Connecticut",08,"Math","Y",5416,5168,95.4,5160,4016,77.8,779,15.1,246,4.8,119,2.3,365,7.1,2437

