"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","F",269,268,99.6,268,66,24.6,73,27.2,91,34.0,38,14.2,129,48.1
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","M",282,280,99.3,279,113,40.5,67,24.0,75,26.9,24,8.6,99,35.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","F",269,268,99.6,268,115,42.9,80,29.9,58,21.6,15,5.6,73,27.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","M",282,279,98.9,278,127,45.7,83,29.9,50,18.0,18,6.5,68,24.5
"Amistad Academy District","=""2790013""","ELA","F",268,266,99.3,266,47,17.7,73,27.4,85,32.0,61,22.9,146,54.9
"Amistad Academy District","=""2790013""","ELA","M",276,275,99.6,275,80,29.1,76,27.6,79,28.7,40,14.5,119,43.3
"Amistad Academy District","=""2790013""","Math","F",268,265,98.9,265,75,28.3,97,36.6,58,21.9,35,13.2,93,35.1
"Amistad Academy District","=""2790013""","Math","M",276,275,99.6,275,94,34.2,88,32.0,59,21.5,34,12.4,93,33.8
"Andover School District","=""0010011""","ELA","F",78,76,97.4,76,"*","*","*","*",19,25.0,48,63.2,67,88.2
"Andover School District","=""0010011""","ELA","M",89,87,97.8,87,"*","*","*","*",24,27.6,39,44.8,63,72.4
"Andover School District","=""0010011""","Math","F",78,78,100.0,78,"*","*","*","*",21,26.9,32,41.0,53,67.9
"Andover School District","=""0010011""","Math","M",89,87,97.8,87,"*","*","*","*",27,31.0,35,40.2,62,71.3
"Ansonia School District","=""0020011""","ELA","F",599,589,98.3,589,147,25.0,181,30.7,183,31.1,78,13.2,261,44.3
"Ansonia School District","=""0020011""","ELA","M",626,616,98.4,616,250,40.6,180,29.2,122,19.8,64,10.4,186,30.2
"Ansonia School District","=""0020011""","Math","F",600,590,98.3,590,246,41.7,238,40.3,82,13.9,24,4.1,106,18.0
"Ansonia School District","=""0020011""","Math","M",626,617,98.6,617,287,46.5,201,32.6,84,13.6,45,7.3,129,20.9
"Area Cooperative Educational Services","=""2440014""","ELA","F",581,574,98.8,572,133,23.3,196,34.3,176,30.8,67,11.7,243,42.5
"Area Cooperative Educational Services","=""2440014""","ELA","M",716,703,98.2,696,284,40.8,183,26.3,179,25.7,50,7.2,229,32.9
"Area Cooperative Educational Services","=""2440014""","Math","F",581,577,99.3,577,277,48.0,192,33.3,71,12.3,37,6.4,108,18.7
"Area Cooperative Educational Services","=""2440014""","Math","M",717,698,97.4,695,380,54.7,180,25.9,100,14.4,35,5.0,135,19.4
"Ashford School District","=""0030011""","ELA","F",122,122,100.0,122,10,8.2,23,18.9,40,32.8,49,40.2,89,73.0
"Ashford School District","=""0030011""","ELA","M",131,130,99.2,130,24,18.5,41,31.5,44,33.8,21,16.2,65,50.0
"Ashford School District","=""0030011""","Math","F",122,122,100.0,121,26,21.5,35,28.9,40,33.1,20,16.5,60,49.6
"Ashford School District","=""0030011""","Math","M",131,127,96.9,127,43,33.9,38,29.9,28,22.0,18,14.2,46,36.2
"Avon School District","=""0040011""","ELA","F",897,883,98.4,882,38,4.3,95,10.8,267,30.3,482,54.6,749,84.9
"Avon School District","=""0040011""","ELA","M",944,929,98.4,927,63,6.8,125,13.5,357,38.5,382,41.2,739,79.7
"Avon School District","=""0040011""","Math","F",897,887,98.9,887,68,7.7,181,20.4,281,31.7,357,40.2,638,71.9
"Avon School District","=""0040011""","Math","M",944,936,99.2,936,81,8.7,173,18.5,282,30.1,400,42.7,682,72.9
"Barkhamsted School District","=""0050011""","ELA","F",92,91,98.9,91,6,6.6,14,15.4,34,37.4,37,40.7,71,78.0
"Barkhamsted School District","=""0050011""","ELA","M",113,107,94.7,106,21,19.8,20,18.9,36,34.0,29,27.4,65,61.3
