"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","Y",90,89,98.9,89,24,27.0,22,24.7,21,23.6,22,24.7,43,48.3,2423
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","Y",90,88,97.8,88,14,15.9,24,27.3,24,27.3,26,29.5,50,56.8,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","Y",91,91,100.0,91,24,26.4,16,17.6,23,25.3,28,30.8,51,56.0,2479
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","Y",91,90,98.9,90,18,20.0,32,35.6,19,21.1,21,23.3,40,44.4,2479
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","Y",144,144,100.0,144,57,39.6,37,25.7,34,23.6,16,11.1,50,34.7,2467
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","Y",144,143,99.3,142,70,49.3,49,34.5,14,9.9,9,6.3,23,16.2,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","Y",145,144,99.3,144,42,29.2,39,27.1,46,31.9,17,11.8,63,43.8,2512
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","Y",145,143,98.6,143,69,48.3,45,31.5,18,12.6,11,7.7,29,20.3,2473
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","Y",57,57,100.0,57,"*","*",19,33.3,21,36.8,"*","*","*","*",2531
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","Y",57,57,100.0,57,29,50.9,18,31.6,"*","*","*","*",10,17.5,2469
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","Y",65,64,98.5,64,10,15.6,22,34.4,20,31.3,12,18.8,32,50.0,2577
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","Y",65,65,100.0,65,22,33.8,21,32.3,14,21.5,8,12.3,22,33.8,2534
"Amistad Academy District","=""2790013""",03,"ELA","Y",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*",2452
"Amistad Academy District","=""2790013""",03,"ELA","N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Math","Y",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*",2452
"Amistad Academy District","=""2790013""",03,"Math","N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"ELA","Y",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2481
"Amistad Academy District","=""2790013""",04,"ELA","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Math","Y",84,82,97.6,82,"*","*","*","*","*","*","*","*","*","*",2497
"Amistad Academy District","=""2790013""",04,"Math","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"ELA","Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*",2501
"Amistad Academy District","=""2790013""",05,"ELA","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Math","Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*",2496
"Amistad Academy District","=""2790013""",05,"Math","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"ELA","Y",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*",2508
"Amistad Academy District","=""2790013""",06,"ELA","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"Math","Y",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*",2525
"Amistad Academy District","=""2790013""",06,"Math","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"ELA","Y",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*",2534
"Amistad Academy District","=""2790013""",07,"ELA","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"Math","Y",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*",2524
"Amistad Academy District","=""2790013""",07,"Math","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"ELA","Y",64,63,98.4,63,"*","*","*","*","*","*","*","*","*","*",2554
"Amistad Academy District","=""2790013""",08,"ELA","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Math","Y",64,63,98.4,63,"*","*","*","*","*","*","*","*","*","*",2549
"Amistad Academy District","=""2790013""",08,"Math","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"ELA","Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"ELA","N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2459
"Andover School District","=""0010011""",03,"Math","Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"Math","N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2474
"Andover School District","=""0010011""",04,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"ELA","N",30,30,100.0,30,0,0.0,"*","*","*","*","*","*","*","*",2542
"Andover School District","=""0010011""",04,"Math","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"Math","N",30,30,100.0,30,0,0.0,"*","*","*","*","*","*","*","*",2519
"Andover School District","=""0010011""",05,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"ELA","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"ELA","N",35,35,100.0,35,"*","*","*","*","*","*","*","*","*","*",2617
"Andover School District","=""0010011""",06,"Math","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"Math","N",35,35,100.0,35,0,0.0,"*","*","*","*","*","*","*","*",2613
"Ansonia School District","=""0020011""",03,"ELA","Y",124,124,100.0,124,42,33.9,40,32.3,27,21.8,15,12.1,42,33.9,2397
"Ansonia School District","=""0020011""",03,"ELA","N",48,46,95.8,46,9,19.6,11,23.9,15,32.6,11,23.9,26,56.5,2432
"Ansonia School District","=""0020011""",03,"Math","Y",124,123,99.2,123,40,32.5,46,37.4,"*","*","*","*",37,30.1,2403
"Ansonia School District","=""0020011""",03,"Math","N",48,46,95.8,46,"*","*",16,34.8,18,39.1,"*","*","*","*",2429
"Ansonia School District","=""0020011""",04,"ELA","Y",119,118,99.2,118,42,35.6,37,31.4,25,21.2,14,11.9,39,33.1,2439
"Ansonia School District","=""0020011""",04,"ELA","N",47,47,100.0,47,10,21.3,11,23.4,16,34.0,10,21.3,26,55.3,2482
"Ansonia School District","=""0020011""",04,"Math","Y",119,118,99.2,118,40,33.9,49,41.5,"*","*","*","*",29,24.6,2442
"Ansonia School District","=""0020011""",04,"Math","N",47,47,100.0,47,"*","*",20,42.6,16,34.0,"*","*","*","*",2476
"Ansonia School District","=""0020011""",05,"ELA","Y",133,133,100.0,133,72,54.1,30,22.6,"*","*","*","*",31,23.3,2440
"Ansonia School District","=""0020011""",05,"ELA","N",51,51,100.0,51,"*","*",11,21.6,17,33.3,"*","*","*","*",2511
"Ansonia School District","=""0020011""",05,"Math","Y",133,133,100.0,133,84,63.2,37,27.8,"*","*","*","*",12,9.0,2429
"Ansonia School District","=""0020011""",05,"Math","N",51,51,100.0,51,17,33.3,16,31.4,"*","*","*","*",18,35.3,2489
"Ansonia School District","=""0020011""",06,"ELA","Y",126,122,96.8,122,48,39.3,33,27.0,29,23.8,12,9.8,41,33.6,2489
"Ansonia School District","=""0020011""",06,"ELA","N",50,50,100.0,50,9,18.0,16,32.0,18,36.0,7,14.0,25,50.0,2538
"Ansonia School District","=""0020011""",06,"Math","Y",126,122,96.8,122,49,40.2,44,36.1,20,16.4,9,7.4,29,23.8,2483
"Ansonia School District","=""0020011""",06,"Math","N",50,50,100.0,50,11,22.0,18,36.0,11,22.0,10,20.0,21,42.0,2530
"Ansonia School District","=""0020011""",07,"ELA","Y",125,117,93.6,117,65,55.6,35,29.9,"*","*","*","*",17,14.5,2468
"Ansonia School District","=""0020011""",07,"ELA","N",46,46,100.0,46,15,32.6,18,39.1,"*","*","*","*",13,28.3,2505
"Ansonia School District","=""0020011""",07,"Math","Y",125,117,93.6,117,65,55.6,37,31.6,"*","*","*","*",15,12.8,2472
"Ansonia School District","=""0020011""",07,"Math","N",46,46,100.0,46,13,28.3,21,45.7,"*","*","*","*",12,26.1,2510
"Ansonia School District","=""0020011""",08,"ELA","Y",145,143,98.6,143,61,42.7,41,28.7,35,24.5,6,4.2,41,28.7,2508
"Ansonia School District","=""0020011""",08,"ELA","N",40,40,100.0,40,7,17.5,11,27.5,15,37.5,7,17.5,22,55.0,2575
"Ansonia School District","=""0020011""",08,"Math","Y",145,143,98.6,143,71,49.7,50,35.0,"*","*","*","*",22,15.4,2498
"Ansonia School District","=""0020011""",08,"Math","N",40,40,100.0,39,14,35.9,13,33.3,"*","*","*","*",12,30.8,2548
