"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades, English Learner Status (EL)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","N",144,144,100.0,144,57,39.6,37,25.7,34,23.6,16,11.1,50,34.7,2467
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","N",144,143,99.3,142,70,49.3,49,34.5,14,9.9,9,6.3,23,16.2,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","N",135,134,99.3,134,"*","*","*","*","*","*","*","*","*","*",2514
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","N",135,133,98.5,133,"*","*","*","*","*","*","*","*","*","*",2474
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"ELA","N",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2465
"Amistad Academy District","=""2790013""",03,"ELA","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Math","N",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2457
"Amistad Academy District","=""2790013""",03,"Math","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"ELA","N",82,82,100.0,82,"*","*","*","*","*","*","*","*","*","*",2517
"Amistad Academy District","=""2790013""",06,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"Math","N",82,82,100.0,82,"*","*","*","*","*","*","*","*","*","*",2536
"Amistad Academy District","=""2790013""",06,"Math","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"ELA","N",83,83,100.0,83,"*","*","*","*","*","*","*","*","*","*",2549
"Amistad Academy District","=""2790013""",07,"ELA","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"Math","N",83,83,100.0,83,"*","*","*","*","*","*","*","*","*","*",2546
"Amistad Academy District","=""2790013""",07,"Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"ELA","N",76,75,98.7,75,"*","*","*","*","*","*","*","*","*","*",2576
"Amistad Academy District","=""2790013""",08,"ELA","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Math","N",76,75,98.7,75,"*","*","*","*","*","*","*","*","*","*",2572
"Amistad Academy District","=""2790013""",08,"Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"ELA","N",29,28,96.6,28,"*","*","*","*",12,42.9,7,25.0,19,67.9,2452
"Andover School District","=""0010011""",03,"Math","N",29,28,96.6,28,"*","*","*","*",13,46.4,7,25.0,20,71.4,2464
"Andover School District","=""0010011""",04,"ELA","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"Math","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"ELA","N",44,42,95.5,42,"*","*","*","*",11,26.2,25,59.5,36,85.7,2580
"Andover School District","=""0010011""",05,"Math","N",44,42,95.5,42,"*","*","*","*",14,33.3,20,47.6,34,81.0,2573
"Andover School District","=""0010011""",06,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",03,"ELA","N",166,164,98.8,164,"*","*","*","*","*","*","*","*","*","*",2407
"Ansonia School District","=""0020011""",03,"ELA","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",03,"Math","N",166,163,98.2,163,"*","*","*","*","*","*","*","*","*","*",2410
"Ansonia School District","=""0020011""",03,"Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",04,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",06,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",06,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",06,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",06,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",07,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",07,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",07,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",07,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",08,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",08,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",08,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",08,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",03,"ELA","N",89,87,97.8,87,36,41.4,24,27.6,12,13.8,15,17.2,27,31.0,2392
"Area Cooperative Educational Services","=""2440014""",03,"Math","N",89,85,95.5,85,44,51.8,21,24.7,"*","*","*","*",20,23.5,2373
"Area Cooperative Educational Services","=""2440014""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",04,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",05,"ELA","N",97,96,99.0,96,49,51.0,17,17.7,24,25.0,6,6.3,30,31.3,2444
"Area Cooperative Educational Services","=""2440014""",05,"Math","N",97,95,97.9,95,71,74.7,21,22.1,"*","*","*","*","*","*",2411
"Area Cooperative Educational Services","=""2440014""",06,"ELA","N",333,333,100.0,333,"*","*","*","*","*","*","*","*","*","*",2501
"Area Cooperative Educational Services","=""2440014""",06,"ELA","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",06,"Math","N",333,333,100.0,333,"*","*","*","*","*","*","*","*","*","*",2474
"Area Cooperative Educational Services","=""2440014""",06,"Math","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",07,"ELA","N",312,308,98.7,308,"*","*","*","*","*","*","*","*","*","*",2529
"Area Cooperative Educational Services","=""2440014""",07,"ELA","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",07,"Math","N",312,304,97.4,304,"*","*","*","*","*","*","*","*","*","*",2514
"Area Cooperative Educational Services","=""2440014""",07,"Math","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",08,"ELA","N",303,300,99.0,299,"*","*","*","*","*","*","*","*","*","*",2545
"Area Cooperative Educational Services","=""2440014""",08,"ELA","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",08,"Math","N",303,301,99.3,301,"*","*","*","*","*","*","*","*","*","*",2502
"Area Cooperative Educational Services","=""2440014""",08,"Math","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,"ELA","N",30,30,100.0,30,"*","*",10,33.3,"*","*",10,33.3,"*","*",2449
"Ashford School District","=""0030011""",03,"Math","N",30,30,100.0,30,"*","*","*","*",12,40.0,8,26.7,20,66.7,2464
"Ashford School District","=""0030011""",04,"ELA","N",42,42,100.0,42,6,14.3,6,14.3,14,33.3,16,38.1,30,71.4,2498
"Ashford School District","=""0030011""",04,"Math","N",42,42,100.0,42,6,14.3,8,19.0,18,42.9,10,23.8,28,66.7,2503
"Ashford School District","=""0030011""",05,"ELA","N",38,37,97.4,37,"*","*","*","*",13,35.1,16,43.2,29,78.4,2563
"Ashford School District","=""0030011""",05,"Math","N",38,37,97.4,37,11,29.7,11,29.7,9,24.3,6,16.2,15,40.5,2503
"Ashford School District","=""0030011""",06,"ELA","N",36,36,100.0,36,10,27.8,7,19.4,13,36.1,6,16.7,19,52.8,2516
"Ashford School District","=""0030011""",06,"Math","N",36,36,100.0,36,17,47.2,10,27.8,"*","*","*","*",9,25.0,2479
"Ashford School District","=""0030011""",07,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"ELA","N",36,36,100.0,36,6,16.7,9,25.0,15,41.7,6,16.7,21,58.3,2584
"Ashford School District","=""0030011""",08,"Math","N",36,36,100.0,36,6,16.7,11,30.6,13,36.1,6,16.7,19,52.8,2578
"Avon School District","=""0040011""",03,"ELA","N",225,225,100.0,225,"*","*","*","*","*","*","*","*","*","*",2499
"Avon School District","=""0040011""",03,"ELA","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",03,"Math","N",225,225,100.0,225,"*","*","*","*","*","*","*","*","*","*",2493
"Avon School District","=""0040011""",03,"Math","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",04,"ELA","N",210,209,99.5,209,"*","*","*","*","*","*","*","*","*","*",2547
"Avon School District","=""0040011""",04,"ELA","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",04,"Math","N",211,209,99.1,209,"*","*","*","*","*","*","*","*","*","*",2539
"Avon School District","=""0040011""",04,"Math","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"ELA","N",265,265,100.0,265,"*","*","*","*","*","*","*","*","*","*",2571
"Avon School District","=""0040011""",05,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"Math","N",265,265,100.0,265,"*","*","*","*","*","*","*","*","*","*",2548
