"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""",544,540,99.3,540,169,31.3,185,34.3,117,21.7,69,12.8,186,34.4
"Andover School District","=""0010011""",167,165,98.8,165,9,5.5,41,24.8,48,29.1,67,40.6,115,69.7
"Ansonia School District","=""0020011""",1226,1207,98.5,1207,533,44.2,439,36.4,166,13.8,69,5.7,235,19.5
"Area Cooperative Educational Services","=""2440014""",1298,1275,98.2,1272,657,51.7,372,29.2,171,13.4,72,5.7,243,19.1
"Ashford School District","=""0030011""",253,249,98.4,248,69,27.8,73,29.4,68,27.4,38,15.3,106,42.7
"Avon School District","=""0040011""",1841,1823,99.0,1823,149,8.2,354,19.4,563,30.9,757,41.5,1320,72.4
"Barkhamsted School District","=""0050011""",205,197,96.1,197,46,23.4,69,35.0,57,28.9,25,12.7,82,41.6
"Berlin School District","=""0070011""",1606,1594,99.3,1575,311,19.7,516,32.8,452,28.7,296,18.8,748,47.5
"Bethany School District","=""0080011""",240,234,97.5,234,31,13.2,64,27.4,76,32.5,63,26.9,139,59.4
"Bethel School District","=""0090011""",1526,1512,99.1,1511,361,23.9,525,34.7,395,26.1,230,15.2,625,41.4
"Bloomfield School District","=""0110011""",906,881,97.2,881,387,43.9,311,35.3,151,17.1,32,3.6,183,20.8
"Bolton School District","=""0120011""",449,444,98.9,444,80,18.0,124,27.9,119,26.8,121,27.3,240,54.1
"Bozrah School District","=""0130011""",129,129,100.0,129,46,35.7,33,25.6,37,28.7,13,10.1,50,38.8
"Branford School District","=""0140011""",1612,1569,97.3,1567,460,29.4,400,25.5,400,25.5,307,19.6,707,45.1
"Bridgeport Achievement First District","=""2850013""",564,562,99.6,562,255,45.4,152,27.0,108,19.2,47,8.4,155,27.6
"Bridgeport School District","=""0150011""",10462,10109,96.6,10102,6860,67.9,2345,23.2,723,7.2,174,1.7,897,8.9
"Bristol School District","=""0170011""",4210,4161,98.8,4160,1483,35.6,1320,31.7,933,22.4,424,10.2,1357,32.6
"Brookfield School District","=""0180011""",1510,1456,96.4,1454,231,15.9,399,27.4,458,31.5,366,25.2,824,56.7
