"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"F",33,33,100.0,33,"*","*",9,27.3,15,45.5,"*","*","*","*",2426
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"M",46,45,97.8,45,"*","*",13,28.9,17,37.8,"*","*","*","*",2444
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"F",45,45,100.0,45,"*","*",15,33.3,18,40.0,"*","*","*","*",2473
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"M",35,35,100.0,35,"*","*",17,48.6,11,31.4,"*","*","*","*",2479
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"F",68,68,100.0,68,38,55.9,20,29.4,"*","*","*","*","*","*",2445
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"M",78,78,100.0,78,47,60.3,"*","*","*","*",0,0.0,"*","*",2428
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"F",41,41,100.0,41,22,53.7,12,29.3,"*","*","*","*","*","*",2463
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"M",38,38,100.0,38,25,65.8,"*","*","*","*",0,0.0,"*","*",2415
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"F",32,31,96.9,31,13,41.9,11,35.5,"*","*","*","*",7,22.6,2501
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"M",45,43,95.6,43,22,51.2,11,25.6,"*","*","*","*",10,23.3,2490
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"F",30,30,100.0,30,21,70.0,"*","*","*","*",0,0.0,"*","*",2454
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"M",29,29,100.0,28,21,75.0,"*","*","*","*","*","*","*","*",2439
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"F",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*",2588
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"F",40,39,97.5,39,8,20.5,11,28.2,14,35.9,6,15.4,20,51.3,2435
"Amistad Academy District","=""2790013""",03,"M",49,49,100.0,49,13,26.5,11,22.4,16,32.7,9,18.4,25,51.0,2435
"Amistad Academy District","=""2790013""",04,"F",40,40,100.0,40,"*","*",17,42.5,"*","*",9,22.5,"*","*",2484
"Amistad Academy District","=""2790013""",04,"M",36,36,100.0,36,"*","*",13,36.1,10,27.8,"*","*","*","*",2486
"Amistad Academy District","=""2790013""",05,"F",37,36,97.3,36,"*","*",16,44.4,"*","*",0,0.0,"*","*",2476
"Amistad Academy District","=""2790013""",05,"M",53,52,98.1,52,28,53.8,21,40.4,"*","*","*","*","*","*",2438
"Amistad Academy District","=""2790013""",06,"F",51,51,100.0,51,15,29.4,17,33.3,"*","*","*","*",19,37.3,2515
"Amistad Academy District","=""2790013""",06,"M",48,48,100.0,48,16,33.3,15,31.3,"*","*","*","*",17,35.4,2499
"Amistad Academy District","=""2790013""",07,"F",42,42,100.0,42,16,38.1,18,42.9,"*","*","*","*",8,19.0,2503
"Amistad Academy District","=""2790013""",07,"M",36,36,100.0,36,14,38.9,10,27.8,"*","*","*","*",12,33.3,2509
"Amistad Academy District","=""2790013""",08,"F",41,41,100.0,41,15,36.6,"*","*","*","*",12,29.3,"*","*",2557
"Amistad Academy District","=""2790013""",08,"M",38,38,100.0,38,"*","*",13,34.2,"*","*",10,26.3,"*","*",2554
"Amistad Academy District","=""2790013""",11,"F",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
