"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","F",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","F",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","ELA","F",348,345,99.1,345,88,25.5,91,26.4,105,30.4,61,17.7,166,48.1
"Amistad Academy District","=""2790013""","ELA","N",136,136,100.0,136,29,21.3,38,27.9,42,30.9,27,19.9,69,50.7
"Amistad Academy District","=""2790013""","ELA","R",60,60,100.0,60,10,16.7,20,33.3,17,28.3,13,21.7,30,50.0
"Amistad Academy District","=""2790013""","Math","F",348,344,98.9,344,108,31.4,114,33.1,83,24.1,39,11.3,122,35.5
"Amistad Academy District","=""2790013""","Math","N",136,136,100.0,136,48,35.3,49,36.0,19,14.0,20,14.7,39,28.7
"Amistad Academy District","=""2790013""","Math","R",60,60,100.0,60,13,21.7,22,36.7,15,25.0,10,16.7,25,41.7
"Andover School District","=""0010011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","ELA","N",144,140,97.2,140,"*","*","*","*",36,25.7,78,55.7,114,81.4
"Andover School District","=""0010011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","N",144,142,98.6,142,6,4.2,33,23.2,40,28.2,63,44.4,103,72.5
"Andover School District","=""0010011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","F",679,669,98.5,669,260,38.9,226,33.8,137,20.5,46,6.9,183,27.4
"Ansonia School District","=""0020011""","ELA","N",408,398,97.5,398,103,25.9,91,22.9,126,31.7,78,19.6,204,51.3
"Ansonia School District","=""0020011""","ELA","R",138,138,100.0,138,34,24.6,44,31.9,42,30.4,18,13.0,60,43.5
"Ansonia School District","=""0020011""","Math","F",679,664,97.8,664,337,50.8,235,35.4,68,10.2,24,3.6,92,13.9
"Ansonia School District","=""0020011""","Math","N",409,405,99.0,405,146,36.0,144,35.6,77,19.0,38,9.4,115,28.4
"Ansonia School District","=""0020011""","Math","R",138,138,100.0,138,50,36.2,60,43.5,21,15.2,7,5.1,28,20.3
"Area Cooperative Educational Services","=""2440014""","ELA","F",625,611,97.8,604,271,44.9,188,31.1,"*","*","*","*",145,24.0
"Area Cooperative Educational Services","=""2440014""","ELA","N",556,553,99.5,551,112,20.3,150,27.2,200,36.3,89,16.2,289,52.5
"Area Cooperative Educational Services","=""2440014""","ELA","R",116,113,97.4,113,34,30.1,41,36.3,"*","*","*","*",38,33.6
"Area Cooperative Educational Services","=""2440014""","Math","F",625,610,97.6,607,393,64.7,156,25.7,"*","*","*","*",58,9.6
"Area Cooperative Educational Services","=""2440014""","Math","N",557,551,98.9,551,200,36.3,179,32.5,113,20.5,59,10.7,172,31.2
"Area Cooperative Educational Services","=""2440014""","Math","R",116,114,98.3,114,64,56.1,37,32.5,"*","*","*","*",13,11.4
"Ashford School District","=""0030011""","ELA","F",69,69,100.0,69,21,30.4,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","ELA","N",168,167,99.4,167,"*","*","*","*",68,40.7,53,31.7,121,72.5
"Ashford School District","=""0030011""","ELA","R",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Math","F",69,67,97.1,67,34,50.7,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Math","N",168,166,98.8,166,"*","*",57,34.3,53,31.9,"*","*","*","*"
"Ashford School District","=""0030011""","Math","R",16,16,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","F",78,77,98.7,77,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","N",1754,1726,98.4,1723,82,4.8,191,11.1,599,34.8,851,49.4,1450,84.2
"Avon School District","=""0040011""","ELA","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","F",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","N",1754,1736,99.0,1736,117,6.7,324,18.7,547,31.5,748,43.1,1295,74.6
"Avon School District","=""0040011""","Math","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","ELA","N",186,179,96.2,178,19,10.7,28,15.7,69,38.8,62,34.8,131,73.6
"Barkhamsted School District","=""0050011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","N",186,178,95.7,178,35,19.7,64,36.0,54,30.3,25,14.0,79,44.4
"Barkhamsted School District","=""0050011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","ELA","F",186,183,98.4,174,58,33.3,53,30.5,"*","*","*","*",63,36.2
"Berlin School District","=""0070011""","ELA","N",1380,1371,99.3,1345,153,11.4,307,22.8,549,40.8,336,25.0,885,65.8
"Berlin School District","=""0070011""","ELA","R",41,41,100.0,40,16,40.0,10,25.0,"*","*","*","*",14,35.0
"Berlin School District","=""0070011""","Math","F",186,182,97.8,179,82,45.8,63,35.2,"*","*","*","*",34,19.0
"Berlin School District","=""0070011""","Math","N",1379,1371,99.4,1355,211,15.6,441,32.5,415,30.6,288,21.3,703,51.9
"Berlin School District","=""0070011""","Math","R",41,41,100.0,41,18,43.9,12,29.3,"*","*","*","*",11,26.8
"Bethany School District","=""0080011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","ELA","N",223,217,97.3,217,24,11.1,41,18.9,67,30.9,85,39.2,152,70.0
"Bethany School District","=""0080011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","N",223,217,97.3,217,25,11.5,59,27.2,70,32.3,63,29.0,133,61.3
"Bethany School District","=""0080011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","ELA","F",222,215,96.8,215,43,20.0,77,35.8,65,30.2,30,14.0,95,44.2
"Bethel School District","=""0090011""","ELA","N",1242,1232,99.2,1231,107,8.7,222,18.0,486,39.5,416,33.8,902,73.3
"Bethel School District","=""0090011""","ELA","R",62,60,96.8,60,13,21.7,20,33.3,15,25.0,12,20.0,27,45.0
"Bethel School District","=""0090011""","Math","F",222,217,97.7,217,99,45.6,71,32.7,"*","*","*","*",47,21.7
"Bethel School District","=""0090011""","Math","N",1242,1234,99.4,1233,240,19.5,434,35.2,342,27.7,217,17.6,559,45.3
"Bethel School District","=""0090011""","Math","R",62,61,98.4,61,22,36.1,20,32.8,"*","*","*","*",19,31.1
"Bloomfield School District","=""0110011""","ELA","F",378,372,98.4,372,104,28.0,125,33.6,111,29.8,32,8.6,143,38.4
"Bloomfield School District","=""0110011""","ELA","N",439,417,95.0,417,67,16.1,114,27.3,161,38.6,75,18.0,236,56.6
"Bloomfield School District","=""0110011""","ELA","R",90,89,98.9,89,19,21.3,29,32.6,31,34.8,10,11.2,41,46.1
"Bloomfield School District","=""0110011""","Math","F",378,372,98.4,372,193,51.9,124,33.3,"*","*","*","*",55,14.8
"Bloomfield School District","=""0110011""","Math","N",438,421,96.1,421,159,37.8,151,35.9,88,20.9,23,5.5,111,26.4
"Bloomfield School District","=""0110011""","Math","R",90,88,97.8,88,35,39.8,36,40.9,"*","*","*","*",17,19.3
"Bolton School District","=""0120011""","ELA","F",61,61,100.0,60,"*","*","*","*","*","*","*","*","*","*"
