"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, Free/Reduced Price Mea"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","Y",408,404,99.0,404,121,30.0,136,33.7,98,24.3,49,12.1,147,36.4
"Amistad Academy District","=""2790013""","N",136,136,100.0,136,48,35.3,49,36.0,19,14.0,20,14.7,39,28.7
"Andover School District","=""0010011""","Y",23,23,100.0,23,"*","*",8,34.8,8,34.8,"*","*","*","*"
"Andover School District","=""0010011""","N",144,142,98.6,142,"*","*",33,23.2,40,28.2,"*","*","*","*"
"Ansonia School District","=""0020011""","Y",817,802,98.2,802,387,48.3,295,36.8,89,11.1,31,3.9,120,15.0
"Ansonia School District","=""0020011""","N",409,405,99.0,405,146,36.0,144,35.6,77,19.0,38,9.4,115,28.4
"Area Cooperative Educational Services","=""2440014""","Y",741,724,97.7,721,457,63.4,193,26.8,58,8.0,13,1.8,71,9.8
"Area Cooperative Educational Services","=""2440014""","N",557,551,98.9,551,200,36.3,179,32.5,113,20.5,59,10.7,172,31.2
"Ashford School District","=""0030011""","Y",85,83,97.6,82,40,48.8,16,19.5,15,18.3,11,13.4,26,31.7
"Ashford School District","=""0030011""","N",168,166,98.8,166,29,17.5,57,34.3,53,31.9,27,16.3,80,48.2
"Avon School District","=""0040011""","Y",87,87,100.0,87,32,36.8,30,34.5,16,18.4,9,10.3,25,28.7
"Avon School District","=""0040011""","N",1754,1736,99.0,1736,117,6.7,324,18.7,547,31.5,748,43.1,1295,74.6
"Barkhamsted School District","=""0050011""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",186,178,95.7,178,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",227,223,98.2,220,100,45.5,75,34.1,37,16.8,8,3.6,45,20.5
"Berlin School District","=""0070011""","N",1379,1371,99.4,1355,211,15.6,441,32.5,415,30.6,288,21.3,703,51.9
"Bethany School District","=""0080011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",223,217,97.3,217,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y",284,278,97.9,278,121,43.5,91,32.7,53,19.1,13,4.7,66,23.7
"Bethel School District","=""0090011""","N",1242,1234,99.4,1233,240,19.5,434,35.2,342,27.7,217,17.6,559,45.3
"Bloomfield School District","=""0110011""","Y",468,460,98.3,460,228,49.6,160,34.8,63,13.7,9,2.0,72,15.7
"Bloomfield School District","=""0110011""","N",438,421,96.1,421,159,37.8,151,35.9,88,20.9,23,5.5,111,26.4
"Bolton School District","=""0120011""","Y",71,71,100.0,71,27,38.0,21,29.6,"*","*","*","*",23,32.4
"Bolton School District","=""0120011""","N",378,373,98.7,373,"*","*",103,27.6,101,27.1,"*","*","*","*"
"Bozrah School District","=""0130011""","Y",24,24,100.0,24,12,50.0,"*","*",6,25.0,"*","*","*","*"
"Bozrah School District","=""0130011""","N",105,105,100.0,105,34,32.4,"*","*",31,29.5,"*","*","*","*"
"Branford School District","=""0140011""","Y",412,399,96.8,397,159,40.1,111,28.0,88,22.2,39,9.8,127,32.0
"Branford School District","=""0140011""","N",1200,1170,97.5,1170,301,25.7,289,24.7,312,26.7,268,22.9,580,49.6
"Bridgeport Achievement First District","=""2850013""","Y",467,465,99.6,465,217,46.7,130,28.0,84,18.1,34,7.3,118,25.4
