"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, Special Education Stat"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",503,499,99.2,498,199,40.0,"*","*","*","*",33,6.6,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",48,48,100.0,48,43,89.6,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","N",512,510,99.6,510,144,28.2,"*","*","*","*",69,13.5,"*","*"
"Amistad Academy District","=""2790013""","Y",32,30,93.8,30,25,83.3,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","N",158,156,98.7,156,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",1053,1037,98.5,1037,396,38.2,410,39.5,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",173,170,98.3,170,137,80.6,29,17.1,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",1003,1000,99.7,1000,409,40.9,355,35.5,"*","*","*","*",236,23.6
"Area Cooperative Educational Services","=""2440014""","Y",295,275,93.2,272,248,91.2,17,6.3,"*","*","*","*",7,2.6
"Ashford School District","=""0030011""","N",219,218,99.5,217,46,21.2,67,30.9,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Y",34,31,91.2,31,23,74.2,6,19.4,"*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1686,1671,99.1,1671,80,4.8,297,17.8,547,32.7,747,44.7,1294,77.4
"Avon School District","=""0040011""","Y",155,152,98.1,152,69,45.4,57,37.5,16,10.5,10,6.6,26,17.1
"Barkhamsted School District","=""0050011""","N",176,170,96.6,170,25,14.7,"*","*","*","*",25,14.7,"*","*"
"Barkhamsted School District","=""0050011""","Y",29,27,93.1,27,21,77.8,"*","*","*","*",0,0.0,"*","*"
