"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Amistad Academy District","=""2790013""",538,534,99.3,534,109,20.4,134,25.1,199,37.3,92,17.2,291,54.5
"Andover School District","=""0010011""",159,156,98.1,156,12,7.7,27,17.3,45,28.8,72,46.2,117,75.0
"Ansonia School District","=""0020011""",1054,1037,98.4,1037,389,37.5,294,28.4,249,24.0,105,10.1,354,34.1
"Area Cooperative Educational Services","=""2440014""",1287,1275,99.1,1274,480,37.7,319,25.0,331,26.0,144,11.3,475,37.3
"Ashford School District","=""0030011""",233,232,99.6,232,35,15.1,52,22.4,82,35.3,63,27.2,145,62.5
"Avon School District","=""0040011""",1545,1541,99.7,1541,85,5.5,207,13.4,501,32.5,748,48.5,1249,81.1
"Barkhamsted School District","=""0050011""",176,169,96.0,169,19,11.2,39,23.1,57,33.7,54,32.0,111,65.7
"Berlin School District","=""0070011""",1319,1313,99.5,1312,135,10.3,276,21.0,507,38.6,394,30.0,901,68.7
"Bethany School District","=""0080011""",232,224,96.6,224,29,12.9,49,21.9,70,31.3,76,33.9,146,65.2
"Bethel School District","=""0090011""",1329,1320,99.3,1320,149,11.3,225,17.0,488,37.0,458,34.7,946,71.7
"Bloomfield School District","=""0110011""",767,764,99.6,764,197,25.8,195,25.5,260,34.0,112,14.7,372,48.7
"Bolton School District","=""0120011""",356,347,97.5,347,38,11.0,38,11.0,129,37.2,142,40.9,271,78.1
"Bozrah School District","=""0130011""",134,133,99.3,132,31,23.5,40,30.3,40,30.3,21,15.9,61,46.2
"Branford School District","=""0140011""",1355,1341,99.0,1334,183,13.7,303,22.7,448,33.6,400,30.0,848,63.6
"Brass City Charter School District","=""2900013""",39,39,100.0,39,"*","*","*","*",12,30.8,20,51.3,32,82.1
"Bridgeport Achievement First District","=""2850013""",541,540,99.8,540,141,26.1,152,28.1,139,25.7,108,20.0,247,45.7
"Bridgeport School District","=""0150011""",9373,9322,99.5,9313,4994,53.6,2224,23.9,1574,16.9,521,5.6,2095,22.5
"Bristol School District","=""0170011""",3549,3535,99.6,3535,804,22.7,835,23.6,1177,33.3,719,20.3,1896,53.6
"Brookfield School District","=""0180011""",1267,1195,94.3,1195,134,11.2,242,20.3,415,34.7,404,33.8,819,68.5
"Brooklyn School District","=""0190011""",521,516,99.0,516,61,11.8,97,18.8,191,37.0,167,32.4,358,69.4
"Canaan School District","=""0210011""",51,49,96.1,49,8,16.3,9,18.4,18,36.7,14,28.6,32,65.3
"Canterbury School District","=""0220011""",308,303,98.4,303,50,16.5,86,28.4,105,34.7,62,20.5,167,55.1
"Canton School District","=""0230011""",793,785,99.0,785,67,8.5,135,17.2,279,35.5,304,38.7,583,74.3
"Capital Preparatory Harbor School Inc. District","=""2970013""",110,110,100.0,110,42,38.2,34,30.9,"*","*","*","*",34,30.9
"Capitol Region Education Council","=""2410014""",3119,3065,98.3,3064,825,26.9,720,23.5,949,31.0,570,18.6,1519,49.6
"Chaplin School District","=""0240011""",78,77,98.7,77,15,19.5,18,23.4,24,31.2,20,26.0,44,57.1
"Cheshire School District","=""0250011""",2053,2035,99.1,2035,136,6.7,303,14.9,722,35.5,874,42.9,1596,78.4
"Chester School District","=""0260011""",131,130,99.2,130,6,4.6,22,16.9,46,35.4,56,43.1,102,78.5
"Clinton School District","=""0270011""",900,888,98.7,885,98,11.1,177,20.0,313,35.4,297,33.6,610,68.9
"Colchester School District","=""0280011""",1136,1130,99.5,1130,105,9.3,206,18.2,431,38.1,388,34.3,819,72.5
"Colebrook School District","=""0290011""",46,44,95.7,44,"*","*","*","*",11,25.0,20,45.5,31,70.5
"Columbia School District","=""0300011""",287,279,97.2,279,32,11.5,61,21.9,108,38.7,78,28.0,186,66.7
"Cooperative Educational Services","=""2430014""",342,336,98.2,336,105,31.3,78,23.2,93,27.7,60,17.9,153,45.5
"Cornwall School District","=""0310011""",63,61,96.8,61,6,9.8,10,16.4,27,44.3,18,29.5,45,73.8
"Coventry School District","=""0320011""",753,744,98.8,744,78,10.5,129,17.3,289,38.8,248,33.3,537,72.2
"Cromwell School District","=""0330011""",923,920,99.7,920,131,14.2,198,21.5,326,35.4,265,28.8,591,64.2
"Danbury School District","=""0340011""",5078,5036,99.2,5033,1264,25.1,1403,27.9,1554,30.9,812,16.1,2366,47.0
"Darien School District","=""0350011""",2282,2255,98.8,2255,75,3.3,220,9.8,719,31.9,1241,55.0,1960,86.9
"Deep River School District","=""0360011""",200,199,99.5,199,26,13.1,48,24.1,61,30.7,64,32.2,125,62.8
"Derby School District","=""0370011""",680,678,99.7,678,238,35.1,168,24.8,193,28.5,79,11.7,272,40.1
"East Granby School District","=""0400011""",396,395,99.7,395,46,11.6,68,17.2,144,36.5,137,34.7,281,71.1
"East Haddam School District","=""0410011""",499,479,96.0,479,63,13.2,99,20.7,155,32.4,162,33.8,317,66.2
"East Hampton School District","=""0420011""",885,831,93.9,831,152,18.3,205,24.7,286,34.4,188,22.6,474,57.0
"East Hartford School District","=""0430011""",2921,2906,99.5,2895,1225,42.3,748,25.8,663,22.9,259,8.9,922,31.8
