"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","N",535,534,99.8,534,131,24.5,141,26.4,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",57,55,96.5,55,39,70.9,"*","*","*","*",0,0.0,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","N",535,530,99.1,530,178,33.6,181,34.2,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",57,56,98.2,55,44,80.0,8,14.5,"*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","N",501,498,99.4,498,81,16.3,"*","*","*","*",92,18.5,"*","*"
"Amistad Academy District","=""2790013""","ELA","Y",37,36,97.3,36,28,77.8,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Math","N",501,498,99.4,498,"*","*",154,30.9,"*","*",114,22.9,"*","*"
"Amistad Academy District","=""2790013""","Math","Y",37,35,94.6,35,27,77.1,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","ELA","N",148,147,99.3,147,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","ELA","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","N",148,147,99.3,147,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",875,869,99.3,869,262,30.1,266,30.6,"*","*","*","*",341,39.2
"Ansonia School District","=""0020011""","ELA","Y",179,168,93.9,168,127,75.6,28,16.7,"*","*","*","*",13,7.7
"Ansonia School District","=""0020011""","Math","N",875,868,99.2,867,292,33.7,334,38.5,"*","*","*","*",241,27.8
"Ansonia School District","=""0020011""","Math","Y",179,168,93.9,168,126,75.0,33,19.6,"*","*","*","*",9,5.4
"Area Cooperative Educational Services","=""2440014""","ELA","N",1014,1014,100.0,1014,276,27.2,285,28.1,315,31.1,138,13.6,453,44.7
"Area Cooperative Educational Services","=""2440014""","ELA","Y",273,261,95.6,260,204,78.5,34,13.1,16,6.2,6,2.3,22,8.5
"Area Cooperative Educational Services","=""2440014""","Math","N",1014,1014,100.0,1014,410,40.4,342,33.7,"*","*","*","*",262,25.8
"Area Cooperative Educational Services","=""2440014""","Math","Y",273,254,93.0,254,228,89.8,19,7.5,"*","*","*","*",7,2.8
"Ashford School District","=""0030011""","ELA","N",206,206,100.0,206,"*","*",42,20.4,"*","*",63,30.6,"*","*"
"Ashford School District","=""0030011""","ELA","Y",27,26,96.3,26,15,57.7,"*","*","*","*",0,0.0,"*","*"
"Ashford School District","=""0030011""","Math","N",206,206,100.0,206,"*","*",64,31.1,"*","*",40,19.4,"*","*"
"Ashford School District","=""0030011""","Math","Y",27,26,96.3,26,15,57.7,"*","*","*","*",0,0.0,"*","*"
"Avon School District","=""0040011""","ELA","N",1426,1424,99.9,1424,"*","*",156,11.0,476,33.4,"*","*","*","*"
"Avon School District","=""0040011""","ELA","Y",119,117,98.3,117,36,30.8,51,43.6,"*","*","*","*",30,25.6
"Avon School District","=""0040011""","Math","N",1429,1425,99.7,1425,"*","*",228,16.0,414,29.1,"*","*","*","*"
"Avon School District","=""0040011""","Math","Y",119,116,97.5,116,51,44.0,38,32.8,"*","*","*","*",27,23.3
"Barkhamsted School District","=""0050011""","ELA","N",147,141,95.9,141,"*","*",31,22.0,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","ELA","Y",29,28,96.6,28,"*","*",8,28.6,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","N",147,141,95.9,141,25,17.7,56,39.7,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","Y",29,28,96.6,28,18,64.3,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","ELA","N",1170,1167,99.7,1166,66,5.7,225,19.3,487,41.8,388,33.3,875,75.0
"Berlin School District","=""0070011""","ELA","Y",149,146,98.0,146,69,47.3,51,34.9,20,13.7,6,4.1,26,17.8
"Berlin School District","=""0070011""","Math","N",1170,1165,99.6,1163,"*","*",354,30.4,366,31.5,"*","*","*","*"
"Berlin School District","=""0070011""","Math","Y",149,145,97.3,145,98,67.6,31,21.4,"*","*","*","*",16,11.0
"Bethany School District","=""0080011""","ELA","N",196,188,95.9,188,"*","*",36,19.1,63,33.5,"*","*","*","*"
"Bethany School District","=""0080011""","ELA","Y",36,36,100.0,36,15,41.7,13,36.1,"*","*","*","*",8,22.2
"Bethany School District","=""0080011""","Math","N",196,188,95.9,188,"*","*",44,23.4,58,30.9,"*","*","*","*"
"Bethany School District","=""0080011""","Math","Y",36,36,100.0,36,12,33.3,14,38.9,"*","*","*","*",10,27.8
