"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","ELA","Y",408,405,99.3,405,98,24.2,111,27.4,122,30.1,74,18.3,196,48.4
"Amistad Academy District","=""2790013""","ELA","N",136,136,100.0,136,29,21.3,38,27.9,42,30.9,27,19.9,69,50.7
"Amistad Academy District","=""2790013""","Math","Y",408,404,99.0,404,121,30.0,136,33.7,98,24.3,49,12.1,147,36.4
"Amistad Academy District","=""2790013""","Math","N",136,136,100.0,136,48,35.3,49,36.0,19,14.0,20,14.7,39,28.7
"Andover School District","=""0010011""","ELA","Y",23,23,100.0,23,"*","*","*","*",7,30.4,9,39.1,16,69.6
"Andover School District","=""0010011""","ELA","N",144,140,97.2,140,"*","*","*","*",36,25.7,78,55.7,114,81.4
"Andover School District","=""0010011""","Math","Y",23,23,100.0,23,"*","*",8,34.8,8,34.8,"*","*","*","*"
"Andover School District","=""0010011""","Math","N",144,142,98.6,142,"*","*",33,23.2,40,28.2,"*","*","*","*"
"Ansonia School District","=""0020011""","ELA","Y",817,807,98.8,807,294,36.4,270,33.5,179,22.2,64,7.9,243,30.1
"Ansonia School District","=""0020011""","ELA","N",408,398,97.5,398,103,25.9,91,22.9,126,31.7,78,19.6,204,51.3
"Ansonia School District","=""0020011""","Math","Y",817,802,98.2,802,387,48.3,295,36.8,89,11.1,31,3.9,120,15.0
"Ansonia School District","=""0020011""","Math","N",409,405,99.0,405,146,36.0,144,35.6,77,19.0,38,9.4,115,28.4
"Area Cooperative Educational Services","=""2440014""","ELA","Y",741,724,97.7,717,305,42.5,229,31.9,155,21.6,28,3.9,183,25.5
"Area Cooperative Educational Services","=""2440014""","ELA","N",556,553,99.5,551,112,20.3,150,27.2,200,36.3,89,16.2,289,52.5
"Area Cooperative Educational Services","=""2440014""","Math","Y",741,724,97.7,721,457,63.4,193,26.8,58,8.0,13,1.8,71,9.8
"Area Cooperative Educational Services","=""2440014""","Math","N",557,551,98.9,551,200,36.3,179,32.5,113,20.5,59,10.7,172,31.2
"Ashford School District","=""0030011""","ELA","Y",85,85,100.0,85,24,28.2,28,32.9,16,18.8,17,20.0,33,38.8
"Ashford School District","=""0030011""","ELA","N",168,167,99.4,167,10,6.0,36,21.6,68,40.7,53,31.7,121,72.5
"Ashford School District","=""0030011""","Math","Y",85,83,97.6,82,40,48.8,16,19.5,15,18.3,11,13.4,26,31.7
"Ashford School District","=""0030011""","Math","N",168,166,98.8,166,29,17.5,57,34.3,53,31.9,27,16.3,80,48.2
"Avon School District","=""0040011""","ELA","Y",87,86,98.9,86,19,22.1,29,33.7,25,29.1,13,15.1,38,44.2
"Avon School District","=""0040011""","ELA","N",1754,1726,98.4,1723,82,4.8,191,11.1,599,34.8,851,49.4,1450,84.2
"Avon School District","=""0040011""","Math","Y",87,87,100.0,87,32,36.8,30,34.5,16,18.4,9,10.3,25,28.7
"Avon School District","=""0040011""","Math","N",1754,1736,99.0,1736,117,6.7,324,18.7,547,31.5,748,43.1,1295,74.6
"Barkhamsted School District","=""0050011""","ELA","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","ELA","N",186,179,96.2,178,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","N",186,178,95.7,178,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","ELA","Y",227,224,98.7,214,74,34.6,63,29.4,57,26.6,20,9.3,77,36.0
"Berlin School District","=""0070011""","ELA","N",1380,1371,99.3,1345,153,11.4,307,22.8,549,40.8,336,25.0,885,65.8
"Berlin School District","=""0070011""","Math","Y",227,223,98.2,220,100,45.5,75,34.1,37,16.8,8,3.6,45,20.5
"Berlin School District","=""0070011""","Math","N",1379,1371,99.4,1355,211,15.6,441,32.5,415,30.6,288,21.3,703,51.9
"Bethany School District","=""0080011""","ELA","Y",17,17,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","ELA","N",223,217,97.3,217,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","N",223,217,97.3,217,"*","*","*","*","*","*","*","*","*","*"
