"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Free/Reduced Price Meal"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Amistad Academy District","=""2790013""","F",348,345,99.1,345,88,25.5,91,26.4,105,30.4,61,17.7,166,48.1
"Amistad Academy District","=""2790013""","N",136,136,100.0,136,29,21.3,38,27.9,42,30.9,27,19.9,69,50.7
"Amistad Academy District","=""2790013""","R",60,60,100.0,60,10,16.7,20,33.3,17,28.3,13,21.7,30,50.0
"Andover School District","=""0010011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N",144,140,97.2,140,"*","*","*","*",36,25.7,78,55.7,114,81.4
"Andover School District","=""0010011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",679,669,98.5,669,260,38.9,226,33.8,137,20.5,46,6.9,183,27.4
"Ansonia School District","=""0020011""","N",408,398,97.5,398,103,25.9,91,22.9,126,31.7,78,19.6,204,51.3
"Ansonia School District","=""0020011""","R",138,138,100.0,138,34,24.6,44,31.9,42,30.4,18,13.0,60,43.5
"Area Cooperative Educational Services","=""2440014""","F",625,611,97.8,604,271,44.9,188,31.1,"*","*","*","*",145,24.0
"Area Cooperative Educational Services","=""2440014""","N",556,553,99.5,551,112,20.3,150,27.2,200,36.3,89,16.2,289,52.5
"Area Cooperative Educational Services","=""2440014""","R",116,113,97.4,113,34,30.1,41,36.3,"*","*","*","*",38,33.6
"Ashford School District","=""0030011""","F",69,69,100.0,69,21,30.4,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",168,167,99.4,167,"*","*","*","*",68,40.7,53,31.7,121,72.5
"Ashford School District","=""0030011""","R",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F",78,77,98.7,77,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1754,1726,98.4,1723,82,4.8,191,11.1,599,34.8,851,49.4,1450,84.2
"Avon School District","=""0040011""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",186,179,96.2,178,19,10.7,28,15.7,69,38.8,62,34.8,131,73.6
"Barkhamsted School District","=""0050011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F",186,183,98.4,174,58,33.3,53,30.5,"*","*","*","*",63,36.2
"Berlin School District","=""0070011""","N",1380,1371,99.3,1345,153,11.4,307,22.8,549,40.8,336,25.0,885,65.8
"Berlin School District","=""0070011""","R",41,41,100.0,40,16,40.0,10,25.0,"*","*","*","*",14,35.0
"Bethany School District","=""0080011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",223,217,97.3,217,24,11.1,41,18.9,67,30.9,85,39.2,152,70.0
"Bethany School District","=""0080011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","F",222,215,96.8,215,43,20.0,77,35.8,65,30.2,30,14.0,95,44.2
"Bethel School District","=""0090011""","N",1242,1232,99.2,1231,107,8.7,222,18.0,486,39.5,416,33.8,902,73.3
"Bethel School District","=""0090011""","R",62,60,96.8,60,13,21.7,20,33.3,15,25.0,12,20.0,27,45.0
"Bloomfield School District","=""0110011""","F",378,372,98.4,372,104,28.0,125,33.6,111,29.8,32,8.6,143,38.4
"Bloomfield School District","=""0110011""","N",439,417,95.0,417,67,16.1,114,27.3,161,38.6,75,18.0,236,56.6
"Bloomfield School District","=""0110011""","R",90,89,98.9,89,19,21.3,29,32.6,31,34.8,10,11.2,41,46.1
"Bolton School District","=""0120011""","F",61,61,100.0,60,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",378,372,98.4,372,28,7.5,53,14.2,142,38.2,149,40.1,291,78.2
"Bolton School District","=""0120011""","R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","F","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bozrah School District","=""0130011""","N",105,105,100.0,105,"*","*",28,26.7,35,33.3,"*","*","*","*"
"Bozrah School District","=""0130011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",311,303,97.4,303,81,26.7,102,33.7,87,28.7,33,10.9,120,39.6
"Branford School District","=""0140011""","N",1200,1169,97.4,1169,169,14.5,236,20.2,439,37.6,325,27.8,764,65.4
"Branford School District","=""0140011""","R",101,99,98.0,99,28,28.3,26,26.3,30,30.3,15,15.2,45,45.5
"Bridgeport Achievement First District","=""2850013""","F",386,386,100.0,386,145,37.6,119,30.8,79,20.5,43,11.1,122,31.6
"Bridgeport Achievement First District","=""2850013""","N",97,97,100.0,97,29,29.9,27,27.8,23,23.7,18,18.6,41,42.3
"Bridgeport Achievement First District","=""2850013""","R",81,81,100.0,81,22,27.2,18,22.2,29,35.8,12,14.8,41,50.6
"Bridgeport School District","=""0150011""","F",10461,9942,95.0,9905,4863,49.1,2688,27.1,1852,18.7,502,5.1,2354,23.8
"Bristol School District","=""0170011""","F",1653,1611,97.5,1609,551,34.2,474,29.5,459,28.5,125,7.8,584,36.3
