"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","F",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","F",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","ELA","F",364,361,99.2,361,93,25.8,96,26.6,125,34.6,47,13.0,172,47.6
"Amistad Academy District","=""2790013""","ELA","N",85,84,98.8,84,9,10.7,15,17.9,37,44.0,23,27.4,60,71.4
"Amistad Academy District","=""2790013""","ELA","R",89,89,100.0,89,7,7.9,23,25.8,37,41.6,22,24.7,59,66.3
"Amistad Academy District","=""2790013""","Math","F",364,360,98.9,360,99,27.5,105,29.2,99,27.5,57,15.8,156,43.3
"Amistad Academy District","=""2790013""","Math","N",85,84,98.8,84,11,13.1,28,33.3,14,16.7,31,36.9,45,53.6
"Amistad Academy District","=""2790013""","Math","R",89,89,100.0,89,9,10.1,28,31.5,26,29.2,26,29.2,52,58.4
"Andover School District","=""0010011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","ELA","N",134,133,99.3,133,8,6.0,21,15.8,38,28.6,66,49.6,104,78.2
"Andover School District","=""0010011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
