"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA and Math, All Grades, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA","F",18930,18595,98.2,18576,3481,18.7,4263,22.9,4630,24.9,6202,33.4,10832,58.3,2447
"State of Connecticut",03,"ELA","M",19828,19446,98.1,19409,5281,27.2,4604,23.7,4458,23.0,5066,26.1,9524,49.1,2426
"State of Connecticut",03,"Math","F",18926,18713,98.9,18701,5073,27.1,4862,26.0,5656,30.2,3110,16.6,8766,46.9,2426
"State of Connecticut",03,"Math","M",19828,19563,98.7,19548,5397,27.6,4662,23.8,5653,28.9,3836,19.6,9489,48.5,2428
"State of Connecticut",04,"ELA","F",19406,19090,98.4,19064,4083,21.4,3518,18.5,4776,25.1,6687,35.1,11463,60.1,2491
"State of Connecticut",04,"ELA","M",19919,19556,98.2,19533,5875,30.1,3923,20.1,4584,23.5,5151,26.4,9735,49.8,2467
"State of Connecticut",04,"Math","F",19400,19185,98.9,19179,4399,22.9,6558,34.2,5345,27.9,2877,15.0,8222,42.9,2469
"State of Connecticut",04,"Math","M",19920,19660,98.7,19649,4615,23.5,6188,31.5,5254,26.7,3592,18.3,8846,45.0,2471
"State of Connecticut",05,"ELA","F",19210,18897,98.4,18883,3431,18.2,3328,17.6,6363,33.7,5761,30.5,12124,64.2,2529
"State of Connecticut",05,"ELA","M",20344,19961,98.1,19932,5340,26.8,4009,20.1,6322,31.7,4261,21.4,10583,53.1,2503
"State of Connecticut",05,"Math","F",19210,18994,98.9,18979,6374,33.6,5981,31.5,3607,19.0,3017,15.9,6624,34.9,2492
"State of Connecticut",05,"Math","M",20341,20079,98.7,20063,6663,33.2,5701,28.4,3863,19.3,3836,19.1,7699,38.4,2495
"State of Connecticut",06,"ELA","F",19724,19337,98.0,19307,2769,14.3,4582,23.7,7201,37.3,4755,24.6,11956,61.9,2552
"State of Connecticut",06,"ELA","M",20817,20439,98.2,20402,4938,24.2,5377,26.4,6700,32.8,3387,16.6,10087,49.4,2524
"State of Connecticut",06,"Math","F",19722,19387,98.3,19371,5856,30.2,6266,32.3,4249,21.9,3000,15.5,7249,37.4,2516
"State of Connecticut",06,"Math","M",20817,20517,98.6,20499,6737,32.9,6196,30.2,4114,20.1,3452,16.8,7566,36.9,2511
"State of Connecticut",07,"ELA","F",19428,18870,97.1,18837,3023,16.0,3748,19.9,7923,42.1,4143,22.0,12066,64.1,2576
"State of Connecticut",07,"ELA","M",20522,19989,97.4,19943,5175,25.9,4700,23.6,7124,35.7,2944,14.8,10068,50.5,2545
"State of Connecticut",07,"Math","F",19427,18975,97.7,18952,5783,30.5,5920,31.2,4314,22.8,2935,15.5,7249,38.2,2532
"State of Connecticut",07,"Math","M",20522,20086,97.9,20048,6626,33.1,5634,28.1,4241,21.2,3547,17.7,7788,38.8,2528
"State of Connecticut",08,"ELA","F",19912,19275,96.8,19223,2780,14.5,4610,24.0,7761,40.4,4072,21.2,11833,61.6,2589
"State of Connecticut",08,"ELA","M",21073,20437,97.0,20386,5118,25.1,5731,28.1,6900,33.8,2637,12.9,9537,46.8,2556
"State of Connecticut",08,"Math","F",19911,19310,97.0,19281,6687,34.7,5335,27.7,3891,20.2,3368,17.5,7259,37.6,2546
"State of Connecticut",08,"Math","M",21071,20510,97.3,20481,8205,40.1,4978,24.3,3562,17.4,3736,18.2,7298,35.6,2536
"State of Connecticut",11,"ELA","F",19672,15965,81.2,15814,2598,16.4,3710,23.5,5588,35.3,3918,24.8,9506,60.1,2602
"State of Connecticut",11,"ELA","M",20184,16709,82.8,16554,4569,27.6,4224,25.5,4853,29.3,2908,17.6,7761,46.9,2567
"State of Connecticut",11,"Math","F",19669,15788,80.3,15716,6805,43.3,3960,25.2,3251,20.7,1700,10.8,4951,31.5,2565
"State of Connecticut",11,"Math","M",20196,16540,81.9,16461,8118,49.3,3490,21.2,2818,17.1,2035,12.4,4853,29.5,2550

