"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, ELA, All Grades, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",22866,22598,98.8,22587,2470,10.9,4325,19.1,5886,26.1,9906,43.9,15792,69.9,2471
"State of Connecticut",03,"Y",16441,16357,99.5,16351,6414,39.2,4725,28.9,3186,19.5,2026,12.4,5212,31.9,2393
"State of Connecticut",04,"N",22847,22553,98.7,22543,2974,13.2,3391,15.0,5843,25.9,10335,45.8,16178,71.8,2516
"State of Connecticut",04,"Y",16003,15911,99.4,15905,7266,45.7,3463,21.8,3134,19.7,2042,12.8,5176,32.5,2430
"State of Connecticut",05,"N",23815,23531,98.8,23522,2656,11.3,3564,15.2,7928,33.7,9374,39.9,17302,73.6,2551
"State of Connecticut",05,"Y",15578,15496,99.5,15485,6311,40.8,3576,23.1,3957,25.6,1641,10.6,5598,36.2,2466
"State of Connecticut",06,"N",24394,24029,98.5,24019,2676,11.1,4718,19.6,9068,37.8,7557,31.5,16625,69.2,2569
"State of Connecticut",06,"Y",15188,15052,99.1,15047,5872,39.0,4310,28.6,3792,25.2,1073,7.1,4865,32.3,2484
"State of Connecticut",07,"N",25421,24936,98.1,24928,2923,11.7,4795,19.2,10208,40.9,7002,28.1,17210,69.0,2591
"State of Connecticut",07,"Y",15320,15156,98.9,15147,6106,40.3,4138,27.3,3882,25.6,1021,6.7,4903,32.4,2506
"State of Connecticut",08,"N",25121,24592,97.9,24578,2704,11.0,4971,20.2,10585,43.1,6318,25.7,16903,68.8,2605
"State of Connecticut",08,"Y",15026,14777,98.3,14772,5534,37.5,4321,29.3,4063,27.5,854,5.8,4917,33.3,2521

