"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, English Learner Status"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",573,570,99.5,570,"*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",502,498,99.2,498,"*","*",118,23.7,193,38.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","Y",36,36,100.0,36,12,33.3,16,44.4,"*","*","*","*",8,22.2
"Andover School District","=""0010011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",1034,1017,98.4,1017,372,36.6,"*","*",249,24.5,"*","*","*","*"
"Ansonia School District","=""0020011""","Y",20,20,100.0,20,17,85.0,"*","*",0,0.0,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",1236,1224,99.0,1223,443,36.2,307,25.1,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Y",51,51,100.0,51,37,72.5,"*","*","*","*",0,0.0,"*","*"
"Ashford School District","=""0030011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1505,1501,99.7,1501,69,4.6,192,12.8,"*","*","*","*",1240,82.6
"Avon School District","=""0040011""","Y",40,40,100.0,40,16,40.0,15,37.5,"*","*","*","*",9,22.5
"Barkhamsted School District","=""0050011""","N",176,169,96.0,169,19,11.2,39,23.1,57,33.7,54,32.0,111,65.7
"Berlin School District","=""0070011""","N",1290,1284,99.5,1283,"*","*",265,20.7,"*","*",394,30.7,"*","*"
"Berlin School District","=""0070011""","Y",29,29,100.0,29,16,55.2,"*","*","*","*",0,0.0,"*","*"
"Bethany School District","=""0080011""","N",232,224,96.6,224,29,12.9,49,21.9,70,31.3,76,33.9,146,65.2
"Bethel School District","=""0090011""","N",1279,1270,99.3,1270,123,9.7,207,16.3,"*","*","*","*",940,74.0
"Bethel School District","=""0090011""","Y",50,50,100.0,50,26,52.0,18,36.0,"*","*","*","*",6,12.0
"Bloomfield School District","=""0110011""","N",752,749,99.6,749,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",1305,1291,98.9,1285,"*","*",289,22.5,436,33.9,"*","*","*","*"
"Branford School District","=""0140011""","Y",50,50,100.0,49,20,40.8,14,28.6,"*","*","*","*",15,30.6
"Brass City Charter School District","=""2900013""","N",39,39,100.0,39,"*","*","*","*",12,30.8,20,51.3,32,82.1
"Bridgeport Achievement First District","=""2850013""","N",487,486,99.8,486,120,24.7,137,28.2,128,26.3,101,20.8,229,47.1
"Bridgeport Achievement First District","=""2850013""","Y",54,54,100.0,54,21,38.9,15,27.8,11,20.4,7,13.0,18,33.3
"Bridgeport School District","=""0150011""","N",8129,8079,99.4,8072,3959,49.0,2070,25.6,1528,18.9,515,6.4,2043,25.3
"Bridgeport School District","=""0150011""","Y",1244,1243,99.9,1241,1035,83.4,154,12.4,46,3.7,6,0.5,52,4.2
"Bristol School District","=""0170011""","N",3395,3381,99.6,3381,"*","*",795,23.5,1156,34.2,"*","*","*","*"
"Bristol School District","=""0170011""","Y",154,154,100.0,154,91,59.1,40,26.0,"*","*","*","*",23,14.9
"Brookfield School District","=""0180011""","N",1234,1162,94.2,1162,121,10.4,230,19.8,"*","*","*","*",811,69.8
