"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,79,79,100.0,79,25,31.6,18,22.8,21,26.6,15,19.0,36,45.6,2419
"Achievement First Hartford Academy Inc. District","=""2880013""",04,80,80,100.0,80,26,32.5,17,21.3,24,30.0,13,16.3,37,46.3,2458
"Achievement First Hartford Academy Inc. District","=""2880013""",05,146,146,100.0,146,61,41.8,30,20.5,46,31.5,9,6.2,55,37.7,2465
"Achievement First Hartford Academy Inc. District","=""2880013""",06,79,79,100.0,79,24,30.4,28,35.4,"*","*","*","*",27,34.2,2492
"Achievement First Hartford Academy Inc. District","=""2880013""",07,77,74,96.1,74,22,29.7,20,27.0,25,33.8,7,9.5,32,43.2,2527
"Achievement First Hartford Academy Inc. District","=""2880013""",08,59,59,100.0,58,"*","*",19,32.8,18,31.0,"*","*","*","*",2525
"Achievement First Hartford Academy Inc. District","=""2880013""",11,31,31,100.0,31,"*","*","*","*",12,38.7,8,25.8,20,64.5,2622
"Amistad Academy District","=""2790013""",03,89,88,98.9,88,20,22.7,27,30.7,14,15.9,27,30.7,41,46.6,2434
"Amistad Academy District","=""2790013""",04,76,76,100.0,76,22,28.9,16,21.1,19,25.0,19,25.0,38,50.0,2471
"Amistad Academy District","=""2790013""",05,90,89,98.9,89,28,31.5,"*","*",29,32.6,"*","*","*","*",2475
"Amistad Academy District","=""2790013""",06,99,99,100.0,99,26,26.3,22,22.2,38,38.4,13,13.1,51,51.5,2522
"Amistad Academy District","=""2790013""",07,78,78,100.0,78,"*","*",27,34.6,28,35.9,"*","*","*","*",2549
"Amistad Academy District","=""2790013""",08,79,79,100.0,79,11,13.9,24,30.4,28,35.4,16,20.3,44,55.7,2584
"Amistad Academy District","=""2790013""",11,33,32,97.0,32,6,18.8,6,18.8,8,25.0,12,37.5,20,62.5,2613
"Andover School District","=""0010011""",03,35,35,100.0,35,"*","*","*","*","*","*",23,65.7,"*","*",2498
"Andover School District","=""0010011""",04,43,42,97.7,42,"*","*",7,16.7,"*","*",24,57.1,"*","*",2543
"Andover School District","=""0010011""",05,48,46,95.8,46,"*","*","*","*",14,30.4,24,52.2,38,82.6,2578
"Andover School District","=""0010011""",06,41,40,97.6,40,"*","*","*","*",14,35.0,16,40.0,30,75.0,2589
"Ansonia School District","=""0020011""",03,175,175,100.0,175,50,28.6,52,29.7,36,20.6,37,21.1,73,41.7,2416
"Ansonia School District","=""0020011""",04,188,186,98.9,186,77,41.4,43,23.1,39,21.0,27,14.5,66,35.5,2442
"Ansonia School District","=""0020011""",05,175,174,99.4,174,60,34.5,51,29.3,48,27.6,15,8.6,63,36.2,2471
"Ansonia School District","=""0020011""",06,173,173,100.0,173,62,35.8,65,37.6,39,22.5,7,4.0,46,26.6,2479
"Ansonia School District","=""0020011""",07,187,183,97.9,183,57,31.1,63,34.4,53,29.0,10,5.5,63,34.4,2519
"Ansonia School District","=""0020011""",08,211,207,98.1,207,80,38.6,58,28.0,49,23.7,20,9.7,69,33.3,2526
"Ansonia School District","=""0020011""",11,116,107,92.2,107,11,10.3,29,27.1,41,38.3,26,24.3,67,62.6,2611
"Area Cooperative Educational Services","=""2440014""",03,99,98,99.0,97,46,47.4,27,27.8,13,13.4,11,11.3,24,24.7,2375
"Area Cooperative Educational Services","=""2440014""",04,96,92,95.8,92,48,52.2,25,27.2,"*","*","*","*","*","*",2409
"Area Cooperative Educational Services","=""2440014""",05,95,95,100.0,94,"*","*","*","*",27,28.7,11,11.7,38,40.4,2474
"Area Cooperative Educational Services","=""2440014""",06,341,338,99.1,337,87,25.8,119,35.3,107,31.8,24,7.1,131,38.9,2504
"Area Cooperative Educational Services","=""2440014""",07,333,328,98.5,326,105,32.2,91,27.9,98,30.1,32,9.8,130,39.9,2522
"Area Cooperative Educational Services","=""2440014""",08,312,309,99.0,305,81,26.6,94,30.8,97,31.8,33,10.8,130,42.6,2546
"Area Cooperative Educational Services","=""2440014""",11,21,17,81.0,17,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,44,44,100.0,44,"*","*","*","*",10,22.7,21,47.7,31,70.5,2461
"Ashford School District","=""0030011""",04,42,42,100.0,42,"*","*","*","*",10,23.8,24,57.1,34,81.0,2537
"Ashford School District","=""0030011""",05,38,38,100.0,38,9,23.7,"*","*",17,44.7,"*","*","*","*",2500
