"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",296,295,99.7,295,68,23.1,73,24.7,98,33.2,56,19.0,154,52.2
"Achievement First Hartford Academy Inc. District","=""2880013""","M",296,294,99.3,294,102,34.7,82,27.9,67,22.8,43,14.6,110,37.4
"Amistad Academy District","=""2790013""","F",267,266,99.6,266,37,13.9,68,25.6,111,41.7,50,18.8,161,60.5
"Amistad Academy District","=""2790013""","M",271,268,98.9,268,72,26.9,66,24.6,88,32.8,42,15.7,130,48.5
"Andover School District","=""0010011""","F",75,74,98.7,74,"*","*","*","*",19,25.7,41,55.4,60,81.1
"Andover School District","=""0010011""","M",84,82,97.6,82,"*","*","*","*",26,31.7,31,37.8,57,69.5
"Ansonia School District","=""0020011""","F",518,508,98.1,508,154,30.3,162,31.9,133,26.2,59,11.6,192,37.8
"Ansonia School District","=""0020011""","M",536,529,98.7,529,235,44.4,132,25.0,116,21.9,46,8.7,162,30.6
"Area Cooperative Educational Services","=""2440014""","F",583,582,99.8,582,169,29.0,156,26.8,178,30.6,79,13.6,257,44.2
"Area Cooperative Educational Services","=""2440014""","M",704,693,98.4,692,311,44.9,163,23.6,153,22.1,65,9.4,218,31.5
"Ashford School District","=""0030011""","F",117,117,100.0,117,12,10.3,21,17.9,40,34.2,44,37.6,84,71.8
"Ashford School District","=""0030011""","M",116,115,99.1,115,23,20.0,31,27.0,42,36.5,19,16.5,61,53.0
"Avon School District","=""0040011""","F",754,750,99.5,750,35,4.7,90,12.0,239,31.9,386,51.5,625,83.3
