"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, ELA, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"F",14690,14610,99.5,14604,6002,41.1,4231,29.0,2735,18.7,1636,11.2,4371,29.9,2389
"State of Connecticut",03,"N",22866,22598,98.8,22587,2470,10.9,4325,19.1,5886,26.1,9906,43.9,15792,69.9,2471
"State of Connecticut",03,"R",1751,1747,99.8,1747,412,23.6,494,28.3,451,25.8,390,22.3,841,48.1,2426
"State of Connecticut",04,"F",14258,14177,99.4,14172,6765,47.7,3060,21.6,2690,19.0,1657,11.7,4347,30.7,2425
"State of Connecticut",04,"N",22847,22553,98.7,22543,2974,13.2,3391,15.0,5843,25.9,10335,45.8,16178,71.8,2516
"State of Connecticut",04,"R",1745,1734,99.4,1733,501,28.9,403,23.3,444,25.6,385,22.2,829,47.8,2466
"State of Connecticut",05,"F",13743,13677,99.5,13667,5857,42.9,3157,23.1,3349,24.5,1304,9.5,4653,34.0,2462
"State of Connecticut",05,"N",23815,23531,98.8,23522,2656,11.3,3564,15.2,7928,33.7,9374,39.9,17302,73.6,2551
"State of Connecticut",05,"R",1835,1819,99.1,1818,454,25.0,419,23.0,608,33.4,337,18.5,945,52.0,2501
"State of Connecticut",06,"F",13260,13142,99.1,13137,5418,41.2,3761,28.6,3134,23.9,824,6.3,3958,30.1,2478
"State of Connecticut",06,"N",24394,24029,98.5,24019,2676,11.1,4718,19.6,9068,37.8,7557,31.5,16625,69.2,2569
"State of Connecticut",06,"R",1928,1910,99.1,1910,454,23.8,549,28.7,658,34.5,249,13.0,907,47.5,2520
"State of Connecticut",07,"F",13257,13107,98.9,13098,5568,42.5,3532,27.0,3203,24.5,795,6.1,3998,30.5,2501
"State of Connecticut",07,"N",25421,24936,98.1,24928,2923,11.7,4795,19.2,10208,40.9,7002,28.1,17210,69.0,2591
"State of Connecticut",07,"R",2063,2049,99.3,2049,538,26.3,606,29.6,679,33.1,226,11.0,905,44.2,2538
"State of Connecticut",08,"F",13049,12829,98.3,12824,5075,39.6,3746,29.2,3334,26.0,669,5.2,4003,31.2,2516
"State of Connecticut",08,"N",25121,24592,97.9,24578,2704,11.0,4971,20.2,10585,43.1,6318,25.7,16903,68.8,2605
"State of Connecticut",08,"R",1977,1948,98.5,1948,459,23.6,575,29.5,729,37.4,185,9.5,914,46.9,2555

