"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Amistad Academy District","=""2790013""",544,541,99.4,541,127,23.5,149,27.5,164,30.3,101,18.7,265,49.0
"Andover School District","=""0010011""",167,163,97.6,163,6,3.7,27,16.6,43,26.4,87,53.4,130,79.8
"Ansonia School District","=""0020011""",1225,1205,98.4,1205,397,32.9,361,30.0,305,25.3,142,11.8,447,37.1
"Area Cooperative Educational Services","=""2440014""",1297,1277,98.5,1268,417,32.9,379,29.9,355,28.0,117,9.2,472,37.2
"Ashford School District","=""0030011""",253,252,99.6,252,34,13.5,64,25.4,84,33.3,70,27.8,154,61.1
"Avon School District","=""0040011""",1841,1812,98.4,1809,101,5.6,220,12.2,624,34.5,864,47.8,1488,82.3
"Barkhamsted School District","=""0050011""",205,198,96.6,197,27,13.7,34,17.3,70,35.5,66,33.5,136,69.0
"Berlin School District","=""0070011""",1607,1595,99.3,1559,227,14.6,370,23.7,606,38.9,356,22.8,962,61.7
"Bethany School District","=""0080011""",240,234,97.5,233,29,12.4,46,19.7,73,31.3,85,36.5,158,67.8
"Bethel School District","=""0090011""",1526,1507,98.8,1506,163,10.8,319,21.2,566,37.6,458,30.4,1024,68.0
"Bloomfield School District","=""0110011""",907,878,96.8,878,190,21.6,268,30.5,303,34.5,117,13.3,420,47.8
"Bolton School District","=""0120011""",449,443,98.7,442,46,10.4,67,15.2,166,37.6,163,36.9,329,74.4
"Bozrah School District","=""0130011""",129,129,100.0,129,32,24.8,33,25.6,42,32.6,22,17.1,64,49.6
"Branford School District","=""0140011""",1612,1571,97.5,1571,278,17.7,364,23.2,556,35.4,373,23.7,929,59.1
"Bridgeport Achievement First District","=""2850013""",564,564,100.0,564,196,34.8,164,29.1,131,23.2,73,12.9,204,36.2
"Bridgeport School District","=""0150011""",10461,9942,95.0,9905,4863,49.1,2688,27.1,1852,18.7,502,5.1,2354,23.8
