"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Y",79,79,100.0,79,25,31.6,18,22.8,21,26.6,15,19.0,36,45.6,2419
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Y",80,80,100.0,80,26,32.5,17,21.3,24,30.0,13,16.3,37,46.3,2458
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Y",146,146,100.0,146,61,41.8,30,20.5,46,31.5,9,6.2,55,37.7,2465
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Y",79,79,100.0,79,24,30.4,28,35.4,20,25.3,7,8.9,27,34.2,2492
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Y",77,74,96.1,74,22,29.7,20,27.0,25,33.8,7,9.5,32,43.2,2527
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y",59,59,100.0,58,"*","*",19,32.8,18,31.0,"*","*","*","*",2525
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"Y",31,31,100.0,31,"*","*","*","*",12,38.7,8,25.8,20,64.5,2622
"Amistad Academy District","=""2790013""",03,"Y",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2430
"Amistad Academy District","=""2790013""",03,"N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Y",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*",2470
"Amistad Academy District","=""2790013""",04,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Y",61,60,98.4,60,"*","*",19,31.7,19,31.7,"*","*","*","*",2475
"Amistad Academy District","=""2790013""",05,"N",29,29,100.0,29,9,31.0,"*","*",10,34.5,"*","*","*","*",2473
"Amistad Academy District","=""2790013""",06,"Y",71,71,100.0,71,17,23.9,"*","*",30,42.3,"*","*","*","*",2521
"Amistad Academy District","=""2790013""",06,"N",28,28,100.0,28,9,32.1,"*","*",8,28.6,"*","*","*","*",2524
"Amistad Academy District","=""2790013""",07,"Y",52,52,100.0,52,"*","*",16,30.8,19,36.5,"*","*","*","*",2548
"Amistad Academy District","=""2790013""",07,"N",26,26,100.0,26,"*","*",11,42.3,9,34.6,"*","*","*","*",2551
"Amistad Academy District","=""2790013""",08,"Y",50,50,100.0,50,"*","*",13,26.0,19,38.0,"*","*","*","*",2577
"Amistad Academy District","=""2790013""",08,"N",29,29,100.0,29,"*","*",11,37.9,9,31.0,"*","*","*","*",2595
"Amistad Academy District","=""2790013""",11,"Y",27,26,96.3,26,"*","*","*","*","*","*","*","*","*","*",2596
"Amistad Academy District","=""2790013""",11,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"N",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*",2495
"Andover School District","=""0010011""",04,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N",41,39,95.1,39,"*","*","*","*","*","*","*","*","*","*",2589
"Andover School District","=""0010011""",06,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"N",35,34,97.1,34,0,0.0,"*","*","*","*","*","*","*","*",2598
"Ansonia School District","=""0020011""",03,"Y",115,115,100.0,115,36,31.3,42,36.5,19,16.5,18,15.7,37,32.2,2403
