"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","ELA","Y",453,450,99.3,450,100,22.2,119,26.4,162,36.0,69,15.3,231,51.3
"Amistad Academy District","=""2790013""","ELA","N",85,84,98.8,84,9,10.7,15,17.9,37,44.0,23,27.4,60,71.4
"Amistad Academy District","=""2790013""","Math","Y",453,449,99.1,449,108,24.1,133,29.6,125,27.8,83,18.5,208,46.3
"Amistad Academy District","=""2790013""","Math","N",85,84,98.8,84,11,13.1,28,33.3,14,16.7,31,36.9,45,53.6
"Andover School District","=""0010011""","ELA","Y",25,23,92.0,23,"*","*","*","*",7,30.4,6,26.1,13,56.5
"Andover School District","=""0010011""","ELA","N",134,133,99.3,133,"*","*","*","*",38,28.6,66,49.6,104,78.2
"Andover School District","=""0010011""","Math","Y",25,23,92.0,23,"*","*",8,34.8,7,30.4,"*","*","*","*"
"Andover School District","=""0010011""","Math","N",134,133,99.3,133,"*","*","*","*",47,35.3,53,39.8,100,75.2
"Ansonia School District","=""0020011""","ELA","Y",726,712,98.1,712,297,41.7,209,29.4,153,21.5,53,7.4,206,28.9
"Ansonia School District","=""0020011""","ELA","N",328,325,99.1,325,92,28.3,85,26.2,96,29.5,52,16.0,148,45.5
"Ansonia School District","=""0020011""","Math","Y",726,711,97.9,711,318,44.7,251,35.3,108,15.2,34,4.8,142,20.0
"Ansonia School District","=""0020011""","Math","N",328,325,99.1,324,100,30.9,116,35.8,67,20.7,41,12.7,108,33.3
"Area Cooperative Educational Services","=""2440014""","ELA","Y",827,818,98.9,818,393,48.0,199,24.3,179,21.9,47,5.7,226,27.6
"Area Cooperative Educational Services","=""2440014""","ELA","N",460,457,99.3,456,87,19.1,120,26.3,152,33.3,97,21.3,249,54.6
"Area Cooperative Educational Services","=""2440014""","Math","Y",827,811,98.1,811,500,61.7,211,26.0,82,10.1,18,2.2,100,12.3
"Area Cooperative Educational Services","=""2440014""","Math","N",460,457,99.3,457,138,30.2,150,32.8,105,23.0,64,14.0,169,37.0
"Ashford School District","=""0030011""","ELA","Y",79,78,98.7,78,22,28.2,21,26.9,26,33.3,9,11.5,35,44.9
"Ashford School District","=""0030011""","ELA","N",154,154,100.0,154,13,8.4,31,20.1,56,36.4,54,35.1,110,71.4
"Ashford School District","=""0030011""","Math","Y",79,78,98.7,78,26,33.3,22,28.2,22,28.2,8,10.3,30,38.5
"Ashford School District","=""0030011""","Math","N",154,154,100.0,154,22,14.3,49,31.8,51,33.1,32,20.8,83,53.9
"Avon School District","=""0040011""","ELA","Y",79,79,100.0,79,22,27.8,25,31.6,19,24.1,13,16.5,32,40.5
"Avon School District","=""0040011""","ELA","N",1466,1462,99.7,1462,63,4.3,182,12.4,482,33.0,735,50.3,1217,83.2
"Avon School District","=""0040011""","Math","Y",79,79,100.0,79,31,39.2,22,27.8,16,20.3,10,12.7,26,32.9
"Avon School District","=""0040011""","Math","N",1469,1462,99.5,1462,84,5.7,244,16.7,424,29.0,710,48.6,1134,77.6
"Barkhamsted School District","=""0050011""","ELA","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","ELA","N",158,151,95.6,151,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","N",158,151,95.6,151,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","ELA","Y",165,164,99.4,164,43,26.2,48,29.3,54,32.9,19,11.6,73,44.5
"Berlin School District","=""0070011""","ELA","N",1154,1149,99.6,1148,92,8.0,228,19.9,453,39.5,375,32.7,828,72.1
"Berlin School District","=""0070011""","Math","Y",165,164,99.4,163,63,38.7,61,37.4,29,17.8,10,6.1,39,23.9
"Berlin School District","=""0070011""","Math","N",1154,1146,99.3,1145,162,14.1,324,28.3,348,30.4,311,27.2,659,57.6
"Bethany School District","=""0080011""","ELA","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","ELA","N",215,207,96.3,207,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","N",215,207,96.3,207,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","ELA","Y",291,290,99.7,290,59,20.3,65,22.4,107,36.9,59,20.3,166,57.2
"Bethel School District","=""0090011""","ELA","N",1038,1030,99.2,1030,90,8.7,160,15.5,381,37.0,399,38.7,780,75.7
"Bethel School District","=""0090011""","Math","Y",291,289,99.3,289,77,26.6,104,36.0,71,24.6,37,12.8,108,37.4
"Bethel School District","=""0090011""","Math","N",1038,1029,99.1,1029,108,10.5,298,29.0,320,31.1,303,29.4,623,60.5
"Bloomfield School District","=""0110011""","ELA","Y",413,411,99.5,411,116,28.2,105,25.5,138,33.6,52,12.7,190,46.2
"Bloomfield School District","=""0110011""","ELA","N",354,353,99.7,353,81,22.9,90,25.5,122,34.6,60,17.0,182,51.6
"Bloomfield School District","=""0110011""","Math","Y",413,411,99.5,411,171,41.6,148,36.0,73,17.8,19,4.6,92,22.4
"Bloomfield School District","=""0110011""","Math","N",354,352,99.4,352,118,33.5,130,36.9,69,19.6,35,9.9,104,29.5
"Bolton School District","=""0120011""","ELA","Y",60,60,100.0,60,12,20.0,10,16.7,27,45.0,11,18.3,38,63.3
"Bolton School District","=""0120011""","ELA","N",296,287,97.0,287,26,9.1,28,9.8,102,35.5,131,45.6,233,81.2
"Bolton School District","=""0120011""","Math","Y",60,60,100.0,59,16,27.1,19,32.2,17,28.8,7,11.9,24,40.7
"Bolton School District","=""0120011""","Math","N",296,287,97.0,287,27,9.4,58,20.2,92,32.1,110,38.3,202,70.4
"Bozrah School District","=""0130011""","ELA","Y",28,28,100.0,28,8,28.6,10,35.7,"*","*","*","*",10,35.7
"Bozrah School District","=""0130011""","ELA","N",106,105,99.1,104,"*","*",30,28.8,33,31.7,"*","*","*","*"
"Bozrah School District","=""0130011""","Math","Y",28,28,100.0,28,9,32.1,10,35.7,"*","*","*","*",9,32.1
"Bozrah School District","=""0130011""","Math","N",106,105,99.1,104,"*","*",43,41.3,29,27.9,"*","*","*","*"
"Branford School District","=""0140011""","ELA","Y",356,353,99.2,351,80,22.8,105,29.9,105,29.9,61,17.4,166,47.3
"Branford School District","=""0140011""","ELA","N",999,988,98.9,983,103,10.5,198,20.1,343,34.9,339,34.5,682,69.4
"Branford School District","=""0140011""","Math","Y",355,352,99.2,350,114,32.6,109,31.1,75,21.4,52,14.9,127,36.3
"Branford School District","=""0140011""","Math","N",998,985,98.7,982,161,16.4,239,24.3,292,29.7,290,29.5,582,59.3
"Brass City Charter School District","=""2900013""","ELA","Y",24,24,100.0,24,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","ELA","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Math","Y",24,24,100.0,24,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Math","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","ELA","Y",446,445,99.8,445,127,28.5,123,27.6,114,25.6,81,18.2,195,43.8
"Bridgeport Achievement First District","=""2850013""","ELA","N",95,95,100.0,95,14,14.7,29,30.5,25,26.3,27,28.4,52,54.7
"Bridgeport Achievement First District","=""2850013""","Math","Y",446,445,99.8,445,146,32.8,121,27.2,84,18.9,94,21.1,178,40.0
"Bridgeport Achievement First District","=""2850013""","Math","N",95,95,100.0,95,21,22.1,25,26.3,18,18.9,31,32.6,49,51.6
"Bridgeport School District","=""0150011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","ELA","Y",1698,1692,99.6,1692,559,33.0,456,27.0,491,29.0,186,11.0,677,40.0
"Bristol School District","=""0170011""","ELA","N",1851,1843,99.6,1843,245,13.3,379,20.6,686,37.2,533,28.9,1219,66.1
"Bristol School District","=""0170011""","Math","Y",1700,1692,99.5,1692,683,40.4,597,35.3,295,17.4,117,6.9,412,24.3
"Bristol School District","=""0170011""","Math","N",1851,1841,99.5,1841,334,18.1,559,30.4,551,29.9,397,21.6,948,51.5
"Brookfield School District","=""0180011""","ELA","Y",93,88,94.6,88,22,25.0,20,22.7,28,31.8,18,20.5,46,52.3
"Brookfield School District","=""0180011""","ELA","N",1174,1107,94.3,1107,112,10.1,222,20.1,387,35.0,386,34.9,773,69.8
"Brookfield School District","=""0180011""","Math","Y",93,88,94.6,88,22,25.0,28,31.8,23,26.1,15,17.0,38,43.2
"Brookfield School District","=""0180011""","Math","N",1174,1102,93.9,1102,113,10.3,291,26.4,382,34.7,316,28.7,698,63.3
"Brooklyn School District","=""0190011""","ELA","Y",165,162,98.2,162,35,21.6,46,28.4,53,32.7,28,17.3,81,50.0
"Brooklyn School District","=""0190011""","ELA","N",356,354,99.4,354,26,7.3,51,14.4,138,39.0,139,39.3,277,78.2
"Brooklyn School District","=""0190011""","Math","Y",165,161,97.6,161,56,34.8,73,45.3,"*","*","*","*",32,19.9
"Brooklyn School District","=""0190011""","Math","N",356,354,99.4,354,"*","*",136,38.4,102,28.8,"*","*","*","*"
"Canaan School District","=""0210011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","ELA","Y",86,85,98.8,85,18,21.2,24,28.2,28,32.9,15,17.6,43,50.6
"Canterbury School District","=""0220011""","ELA","N",222,218,98.2,218,32,14.7,62,28.4,77,35.3,47,21.6,124,56.9
"Canterbury School District","=""0220011""","Math","Y",86,85,98.8,85,25,29.4,34,40.0,17,20.0,9,10.6,26,30.6
"Canterbury School District","=""0220011""","Math","N",222,218,98.2,218,45,20.6,82,37.6,65,29.8,26,11.9,91,41.7
"Canton School District","=""0230011""","ELA","Y",100,99,99.0,99,23,23.2,29,29.3,33,33.3,14,14.1,47,47.5
"Canton School District","=""0230011""","ELA","N",693,686,99.0,686,44,6.4,106,15.5,246,35.9,290,42.3,536,78.1
"Canton School District","=""0230011""","Math","Y",100,99,99.0,99,29,29.3,34,34.3,23,23.2,13,13.1,36,36.4
"Canton School District","=""0230011""","Math","N",693,686,99.0,686,64,9.3,135,19.7,233,34.0,254,37.0,487,71.0
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","Y",69,69,100.0,69,28,40.6,23,33.3,18,26.1,0,0.0,18,26.1
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","N",41,41,100.0,41,14,34.1,"*","*",11,26.8,"*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","Y",68,68,100.0,68,50,73.5,"*","*","*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","N",41,41,100.0,41,25,61.0,"*","*","*","*",0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","ELA","Y",1619,1604,99.1,1603,621,38.7,414,25.8,423,26.4,145,9.0,568,35.4
"Capitol Region Education Council","=""2410014""","ELA","N",1500,1461,97.4,1461,204,14.0,306,20.9,526,36.0,425,29.1,951,65.1
"Capitol Region Education Council","=""2410014""","Math","Y",1619,1589,98.1,1589,801,50.4,499,31.4,212,13.3,77,4.8,289,18.2
"Capitol Region Education Council","=""2410014""","Math","N",1497,1449,96.8,1449,282,19.5,474,32.7,339,23.4,354,24.4,693,47.8
"Chaplin School District","=""0240011""","ELA","Y",40,40,100.0,40,"*","*",10,25.0,13,32.5,"*","*","*","*"
"Chaplin School District","=""0240011""","ELA","N",38,37,97.4,37,"*","*","*","*",11,29.7,13,35.1,24,64.9
"Chaplin School District","=""0240011""","Math","Y",40,39,97.5,39,18,46.2,14,35.9,"*","*","*","*",7,17.9
"Chaplin School District","=""0240011""","Math","N",38,37,97.4,37,10,27.0,14,37.8,"*","*","*","*",13,35.1
"Cheshire School District","=""0250011""","ELA","Y",191,190,99.5,190,41,21.6,54,28.4,62,32.6,33,17.4,95,50.0
"Cheshire School District","=""0250011""","ELA","N",1862,1845,99.1,1845,95,5.1,249,13.5,660,35.8,841,45.6,1501,81.4
"Cheshire School District","=""0250011""","Math","Y",191,189,99.0,189,48,25.4,74,39.2,41,21.7,26,13.8,67,35.4
"Cheshire School District","=""0250011""","Math","N",1862,1844,99.0,1844,176,9.5,418,22.7,562,30.5,688,37.3,1250,67.8
"Chester School District","=""0260011""","ELA","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","ELA","N",120,119,99.2,119,"*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","Math","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","Math","N",120,119,99.2,119,"*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","ELA","Y",204,201,98.5,199,51,25.6,61,30.7,59,29.6,28,14.1,87,43.7
"Clinton School District","=""0270011""","ELA","N",696,687,98.7,686,47,6.9,116,16.9,254,37.0,269,39.2,523,76.2
"Clinton School District","=""0270011""","Math","Y",205,202,98.5,202,57,28.2,82,40.6,42,20.8,21,10.4,63,31.2
"Clinton School District","=""0270011""","Math","N",697,688,98.7,688,78,11.3,180,26.2,231,33.6,199,28.9,430,62.5
"Colchester School District","=""0280011""","ELA","Y",215,215,100.0,215,42,19.5,66,30.7,70,32.6,37,17.2,107,49.8
"Colchester School District","=""0280011""","ELA","N",921,915,99.3,915,63,6.9,140,15.3,361,39.5,351,38.4,712,77.8
"Colchester School District","=""0280011""","Math","Y",214,214,100.0,214,55,25.7,86,40.2,55,25.7,18,8.4,73,34.1
"Colchester School District","=""0280011""","Math","N",920,914,99.3,914,104,11.4,247,27.0,304,33.3,259,28.3,563,61.6
"Colebrook School District","=""0290011""","ELA","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","ELA","N",40,38,95.0,38,"*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Math","N",40,38,95.0,38,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","ELA","Y",49,49,100.0,49,8,16.3,16,32.7,19,38.8,6,12.2,25,51.0
"Columbia School District","=""0300011""","ELA","N",238,230,96.6,230,24,10.4,45,19.6,89,38.7,72,31.3,161,70.0
"Columbia School District","=""0300011""","Math","Y",49,49,100.0,49,15,30.6,23,46.9,"*","*","*","*",11,22.4
"Columbia School District","=""0300011""","Math","N",238,230,96.6,230,"*","*",64,27.8,79,34.3,"*","*","*","*"
"Cooperative Educational Services","=""2430014""","ELA","Y",129,129,100.0,129,54,41.9,31,24.0,35,27.1,9,7.0,44,34.1
"Cooperative Educational Services","=""2430014""","ELA","N",213,207,97.2,207,51,24.6,47,22.7,58,28.0,51,24.6,109,52.7
"Cooperative Educational Services","=""2430014""","Math","Y",129,129,100.0,129,60,46.5,41,31.8,"*","*","*","*",28,21.7
"Cooperative Educational Services","=""2430014""","Math","N",213,208,97.7,208,63,30.3,61,29.3,"*","*","*","*",84,40.4
"Cornwall School District","=""0310011""","ELA","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","ELA","N",50,48,96.0,48,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Math","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Math","N",50,48,96.0,48,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","Y",150,147,98.0,147,30,20.4,29,19.7,58,39.5,30,20.4,88,59.9
"Coventry School District","=""0320011""","ELA","N",603,597,99.0,597,48,8.0,100,16.8,231,38.7,218,36.5,449,75.2
"Coventry School District","=""0320011""","Math","Y",150,147,98.0,147,31,21.1,50,34.0,45,30.6,21,14.3,66,44.9
"Coventry School District","=""0320011""","Math","N",603,597,99.0,597,73,12.2,179,30.0,184,30.8,161,27.0,345,57.8
"Cromwell School District","=""0330011""","ELA","Y",190,190,100.0,190,53,27.9,61,32.1,52,27.4,24,12.6,76,40.0
"Cromwell School District","=""0330011""","ELA","N",733,730,99.6,730,78,10.7,137,18.8,274,37.5,241,33.0,515,70.5
"Cromwell School District","=""0330011""","Math","Y",190,190,100.0,190,75,39.5,75,39.5,30,15.8,10,5.3,40,21.1
"Cromwell School District","=""0330011""","Math","N",733,730,99.6,729,125,17.1,221,30.3,221,30.3,162,22.2,383,52.5
"Danbury School District","=""0340011""","ELA","Y",2864,2848,99.4,2847,830,29.2,912,32.0,816,28.7,289,10.2,1105,38.8
"Danbury School District","=""0340011""","ELA","N",2214,2188,98.8,2186,434,19.9,491,22.5,738,33.8,523,23.9,1261,57.7
"Danbury School District","=""0340011""","Math","Y",2863,2835,99.0,2833,1036,36.6,1035,36.5,565,19.9,197,7.0,762,26.9
"Danbury School District","=""0340011""","Math","N",2214,2184,98.6,2184,557,25.5,672,30.8,556,25.5,399,18.3,955,43.7
"Darien School District","=""0350011""","ELA","Y",55,54,98.2,54,10,18.5,14,25.9,20,37.0,10,18.5,30,55.6
"Darien School District","=""0350011""","ELA","N",2227,2201,98.8,2201,65,3.0,206,9.4,699,31.8,1231,55.9,1930,87.7
"Darien School District","=""0350011""","Math","Y",55,54,98.2,54,14,25.9,17,31.5,11,20.4,12,22.2,23,42.6
"Darien School District","=""0350011""","Math","N",2227,2200,98.8,2200,77,3.5,304,13.8,589,26.8,1230,55.9,1819,82.7
"Deep River School District","=""0360011""","ELA","Y",39,39,100.0,39,"*","*",15,38.5,14,35.9,"*","*","*","*"
"Deep River School District","=""0360011""","ELA","N",161,160,99.4,160,"*","*","*","*",47,29.4,58,36.3,105,65.6
"Deep River School District","=""0360011""","Math","Y",39,39,100.0,39,"*","*",17,43.6,12,30.8,"*","*","*","*"
"Deep River School District","=""0360011""","Math","N",161,160,99.4,160,"*","*",57,35.6,37,23.1,"*","*","*","*"
"Derby School District","=""0370011""","ELA","Y",380,379,99.7,379,159,42.0,91,24.0,99,26.1,30,7.9,129,34.0
"Derby School District","=""0370011""","ELA","N",300,299,99.7,299,79,26.4,77,25.8,94,31.4,49,16.4,143,47.8
"Derby School District","=""0370011""","Math","Y",379,375,98.9,375,203,54.1,109,29.1,50,13.3,13,3.5,63,16.8
"Derby School District","=""0370011""","Math","N",300,298,99.3,298,100,33.6,110,36.9,64,21.5,24,8.1,88,29.5
"East Granby School District","=""0400011""","ELA","Y",57,56,98.2,56,17,30.4,18,32.1,13,23.2,8,14.3,21,37.5
"East Granby School District","=""0400011""","ELA","N",339,339,100.0,339,29,8.6,50,14.7,131,38.6,129,38.1,260,76.7
"East Granby School District","=""0400011""","Math","Y",57,56,98.2,56,23,41.1,16,28.6,"*","*","*","*",17,30.4
"East Granby School District","=""0400011""","Math","N",339,339,100.0,339,"*","*",69,20.4,104,30.7,"*","*","*","*"
"East Haddam School District","=""0410011""","ELA","Y",71,69,97.2,69,16,23.2,19,27.5,14,20.3,20,29.0,34,49.3
"East Haddam School District","=""0410011""","ELA","N",428,410,95.8,410,47,11.5,80,19.5,141,34.4,142,34.6,283,69.0
"East Haddam School District","=""0410011""","Math","Y",71,69,97.2,69,23,33.3,22,31.9,15,21.7,9,13.0,24,34.8
"East Haddam School District","=""0410011""","Math","N",427,408,95.6,408,89,21.8,111,27.2,107,26.2,101,24.8,208,51.0
"East Hampton School District","=""0420011""","ELA","Y",124,117,94.4,117,38,32.5,40,34.2,27,23.1,12,10.3,39,33.3
"East Hampton School District","=""0420011""","ELA","N",761,714,93.8,714,114,16.0,165,23.1,259,36.3,176,24.6,435,60.9
"East Hampton School District","=""0420011""","Math","Y",124,117,94.4,117,46,39.3,40,34.2,25,21.4,6,5.1,31,26.5
"East Hampton School District","=""0420011""","Math","N",761,713,93.7,713,129,18.1,248,34.8,217,30.4,119,16.7,336,47.1
"East Hartford School District","=""0430011""","ELA","Y",1973,1963,99.5,1956,914,46.7,506,25.9,417,21.3,119,6.1,536,27.4
"East Hartford School District","=""0430011""","ELA","N",948,943,99.5,939,311,33.1,242,25.8,246,26.2,140,14.9,386,41.1
"East Hartford School District","=""0430011""","Math","Y",1968,1947,98.9,1942,1155,59.5,533,27.4,197,10.1,57,2.9,254,13.1
"East Hartford School District","=""0430011""","Math","N",944,936,99.2,931,415,44.6,283,30.4,162,17.4,71,7.6,233,25.0
